DateTime,AddedIPs,RemovedIPs
1602808085,673,219
1602810026,674,122
1602811962,531,124
1602813851,129,128
1602815770,90,120
1602817728,66,275
1602819606,85,154
1602821531,118,98
1602823478,96,632
1602825369,122,98
1602827289,663,102
1602829237,336,168
1602831129,86,157
1602833049,141,129
1602834998,357,110
1602836890,141,148
1602838824,365,105
1602840759,3802,162
1602842925,4119,139
1602844819,2619,97
1602846974,2362,162
1602848895,1893,114
1602850844,1019,143
1602852734,81,126
1602854654,159,146
1602856606,140,106
1602858490,93,152
1602860428,131,117
1602862364,95,1390
1602864252,924,142
1602866175,898,121
1602868125,756,156
1602870010,916,85
1602871936,313,156
1602873883,95,131
1602875771,94,120
1602877692,94,192
1602879640,109,164
1602881544,95,393
1602883457,87,528
1602885398,96,580
1602887291,182,475
1602889230,147,531
1602891168,140,654
1602893059,147,548
1602894973,135,604
1602896941,137,653
1602898812,115,358
1602900734,170,115
1602902681,186,103
1602904570,165,71
1602906492,264,88
1602908437,522,135
1602910332,790,97
1602912257,481,122
1602914202,505,743
1602916091,707,134
1602918261,693,152
1602920174,781,442
1602922128,1027,310
1602924016,422,116
1602925934,524,345
1602927880,510,4663
1602929771,161,2470
1602931688,125,2262
1602933641,162,1597
1602935532,162,1632
1602937452,259,743
1602939398,167,91
1602941385,170,190
1602943233,184,99
1602945132,155,105
1602947084,323,127
1602948978,391,94
1602950893,222,87
1602952848,108,181
1602954748,174,90
1602956656,170,100
1602958602,156,76
1602960491,153,93
1602962415,136,405
1602964365,202,1923
1602966253,172,1288
1602968171,254,1468
1602970117,1604,1332
1602972029,1373,113
1602973933,1253,182
1602975899,1547,158
1602977769,511,109
1602979695,71,158
1602981643,98,135
1602983539,95,120
1602985452,97,136
1602987401,82,167
1602989292,78,164
1602991212,77,164
1602993164,79,447
1602995053,69,498
1602996971,70,729
1602998919,81,576
1603000825,68,521
1603002730,84,754
1603004678,88,701
1603006569,95,813
1603008492,86,710
1603010439,101,478
1603012331,91,516
1603014250,96,552
1603016200,98,177
1603018093,86,136
1603020008,94,171
1603021994,111,173
1603023850,92,213
1603025772,83,233
1603027722,82,187
1603029641,84,195
1603031568,103,169
1603033454,97,327
1603035373,124,427
1603037324,103,243
1603039213,122,104
1603041134,91,178
1603043082,86,190
1603044971,83,156
1603046889,596,176
1603048840,305,146
1603050737,176,191
1603052654,194,164
1603054601,212,121
1603056491,192,83
1603058425,298,109
1603060366,181,113
1603062258,153,252
1603064176,127,99
1603066121,152,96
1603068015,185,88
1603069972,169,101
1603071856,142,98
1603073771,110,86
1603075723,87,95
1603077610,101,78
1603079566,131,97
1603081455,119,78
1603083400,108,82
1603085290,96,81
1603087222,104,88
1603089161,183,91
1603091057,120,90
1603092969,120,92
1603094936,109,89
1603096811,113,104
1603098736,127,98
1603100684,123,96
1603102574,116,84
1603104493,110,79
1603106440,158,107
1603108337,115,109
1603110256,127,93
1603112198,129,85
1603114091,101,95
1603116272,131,100
1603118170,91,97
1603120132,98,113
1603122019,398,111
1603123933,121,127
1603125884,125,118
1603127770,167,93
1603129695,145,115
1603131638,136,82
1603133540,148,481
1603135453,137,1792
1603137401,137,1658
1603139288,425,1282
1603142167,338,2040
1603144087,161,182
1603146038,142,151
1603147927,152,125
1603149852,153,131
1603151798,245,111
1603153690,140,170
1603155623,147,121
1603157559,440,131
1603159453,480,104
1603161373,723,140
1603163328,586,99
1603165213,660,107
1603167163,426,96
1603169052,503,115
1603170999,116,92
1603172887,146,116
1603174808,124,173
1603176759,135,142
1603178651,111,117
1603180584,675,106
1603182517,308,109
1603184424,127,114
1603186364,146,118
1603188256,161,109
1603190170,190,109
1603192121,1953,127
1603194009,146,127
1603195957,118,114
1603197850,119,122
1603199768,133,111
1603201717,127,103
1603203607,138,105
1603205527,93,101
1603207488,160,366
1603209371,114,118
1603211287,113,116
1603213259,214,126
1603215135,685,117
1603217053,701,97
1603218996,682,118
