DateTime,AddedIPs,RemovedIPs
1602746435,10,12
1602748345,12,6
1602750249,18,10
1602752206,11,14
1602754093,16,10
1602757211,14,75
1602759128,11,12
1602761084,14,13
1602762968,10,18
1602764889,11,8
1602766857,18,243
1602768735,11,48
1602770653,12,19
1602772606,19,12
1602774489,10,6
1602776418,6,15
1602778366,14,13
1602780259,12,5
1602782167,16,8
1602784127,10,11
1602786010,7,11
1602787962,11,11
1602789849,8,7
1602791768,68,8
1602793721,9,10
1602795624,8,5
1602797529,6,10
1602799482,12,8
1602801370,12,2
1602803288,10,8
1602805240,8,12
1602807129,9,8
1602809082,9,9
1602810967,8,2
1602812885,10,7
1602814840,9,6
1602816730,7,126
1602818647,6,12
1602820600,5,16
1602822488,4,8
1602824426,3,9
1602826362,4,12
1602828249,6,10
1602830167,9,7
1602832122,4,11
1602834008,4,10
1602835931,4,14
1602837885,10,12
1602839767,6,10
1602841687,7,15
1602843633,9,9
1602845530,4,11
1602847449,9,14
1602849396,7,10
1602851295,8,11
1602853228,8,17
1602855204,129,10
1602857072,10,12
1602858970,10,17
1602860973,17,11
1602862847,11,6
1602864736,52,13
1602866680,32,14
1602868573,10,16
1602870488,8,11
1602872439,10,9
1602874331,12,10
1602876254,9,10
1602878198,8,68
1602880087,14,9
1602882031,11,8
1602883962,6,6
1602885851,8,12
1602887767,7,12
1602889726,9,9
1602891611,6,7
1602893531,6,11
1602895478,4,9
1602897373,7,8
1602899291,7,9
1602901237,2,9
1602903138,8,6
1602905071,6,6
1602907026,11,6
1602908912,5,4
1602910839,7,3
1602912769,9,3
1602914654,5,6
1602916600,5,9
1602918517,10,4
1602920410,74,3
1602922327,8,4
1602924278,62,9
1602926168,16,6
1602928088,5,8
1602930039,8,9
1602931931,9,5
1602933850,7,11
1602935797,15,7
1602937689,7,8
1602939633,8,7
1602941534,12,126
1602943480,14,12
1602945390,6,11
1602947566,12,14
1602949500,10,11
1602951448,12,76
1602953327,8,10
1602955234,83,8
1602957183,9,10
1602959065,7,9
1602960987,11,13
1602962932,13,7
1602964854,8,10
1602966732,20,12
1602968678,13,11
1602970571,7,6
1602972489,7,10
1602974442,9,6
1602976335,2,10
1602978252,9,7
1602980196,7,6
1602982088,8,4
1602984006,11,6
1602985960,10,6
1602987851,5,2
1602989773,6,6
1602991714,2,9
1602994633,16,12
1602996546,7,7
1602998420,6,11
1603000367,6,7
1603002265,5,5
1603004173,11,6
1603006115,8,75
1603008029,10,9
1603009944,4,7
1603011893,6,70
1603013771,4,7
1603015712,10,8
1603017703,8,7
1603019531,7,9
1603021455,14,9
1603023423,6,12
1603025305,11,8
1603027262,7,10
1603029171,5,13
1603031067,3,10
1603033035,7,12
1603034901,8,8
1603036840,8,10
1603038818,10,12
1603040673,8,79
1603042586,7,8
1603044537,6,12
1603046437,8,10
1603048409,14,16
1603050300,5,7
1603052280,10,18
1603054107,13,14
1603056053,11,9
1603057942,14,4
1603059871,6,10
1603061837,9,6
1603063700,4,9
1603065640,7,5
1603067604,62,9
1603069466,6,6
1603071417,12,14
1603073323,5,7
1603075222,6,4
1603077173,4,5
1603079095,8,5
1603080989,5,10
1603082901,5,7
1603084841,8,6
1603086730,6,6
1603088673,8,5
1603090606,7,9
1603092487,9,8
1603094457,8,7
1603096361,7,6
1603098276,7,6
1603100177,11,4
1603102135,9,10
1603104041,8,7
1603105997,16,8
1603107894,12,16
1603110054,13,7
1603111943,10,11
1603113880,12,8
1603115831,8,2
1603117737,6,4
1603119660,9,7
1603121582,14,8
1603123470,18,6
1603125410,9,11
1603127333,12,5
1603129247,8,9
1603131201,11,5
1603133104,8,7
1603135026,8,14
1603136919,10,5
1603138871,9,10
1603140744,6,11
1603142678,13,14
1603144629,6,11
1603146487,10,5
1603148432,6,7
1603150359,7,6
1603152251,6,7
1603154168,5,61
1603156119,7,5
1603158008,7,11
1603159930,9,6
1603161878,9,5
1603163772,10,4
1603165688,4,6
1603167609,11,4
1603169528,9,4
1603171455,9,6
1603173367,5,9
1603175319,8,6
1603177334,12,7
1603179372,218,10
1603181537,37,7
1603183453,9,11
1603185399,11,7
1603187302,7,8
1603189241,74,8
1603191141,12,14
1603193051,7,10
1603195255,7,13
1603197140,10,10
1603199297,19,11
1603201216,9,9
1603203161,8,8
1603205056,7,6
1603206972,13,13
1603208923,9,16
1603210812,13,12
1603212733,10,12
1603214688,10,11
1603216572,8,7
1603218491,10,7
1603220453,13,6
1603222336,6,11
1603224505,18,30
1603226410,9,4
1603228362,13,11
1603230254,9,10
1603232170,4,8
1603234117,12,8
1603236011,27,4
1603237932,7,5
1603239882,8,5
1603241769,7,5
1603243694,7,3
1603245649,7,13
1603247539,13,8
1603249457,5,9
1603251403,10,8
1603253294,10,5
1603255217,2,9
1603257157,8,9
1603259057,11,6
1603260999,15,6
1603262892,14,13
1603264844,15,5
1603266742,12,244
1603268656,4,12
1603270606,9,8
1603272494,13,10
1603274422,7,5
1603276366,11,71
1603278255,14,14
1603280176,13,4
1603282125,5,11
1603284012,8,8
1603286178,8,19
1603288095,8,5
1603290043,6,25
1603291936,9,6
1603293852,11,11
1603295801,7,9
1603297694,9,14
1603299631,6,10
1603301569,11,7
1603303460,11,11
1603305370,8,9
1603307325,12,11
1603309210,16,8
1603311131,11,10
1603313089,11,8
1603314974,151,11
1603316901,131,8
1603318841,6,5
1603320735,10,16
1603322655,3,21
1603324602,6,7
1603326492,6,6
1603329371,11,11
1603331288,6,7
1603333234,5,9
1603335132,7,8
