DateTime,Entries,UniqueIPs
1602746439,10734,10734
1602748348,10734,10734
1602750252,10743,10743
1602752209,10740,10740
1602754096,10740,10740
1602756038,10737,10737
1602757937,10738,10738
1602759857,10753,10753
1602761808,10753,10753
1602763697,10767,10767
1602765614,10772,10772
1602767568,10777,10777
1602769452,10769,10769
1602771615,10774,10774
1602773530,10727,10727
1602775489,10728,10728
1602777378,10716,10716
1602779291,10707,10707
1602781323,10709,10709
1602783140,10651,10651
1602785053,10646,10646
1602787253,10639,10639
1602789139,10634,10634
1602791058,8049,8049
1602793006,5833,5833
1602794892,3807,3807
1602796811,1722,1722
1602798770,1303,1303
1602800653,1309,1309
1602802575,1305,1305
1602804525,1317,1317
1602807370,1210,1210
1602809287,1209,1209
1602811242,1200,1200
1602813132,1191,1191
1602815053,1190,1190
1602817002,1186,1186
1602818891,1183,1183
1602821772,1179,1179
1602823688,1185,1185
1602825643,1186,1186
1602827531,1182,1182
1602829466,1189,1189
1602831400,1173,1173
1602833290,1164,1164
1602835242,1163,1163
1602837164,1154,1154
1602839053,1313,1313
1602840975,1313,1313
1602842927,1358,1358
1602844821,1354,1354
1602846976,1345,1345
1602848896,1349,1349
1602850845,1339,1339
1602852736,1334,1334
1602854656,1340,1340
1602856607,1342,1342
1602858492,1350,1350
1602860464,1340,1340
1602862365,1337,1337
1602864254,3863,3863
1602866177,6024,6024
1602868127,7873,7873
1602870012,10159,10159
1602871938,10695,10695
1602873885,10701,10701
1602875775,10702,10702
1602877696,10701,10701
1602879649,10698,10698
1602881547,10704,10704
1602883460,10699,10699
1602885401,10703,10703
1602887294,10702,10702
1602889286,10695,10695
1602891171,10680,10680
1602893062,10679,10679
1602894976,10683,10683
1602896943,10686,10686
1602898815,10696,10696
1602900736,10698,10698
1602902684,10695,10695
1602904573,10696,10696
1602906494,10695,10695
1602908439,10696,10696
1602910335,10700,10700
1602912260,10695,10695
1602914205,10694,10694
1602916093,10688,10688
1602918264,10695,10695
1602920177,10690,10690
1602922131,10685,10685
1602924018,10684,10684
1602925936,10526,10526
1602927882,10476,10476
1602929773,10475,10475
1602931690,10482,10482
1602933644,10492,10492
1602935534,10488,10488
1602937454,10489,10489
1602939400,10487,10487
1602941387,10484,10484
1602943237,10492,10492
1602945134,10532,10532
1602947086,10553,10553
1602948980,10559,10559
1602950896,10561,10561
1602952850,10551,10551
1602954751,10527,10527
1602956659,10516,10516
1602958605,10518,10518
1602960494,10523,10523
1602962417,10033,10033
1602964367,7057,7057
1602966255,5215,5215
1602968174,3330,3330
1602970120,3932,3932
1602972051,5941,5941
1602973936,7853,7853
1602975902,10024,10024
1602977772,10643,10643
1602979698,10641,10641
1602981645,10642,10642
1602983541,10645,10645
1602985454,10639,10639
1602987403,10642,10642
1602989294,10661,10661
1602991215,10669,10669
1602993167,10688,10688
1602995056,10687,10687
1602996974,10688,10688
1602998922,10692,10692
1603000868,10700,10700
1603002733,10704,10704
1603004681,10713,10713
1603006571,10722,10722
1603008495,10727,10727
1603010441,10736,10736
1603012333,10741,10741
1603014253,10750,10750
1603016203,10758,10758
1603018096,10762,10762
1603020010,10751,10751
1603021996,10751,10751
1603023853,10759,10759
1603025775,10774,10774
1603027725,10784,10784
1603029643,10781,10781
1603031571,10754,10754
1603033457,10753,10753
1603035375,10765,10765
1603037330,10770,10770
1603039216,10772,10772
1603041136,10773,10773
1603043085,10773,10773
1603044973,10771,10771
1603046892,10759,10759
1603048844,10757,10757
1603050740,10761,10761
1603052657,10777,10777
1603054605,10798,10798
1603056493,10810,10810
1603058438,10811,10811
1603060368,10745,10745
1603062261,10741,10741
1603064179,10738,10738
1603066124,10755,10755
1603068018,10752,10752
1603069975,10759,10759
1603071860,10780,10780
1603073774,10778,10778
1603075726,10770,10770
1603077613,10774,10774
1603079569,10776,10776
1603081458,10776,10776
1603083402,10783,10783
1603085292,10780,10780
1603088169,10776,10776
1603090215,10783,10783
1603092037,10779,10779
1603093930,10782,10782
1603095848,10777,10777
