DateTime,AddedIPs,RemovedIPs
1602693647,3,2
1602695782,4,2
1602697695,4,0
1602699650,4,2
1602701535,10,0
1602703456,8,2
1602705402,7,1
1602707293,5,7
1602709265,2,0
1602711168,2,0
1602713065,2,0
1602714979,1,1
1602716927,2,0
1602718821,1,1
1602720839,4,1
1602723026,6,0
1602725188,3,0
1602727360,1,0
1602729235,1,0
1602731090,3,1
1602732978,5,0
1602734902,2,1
1602736819,4,0
1602738743,3,0
1602740685,1,1
1602742574,0,2
1602744504,0,6
1602746441,2,0
1602748352,0,2
1602750254,0,1
1602752213,2,4
1602754098,1,4
1602756047,3,11
1602757940,1,1
1602759861,2,5
1602761812,2,0
1602763700,5,4
1602765617,5,3
1602767570,4,10
1602769455,2,4
1602771617,3,4
1602773533,2,14
1602775491,5,2
1602777381,4,2
1602779293,2,6
1602781362,4,2
1602783402,2,3
1602785289,2,2
1602787257,0,5
1602789141,0,3
1602791060,2,5
1602793010,4,3
1602794895,2,2
1602796813,4,1
1602798773,0,2
1602800655,3,1
1602802579,4,1
1602804527,2,1
1602806486,2,2
1602808373,1,3
1602810268,2,5
1602812177,1,2
1602814131,3,1
1602816015,1,3
1602817936,5,4
1602819886,1,5
1602821773,0,5
1602823691,0,4
1602827534,2,1
1602829469,4,0
1602831402,4,0
1602833292,8,2
1602835282,1,1
1602837165,2,0
1602839055,0,2
1602840977,0,2
1602842928,2,7
1602844823,1,2
1602846979,3,5
1602848899,5,3
1602850847,5,4
1602852738,6,6
1602854658,2,2
1602856609,4,4
1602858494,1,3
1602860505,2,7
1602862368,0,2
1602864256,5,2
1602866179,7,4
1602868130,4,4
1602870015,4,2
1602871941,3,2
1602873888,5,0
1602875777,0,2
1602877699,2,4
1602879654,3,4
1602881550,4,1
1602883463,0,7
1602885404,5,4
1602887296,5,4
1602889323,5,5
1602891174,4,1
1602893065,1,3
1602894980,2,3
1602896952,5,5
1602898818,5,3
1602900738,2,1
1602902687,1,4
1602904575,0,3
1602906496,4,0
1602908444,3,1
1602910337,3,1
1602912263,3,0
1602914208,1,4
1602916096,2,2
1602918267,1,4
1602920181,3,4
1602922134,2,5
1602924022,3,1
1602925939,2,0
1602927885,2,1
1602929776,1,4
1602931693,2,2
1602933647,4,5
1602935537,2,5
1602937457,2,1
1602939403,5,4
1602941390,2,2
1602943240,5,3
1602945137,1,2
1602947089,8,1
1602948983,3,2
1602950899,2,4
1602952853,2,3
1602954754,0,2
1602956662,0,3
1602958607,2,4
1602960498,15,5
1602962421,1,1
1602964370,1,1
1602966258,5,3
1602968177,1,5
1602970123,2,1
1602972054,0,8
1602973939,0,8
1602975905,0,6
1602977775,0,2
1602979701,1,4
1602981648,1,3
1602983544,0,3
1602985457,0,5
1602987406,1,5
1602989297,1,4
1602991218,1,4
1602993170,2,4
1602995059,0,4
1602996979,1,3
1602998925,0,3
1603000903,0,3
1603002736,1,6
1603004684,0,7
1603006574,1,6
1603008498,7,3
1603010444,9,4
1603012336,4,3
1603014255,1,4
1603016206,6,3
1603018099,0,3
1603020013,3,13
1603021999,3,8
1603023856,2,4
1603025779,2,14
1603027728,3,7
1603029647,3,7
1603031573,4,3
1603033460,4,9
1603035378,5,6
1603037334,5,2
1603039219,6,1
1603041139,1,3
1603043088,6,2
1603044976,4,9
1603046895,4,19
1603048846,7,4
1603050744,4,2
1603052659,2,4
1603054608,5,1
1603056496,6,1
1603058442,4,0
1603060371,5,0
1603062265,3,0
1603064182,3,0
1603066126,7,1
1603068021,2,1
1603069978,3,0
1603071862,2,0
1603073777,3,1
1603075729,3,1
1603077616,2,1
