DateTime,AddedIPs,RemovedIPs
1602568577,0,1
1602570521,1,1
1602572496,2,1
1602574340,0,2
1602576293,1,1
1602578175,0,3
1602580098,1,2
1602582050,0,2
1602583939,2,1
1602585855,5,1
1602589692,1,3
1602591616,0,4
1602593567,1,3
1602595459,3,0
1602597376,1,6
1602599323,3,2
1602601288,1,3
1602603139,3,0
1602605085,0,1
1602606977,0,3
1602609144,1,1
1602611059,1,3
1602613006,1,4
1602614895,1,2
1602616813,2,1
1602618766,0,4
1602620659,2,2
1602622576,2,3
1602624528,0,3
1602626453,2,2
1602628336,4,1
1602630297,1,0
1602632176,1,1
1602636016,3,1
1602641779,1,1
1602643698,1,0
1602645645,4,1
1602655240,1,0
1602657168,3,2
1602659057,0,1
1602660980,2,0
1602662930,2,1
1602664817,2,0
1602666768,2,1
1602668662,2,1
1602670575,2,1
1602672526,2,5
1602674413,2,0
1602676338,0,2
1602678286,2,0
1602680177,3,0
1602682095,1,3
1602684048,3,1
1602685938,1,3
1602687886,1,0
1602689779,0,1
1602691705,3,0
1602695783,1,1
1602697696,1,0
1602699651,0,1
1602701536,0,1
1602703458,1,2
1602705403,1,1
1602707294,1,1
1602709280,0,1
1602711169,1,0
1602713066,0,3
1602714980,0,3
1602716928,1,1
1602718822,0,1
1602720840,1,0
1602723027,3,3
1602727361,0,1
1602729236,1,1
1602731090,1,1
1602732979,0,3
1602734903,2,0
1602736820,2,0
1602740686,2,0
1602742575,0,2
1602744505,1,2
1602746442,2,1
1602748353,4,1
1602750255,1,3
1602752215,1,1
1602754099,1,4
1602756049,3,2
1602757941,4,2
1602759862,1,2
1602761813,1,0
1602763701,2,1
1602765618,1,4
1602767571,2,0
1602769456,4,1
1602771619,6,4
1602773534,2,0
1602775492,5,0
1602777382,2,2
1602779294,4,1
1602781365,1,1
1602783403,0,1
1602785290,1,0
1602787258,15,0
1602789142,2,0
1602791061,0,3
1602793011,2,1
1602794896,0,1
1602796814,0,1
1602798774,2,0
1602800656,2,0
1602802580,4,1
1602804528,1,0
1602806498,1,1
1602808374,1,2
1602810269,3,1
1602814131,2,0
1602816017,0,1
1602817936,1,1
1602821774,1,2
1602823692,0,2
1602825647,2,1
1602827535,1,1
1602829470,1,0
1602831403,0,1
1602833293,3,3
1602835303,1,3
1602837167,0,1
1602839056,0,1
1602840977,1,3
1602842929,1,1
1602844825,0,5
1602846980,6,0
1602848900,1,2
1602850848,1,2
1602852739,1,3
1602854659,3,2
1602856611,3,4
1602858495,1,5
1602860518,2,4
1602862369,2,3
1602864257,2,3
1602866181,3,3
1602868131,1,1
1602870017,3,0
1602871942,4,1
1602873889,1,16
1602875778,1,2
1602877700,3,1
1602879656,3,3
1602883464,2,1
1602885405,1,1
1602887297,1,3
1602889344,0,3
1602891175,2,1
1602893066,0,1
1602894981,2,1
1602896958,1,3
1602900739,1,2
1602904576,1,1
1602908445,0,1
1602912264,0,2
1602914209,0,1
1602916097,0,1
1602918268,1,0
1602920182,1,3
1602922135,0,1
1602925940,0,1
1602929777,0,1
1602931694,1,2
1602933648,0,4
1602935538,0,1
1602937458,0,1
1602939403,0,1
1602941391,2,5
1602943241,1,1
1602945138,3,1
1602947090,1,2
1602948984,2,2
1602950900,0,4
1602952854,3,2
1602956662,0,3
1602958608,0,6
1602960499,1,0
1602962422,1,2
1602964371,4,2
1602966259,3,3
1602968178,1,1
1602970124,1,1
1602972056,0,1
1602973940,0,1
1602977776,0,2
1602981649,0,2
1602983545,0,1
1602987407,0,1
1602989298,0,1
1602991219,1,0
1603004685,1,1
1603006575,1,1
1603008499,2,0
1603010445,1,0
1603014256,3,0
1603016207,1,0
1603018100,0,1
1603022000,1,0
1603023857,2,0
1603025780,1,0
1603027729,1,2
1603029652,3,1
1603031574,1,2
1603033461,1,2
1603035379,0,2
1603037335,3,0
1603039220,0,2
1603041140,1,0
1603043089,5,0
1603046896,1,1
1603048847,1,1
1603050745,0,4
1603052660,2,1
1603054609,0,1
1603056497,1,1
1603058444,2,0
1603060372,1,0
1603064182,1,0
1603066127,1,0
1603068022,2,0
1603069979,3,1
1603071863,2,0
1603073778,1,0
1603077617,0,1
1603079573,1,0
1603083405,1,0
1603088171,2,1
1603092040,0,2
1603093933,0,1
1603095851,1,2
1603097804,1,0
1603099689,1,1
1603101656,1,2
1603103561,2,1
1603105456,1,0
1603109320,2,2
1603111211,1,1
1603113132,2,0
1603115082,3,3
1603116972,1,2
1603118894,1,0
1603120848,1,1
1603122731,3,2
1603124654,1,0
1603126613,1,1
1603128491,1,2
1603130660,0,3
1603134524,1,1
1603136415,1,1
1603138331,2,1
1603140282,1,0
1603142173,1,0
1603144094,0,2
1603146046,0,1
1603147931,1,0
1603149859,1,0
1603151804,2,2
1603153694,0,1
1603155737,2,4
1603157563,2,2
1603159458,0,1
1603161377,1,0
1603167166,0,1
1603169056,2,1
1603171003,1,0
1603174814,0,2
1603180590,2,0
1603182521,0,1
1603185608,1,1
1603187529,1,2
1603189451,0,1
1603191396,1,2
1603195265,2,2
1603197145,1,0
1603199302,2,3
1603201220,1,3
1603203165,2,1
1603205060,1,1
1603206976,1,1
1603208927,0,3
1603210816,1,0
1603212738,1,1
1603214691,0,1
1603216580,1,0
1603218495,1,0
1603221607,1,1
1603223538,0,2
1603225485,2,5
1603227368,1,0
1603229292,0,1
1603233134,6,1
1603235052,1,1
1603238887,0,2
1603240808,0,1
1603242761,0,1
1603244649,0,2
1603254282,0,1
1603256175,0,2
1603260041,1,0
1603261931,1,0
1603263883,1,0
1603265771,1,1
1603267720,1,1
1603269612,1,1
1603273488,0,1
1603275372,1,0
1603279237,0,1
1603281130,2,1
1603283051,0,2
1603284999,3,2
1603286895,1,1
1603288840,2,1
1603290762,0,2
1603292652,0,1
1603294571,1,0
1603296523,0,2
1603298407,2,2
1603300578,2,0
1603302494,1,1
1603304439,0,1
1603306339,2,1
1603310200,1,0
1603312090,5,2
1603314977,1,1
1603318851,0,6
1603322658,0,1
1603326495,1,0
1603330369,1,0
1603339935,1,0
1603345693,0,1
1603347641,0,1
1603351460,2,2
1603353405,0,1
1603355295,1,1
1603359169,1,0
1603362974,0,1
1603366815,3,1
1603368735,1,1
1603370684,0,3
1603372574,2,1
1603374737,0,2
1603378606,1,0
1603380493,1,1
1603384370,1,3
1603386274,1,1
1603388175,1,1
1603390124,2,0
1603392014,0,1
1603393939,1,1
1603395892,1,1
1603397775,1,0
1603399695,0,2
1603401645,1,0
1603407405,1,0
1603409296,1,0
1603411273,3,0
1603413169,0,1
1603415058,2,0
1603416974,2,1
1603418926,2,0
1603420813,1,0
1603426574,1,1
1603430415,1,0
1603434283,1,0
1603436174,1,1
1603438338,2,2
1603440277,2,1
1603442205,1,0
1603444092,2,0
1603446014,1,1
1603450123,2,0
1603452018,1,0
1603453933,5,1
1603455882,0,1
1603457772,2,0
1603459704,2,2
1603463537,0,1
1603465456,1,0
1603467406,2,1
1603469291,1,0
1603471242,2,2
1603473133,0,1
1603475060,7,1
1603476974,2,2
1603478897,4,0
1603480843,1,1
1603482869,3,2
1603484683,1,0
1603486576,7,1
1603488495,2,0
1603490450,4,0
1603492340,5,0
1603850951,23,87
1603852821,1,0
1603856682,2,0
1603858687,2,0
1603860494,3,0
1603862455,1,0
1603864332,3,0
1603866257,3,0
1603868204,1,0
1603870089,4,0
1603873963,5,0
1603875887,5,0
1603877771,4,0
1603879721,2,0
1603881636,1,0
1603883549,1,0
1603885493,8,0
1603887434,3,0
1603889324,2,0
1603891247,2,0
1603893134,3,0
1603895055,3,0
1603897001,2,0
1603899145,10,0
1603901081,2,0
1603902971,5,0
1603904895,2,0
1603906855,6,0
1603908733,4,0
1603910659,3,0
1603914524,7,0
1603916416,3,1
1603920255,1,1
1603922171,4,4
1603924123,1,4
1603926098,3,1
1603927936,4,3
1603929905,1,0
1603931795,3,3
1603933957,1,2
1603935877,2,1
1603937813,3,3
1603941617,4,0
1603943563,2,2
1603945463,0,2
1603947375,3,3
1603952180,3,5
1603954096,3,1
1603956050,2,4
1603959874,3,4
1603961817,3,4
1603963709,3,3
1603965642,1,3
1603967579,4,2
1603969491,3,0
1603971404,1,8
1603973348,1,2
1603975230,2,4
1603977137,0,1
1603979088,2,2
1603980980,0,4
1603982908,2,3
1603984847,1,7
1603986746,3,7
1603988661,3,5
1603990607,0,2
1603992495,2,4
1603994494,2,6
1603996369,1,4
1606465245,76,89
1606467136,6,1
1606469058,3,3
1606471001,0,2
1606472898,0,1
1606474837,0,3
1606476762,0,1
1606478663,4,2
1606480575,0,4
1606482530,2,3
1606484428,2,2
1606486335,1,1
1606490181,1,5
1606494047,4,2
1606495942,2,0
1606497888,3,2
1606499793,1,2
1606501696,0,2
1606503646,0,2
1606505538,1,2
1606509408,4,0
1606511301,0,2
1606515142,0,1
1606517059,0,3
1606519002,0,1
1606520894,0,1
1606522817,0,1
1606524759,1,0
1606526661,0,2
1606987938,16,61
1606989856,3,0
1606992046,5,0
1606993942,4,0
