DateTime,Entries,UniqueIPs
1602749321,1876,1876
1602751211,1882,1882
1602753131,1888,1888
1602755086,1892,1892
1602757214,1838,1838
1602759130,1842,1842
1602761086,1837,1837
1602762970,1838,1838
1602764891,1839,1839
1602766875,1633,1633
1602768738,1621,1621
1602770655,1608,1608
1602772607,1616,1616
1602774490,1621,1621
1602776419,1540,1540
1602778367,1547,1547
1602780260,1558,1558
1602782169,1570,1570
1602784129,1576,1576
1602786012,1589,1589
1602787964,1598,1598
1602789851,1611,1611
1602791769,1680,1680
1602793723,1678,1678
1602795662,1688,1688
1602797531,1679,1679
1602799485,1684,1684
1602801372,1704,1704
1602803292,1703,1703
1602805244,1703,1703
1602807131,1711,1711
1602809084,1717,1717
1602810968,1724,1724
1602812887,1723,1723
1602814842,1725,1725
1602816733,1607,1607
1602818649,1591,1591
1602820602,1581,1581
1602822490,1572,1572
1602824519,1564,1564
1602826363,1550,1550
1602828250,1539,1539
1602830170,1522,1522
1602832124,1488,1488
1602834010,1461,1461
1602835933,1437,1437
1602837887,1420,1420
1602839770,1399,1399
1602841688,1387,1387
1602843635,1376,1376
1602845534,1361,1361
1602847451,1351,1351
1602849398,1337,1337
1602851296,1328,1328
1602853278,1299,1299
1602855206,1385,1385
1602857078,1383,1383
1602858972,1379,1379
1602860975,1377,1377
1602862850,1368,1368
1602864738,1408,1408
1602866682,1420,1420
1602868575,1410,1410
1602870490,1401,1401
1602872444,1384,1384
1602874334,1368,1368
1602876256,1343,1343
1602878200,1266,1266
1602880089,1266,1266
1602883003,1260,1260
1602884914,1237,1237
1602886882,1205,1205
1602888771,1182,1182
1602890672,1165,1165
1602892633,1153,1153
1602894504,1131,1131
1602896469,1116,1116
1602898384,1107,1107
1602900282,1090,1090
1602902244,1082,1082
1602904121,1091,1091
1602906008,1089,1089
1602907930,1086,1086
1602909879,1087,1087
1602911770,1100,1100
1602913688,1096,1096
1602915759,1100,1100
1602917799,1102,1102
1602919692,817,817
1602921650,1177,1177
1602923559,1184,1184
1602925451,1245,1245
1602927620,1251,1251
1602929537,1250,1250
1602931479,1253,1253
1602933368,1257,1257
1602935288,1263,1263
1602937235,1268,1268
1602939133,1272,1272
1602941084,1208,1208
1602942969,1152,1152
1602944923,1137,1137
1602946871,1132,1132
1602948730,1127,1127
1602950680,1133,1133
1602952570,1074,1074
1602954755,1147,1147
1602956663,1149,1149
1602958609,1155,1155
1602960500,1162,1162
1602962424,1178,1178
1602964373,1177,1177
1602966260,1187,1187
1602968179,1189,1189
1602970125,1191,1191
1602972057,1196,1196
1602973941,1205,1205
1602975907,1202,1202
1602977777,1208,1208
1602979703,1206,1206
1602981650,1218,1218
1602983547,1227,1227
1602985459,1230,1230
1602987408,1235,1235
1602989299,1238,1238
1602991219,1231,1231
1602993171,1234,1234
1602995060,1243,1243
1602996982,1242,1242
1602998926,1249,1249
1603000906,1255,1255
1603002739,1258,1258
1603004686,1264,1264
1603006576,1202,1202
1603008500,1204,1204
1603010446,1170,1170
1603012337,1144,1144
1603014257,1142,1142
1603016208,1144,1144
1603018101,1150,1150
1603020015,1152,1152
1603022000,1153,1153
1603023858,1154,1154
1603025783,1157,1157
1603027730,1156,1156
1603029655,1151,1151
1603031575,1148,1148
1603033462,1154,1154
1603035379,1153,1153
1603037336,1156,1156
1603039220,1154,1154
1603041141,1082,1082
1603043089,1081,1081
1603044978,1079,1079
1603046896,1076,1076
1603048848,1074,1074
1603050745,1076,1076
1603052661,1069,1069
1603054609,1069,1069
1603056498,1085,1085
1603058445,1081,1081
1603060372,1074,1074
1603062267,1078,1078
1603064183,1076,1076
1603066128,1100,1100
1603068023,1124,1124
1603069980,1115,1115
1603071864,1114,1114
1603073778,1113,1113
1603075730,1111,1111
1603077618,1118,1118
1603079573,1111,1111
1603081461,1103,1103
1603083406,1102,1102
1603085296,1097,1097
1603087259,1102,1102
1603089165,1105,1105
1603091068,1108,1108
1603092973,1113,1113
1603094940,1122,1122
1603096815,1128,1128
1603098739,1133,1133
1603100689,1133,1133
1603102578,1138,1138
1603104496,1141,1141
1603106443,1159,1159
1603108341,1156,1156
1603110259,1163,1163
1603112202,1177,1177
1603114095,1190,1190
1603116277,1207,1207
1603118173,1207,1207
1603120135,1214,1214
1603122022,1369,1369
1603123938,1376,1376
1603125888,1385,1385
1603127773,1397,1397
1603129699,1400,1400
1603131643,1405,1405
1603133546,1410,1410
1603135456,1415,1415
1603137405,1416,1416
1603139292,1421,1421
1603141249,1413,1413
1603143167,1418,1418
1603145058,1433,1433
1603146972,1440,1440
1603148932,1441,1441
1603150812,1452,1452
1603152736,1400,1400
1603154682,1402,1402
1603156574,1404,1404
1603158496,1410,1410
1603160458,1417,1417
1603162335,1421,1421
1603164253,1429,1429
1603166205,1436,1436
1603168100,1448,1448
1603170113,1446,1446
1603171938,1454,1454
1603173893,1456,1456
1603175776,1462,1462
1603177694,1460,1460
1603179646,1689,1689
1603181541,1699,1699
1603183457,1695,1695
1603185403,1700,1700
1603187307,1711,1711
1603189250,1782,1782
1603191146,1780,1780
1603193055,1773,1773
1603195269,1773,1773
1603197146,1767,1767
1603199302,1765,1765
1603201221,1763,1763
1603203166,1767,1767
1603205061,1770,1770
1603206977,1770,1770
1603208928,1614,1614
1603210817,1618,1618
1603212739,1610,1610
1603214692,1599,1599
1603216581,1598,1598
1603218496,1602,1602
1603220555,1601,1601
1603222597,1600,1600
1603224509,1581,1581
1603226413,1579,1579
1603228365,1577,1577
1603230257,1568,1568
1603232173,1560,1560
1603234120,1560,1560
1603236014,1585,1585
1603237935,1587,1587
1603239885,1591,1591
1603241773,1591,1591
1603243697,1595,1595
1603245660,1584,1584
1603247543,1585,1585
1603249463,1578,1578
1603251406,1581,1581
1603253298,1587,1587
1603255220,1575,1575
1603257163,1575,1575
1603259061,1568,1568
1603261003,1580,1580
1603262906,1577,1577
1603264848,1258,1258
1603266745,1341,1341
1603268660,1333,1333
1603270609,1333,1333
1603272498,1341,1341
1603274438,1339,1339
1603276369,1277,1277
1603278259,1281,1281
1603280179,1308,1308
1603282129,1302,1302
1603284016,1295,1295
1603286181,1289,1289
1603288097,1293,1293
1603290049,1270,1270
1603291938,1272,1272
1603293855,1277,1277
1603295806,1275,1275
1603297697,1272,1272
1603299670,1268,1268
1603301573,1273,1273
1603303464,1280,1280
1603305373,1283,1283
1603307327,1287,1287
1603309213,1296,1296
1603311134,1300,1300
1603313093,1309,1309
1603314977,1455,1455
1603316905,1581,1581
1603318853,1585,1585
1603320739,1580,1580
1603322659,1554,1554
1603324606,1553,1553
1603326496,1548,1548
1603329640,1551,1551
1603331527,1551,1551
1603333459,2434,2434
1603335397,2432,2432
1603337290,2429,2429
1603339235,2418,2418
1603341157,2411,2411
1603343059,2414,2414
1603344971,2413,2413
1603346918,2408,2408
1603348810,2412,2412
1603350729,2412,2412
1603352680,2409,2409
1603354572,2424,2424
1603356491,2430,2430
1603358437,2430,2430
1603360330,2427,2427
1603362251,2438,2438
1603364200,2439,2439
1603366092,2440,2440
1603368054,2463,2463
1603369961,2479,2479
1603371859,2485,2485
1603373772,2487,2487
1603375722,2449,2449
1603377614,2461,2461
1603379529,2459,2459
1603381484,2460,2460
1603383375,2578,2578
1603385291,2655,2655
1603387237,2658,2658
1603389129,2666,2666
1603391051,2663,2663
1603393003,2667,2667
1603394892,2663,2663
1603396835,2660,2660
1603398764,2662,2662
1603400657,2668,2668
1603402576,2607,2607
1603404523,2558,2558
1603406410,2557,2557
1603408330,2558,2558
1603410279,2558,2558
1603412169,2560,2560
1603414090,2558,2558
1603416042,2553,2553
1603417930,2557,2557
1603419854,1655,1655
1603421798,1657,1657
1603423690,1660,1660
1603425724,1663,1663
1603427541,1668,1668
1603429455,1656,1656
1603431403,1661,1661
1603433294,1657,1657
1603435210,1649,1649
1603437157,1636,1636
1603439050,1630,1630
1603440970,1624,1624
1603442921,1618,1618
1603444810,1609,1609
1603446740,1608,1608
1603448683,1609,1609
1603450570,1609,1609
1603452735,1587,1587
1603454656,1565,1565
1603456604,1541,1541
1603458491,1531,1531
1603460411,1526,1526
1603462360,1516,1516
1603464251,1511,1511
1603466171,1523,1523
1603468377,1530,1530
1603470257,1336,1336
1603472174,1331,1331
1603474121,1334,1334
1603476065,1324,1324
1603477967,1332,1332
1603479854,1321,1321
1603481772,1321,1321
1603483691,1322,1322
1603485611,1532,1532
1603487557,1520,1520
1603489453,1388,1388
1603491399,1390,1390
1603493292,1455,1455
1603850952,231,231
1603852825,256,256
1603854732,273,273
1603856683,298,298
1603858688,316,316
1603860494,396,396
1603862456,409,409
1603864333,418,418
1603866257,429,429
1603868204,440,440
1603870091,459,459
1603872164,841,841
1603873964,853,853
1603875889,867,867
1603877772,886,886
1603879722,916,916
1603881637,931,931
1603883550,948,948
1603885495,956,956
1603887435,970,970
1603889325,991,991
1603891249,1017,1017
1603893135,1041,1041
1603895057,1058,1058
1603897002,1078,1078
1603899147,1098,1098
1603901082,1116,1116
1603902972,1139,1139
1603904897,1169,1169
1603906858,1193,1193
1603908734,1221,1221
1603910660,1243,1243
1603912642,1252,1252
1603914527,1270,1270
1603916417,1465,1465
1603918364,1450,1450
1603920256,1451,1451
1603922172,1457,1457
1603924125,1461,1461
1603926109,1450,1450
1603927938,1453,1453
1603929906,1461,1461
1603931797,1463,1463
1603933958,1462,1462
1603935878,1460,1460
1603937814,1462,1462
