DateTime,AddedIPs,RemovedIPs
1602747370,30,24
1602749321,25,25
1602751212,28,26
1602753132,36,37
1602755092,36,35
1602757214,38,37
1602759130,33,39
1602761086,27,20
1602762970,27,22
1602764892,35,29
1602766889,43,45
1602768744,23,37
1602770656,40,34
1602772608,40,33
1602774491,40,33
1602776420,34,33
1602778368,23,39
1602780261,34,43
1602782170,30,30
1602784130,18,33
1602786013,27,28
1602787965,39,23
1602789851,16,33
1602791770,30,32
1602793724,36,32
1602795683,31,33
1602797531,23,28
1602799486,29,26
1602801372,31,15
1602803300,24,30
1602805250,33,24
1602807132,20,23
1602809085,23,32
1602810969,26,26
1602812888,23,27
1602814842,29,39
1602816733,19,33
1602818650,15,44
1602820603,24,33
1602822491,13,34
1602824547,19,19
1602826364,13,34
1602828251,27,22
1602830176,29,35
1602832125,37,33
1602834011,35,24
1602835934,18,24
1602837887,29,29
1602839770,134,33
1602841689,28,38
1602843635,21,46
1602845534,33,31
1602847451,25,27
1602849404,32,31
1602851297,36,28
1602853293,28,45
1602855212,39,28
1602857078,35,28
1602858972,27,33
1602860976,29,44
1602862856,23,35
1602864738,26,25
1602866683,39,32
1602868576,35,30
1602870490,34,19
1602872444,31,26
1602874340,32,38
1602876257,23,25
1602878201,35,32
1602880089,25,31
1602883003,44,48
1602884914,32,31
1602886882,96,25
1602888772,95,31
1602890672,84,30
1602892639,93,28
1602894505,56,19
1602896477,71,31
1602898385,68,23
1602900287,90,31
1602902244,81,23
1602904122,91,10
1602906008,76,19
1602907931,87,40
1602909885,63,11
1602911770,63,16
1602913689,33,22
1602915760,142,25
1602917800,197,35
1602919693,195,36
1602921669,181,28
1602923559,34,28
1602925451,28,128
1602927625,87,30
1602929537,105,37
1602931479,66,25
1602933369,102,30
1602935288,67,35
1602937236,105,27
1602939134,112,24
1602941090,126,38
1602942970,114,32
1602944923,63,30
1602946881,211,28
1602948730,317,23
1602950681,186,30
1602952571,39,29
1602954756,55,31
1602956665,109,30
1602958610,92,31
1602960501,85,33
1602962430,48,22
1602964379,113,28
1602966261,90,26
1602968179,48,29
1602970125,17,29
1602972059,29,42
1602973942,23,124
1602975908,25,103
1602977777,19,54
1602979704,27,85
1602981651,21,57
1602983555,22,54
1602985460,30,76
1602987408,20,106
1602989300,23,72
1602991220,21,87
1602993172,26,89
1602995061,8,66
1602996989,18,61
1602998927,12,54
1603000908,20,43
1603002740,19,167
1603004688,25,214
1603006577,21,219
1603008501,27,123
1603010447,26,34
1603012338,31,24
1603014257,27,100
1603016208,27,107
1603018102,17,67
1603020016,26,107
1603022001,34,71
1603023858,29,114
1603025790,24,116
1603027730,31,126
1603029660,24,119
1603031576,25,56
1603033463,20,246
1603035380,25,348
1603037338,24,166
1603039221,30,29
1603041142,27,50
1603043090,23,118
1603044978,28,84
1603046897,20,98
1603048848,54,52
1603050746,38,113
1603052662,35,92
1603054610,22,50
1603056498,19,15
1603058448,37,31
1603060373,43,21
1603062268,30,27
1603064184,33,18
1603066128,27,24
1603068023,27,20
1603069981,27,24
1603071865,30,25
