DateTime,Entries,UniqueIPs
1602747370,2325,2325
1602749321,2325,2325
1602751212,2327,2327
1602753132,2326,2326
1602755092,2327,2327
1602757214,2328,2328
1602759130,2322,2322
1602761086,2329,2329
1602762970,2334,2334
1602764892,2340,2340
1602766889,2338,2338
1602768744,2324,2324
1602770656,2330,2330
1602772608,2337,2337
1602774491,2344,2344
1602776420,2345,2345
1602778368,2329,2329
1602780261,2320,2320
1602782170,2320,2320
1602784130,2305,2305
1602786013,2304,2304
1602787965,2320,2320
1602789851,2303,2303
1602791770,2301,2301
1602793724,2305,2305
1602795683,2303,2303
1602797531,2298,2298
1602799486,2301,2301
1602801372,2317,2317
1602803300,2311,2311
1602805250,2320,2320
1602807132,2317,2317
1602809085,2308,2308
1602810969,2308,2308
1602812888,2304,2304
1602814842,2294,2294
1602816733,2280,2280
1602818650,2251,2251
1602820603,2242,2242
1602822491,2221,2221
1602824547,2221,2221
1602826364,2200,2200
1602828251,2205,2205
1602830176,2199,2199
1602832125,2203,2203
1602834011,2214,2214
1602835934,2208,2208
1602837887,2208,2208
1602839770,2309,2309
1602841689,2299,2299
1602843635,2274,2274
1602845534,2276,2276
1602847451,2274,2274
1602849404,2275,2275
1602851297,2283,2283
1602853293,2266,2266
1602855212,2277,2277
1602857078,2284,2284
1602858972,2278,2278
1602860976,2263,2263
1602862856,2251,2251
1602864738,2252,2252
1602866683,2259,2259
1602868576,2264,2264
1602870490,2279,2279
1602872444,2284,2284
1602874340,2278,2278
1602876257,2276,2276
1602878201,2279,2279
1602880089,2273,2273
1602883003,2269,2269
1602884914,2270,2270
1602886882,2341,2341
1602888772,2405,2405
1602890672,2459,2459
1602892639,2524,2524
1602894505,2561,2561
1602896477,2601,2601
1602898385,2646,2646
1602900287,2705,2705
1602902244,2763,2763
1602904122,2844,2844
1602906008,2901,2901
1602907931,2948,2948
1602909885,3000,3000
1602911770,3047,3047
1602913689,3058,3058
1602915760,3175,3175
1602917800,3337,3337
1602919693,3496,3496
1602921669,3649,3649
1602923559,3655,3655
1602925451,3555,3555
1602927625,3612,3612
1602929537,3680,3680
1602931479,3721,3721
1602933369,3793,3793
1602935288,3825,3825
1602937236,3903,3903
1602939134,3991,3991
1602941090,4079,4079
1602942970,4161,4161
1602944923,4194,4194
1602946881,4377,4377
1602948730,4671,4671
1602950681,4827,4827
1602952571,4837,4837
1602954756,4861,4861
1602956665,4940,4940
1602958610,5001,5001
1602960501,5053,5053
1602962430,5079,5079
1602964379,5164,5164
1602966261,5228,5228
1602968179,5247,5247
1602970125,5235,5235
1602972059,5222,5222
1602973942,5121,5121
1602975908,5043,5043
1602977777,5008,5008
1602979704,4950,4950
1602981651,4914,4914
1602983555,4882,4882
1602985460,4836,4836
1602987408,4750,4750
1602989300,4701,4701
1602991220,4635,4635
1602993172,4572,4572
1602995061,4514,4514
1602996989,4471,4471
1602998927,4429,4429
1603000908,4406,4406
1603002740,4258,4258
1603004688,4069,4069
1603006577,3871,3871
1603008501,3775,3775
1603010447,3767,3767
1603012338,3774,3774
1603014257,3701,3701
1603016208,3621,3621
1603018102,3571,3571
1603020016,3490,3490
1603022001,3453,3453
1603023858,3368,3368
1603025790,3276,3276
1603027730,3181,3181
1603029660,3086,3086
1603031576,3055,3055
1603033463,2829,2829
1603035380,2506,2506
1603037338,2364,2364
1603039221,2365,2365
1603041142,2342,2342
1603043090,2247,2247
1603044978,2191,2191
1603046897,2113,2113
1603048848,2115,2115
1603050746,2040,2040
1603052662,1983,1983
1603054610,1955,1955
1603056498,1959,1959
1603058448,1965,1965
1603060373,1987,1987
1603062268,1990,1990
1603064184,2005,2005
1603066128,2008,2008
1603068023,2015,2015
1603069981,2018,2018
1603071865,2023,2023
1603073779,2022,2022
1603075731,2018,2018
1603077619,2010,2010
1603079574,2011,2011
1603081462,2014,2014
1603083407,2023,2023
1603085296,2028,2028
1603087268,2027,2027
1603089165,2034,2034
1603091070,2036,2036
1603092973,2045,2045
1603094940,2054,2054
1603096816,2059,2059
1603098740,2062,2062
1603100690,2076,2076
1603102579,2083,2083
1603104497,2104,2104
1603106444,2118,2118
1603108341,2115,2115
1603110259,2126,2126
1603112202,2133,2133
1603114095,2137,2137
1603116277,2147,2147
1603118173,2149,2149
1603120136,2155,2155
1603122023,2181,2181
1603123945,2175,2175
1603125889,2188,2188
1603127774,2184,2184
1603129700,2195,2195
1603131644,2196,2196
1603133553,2221,2221
1603135457,2207,2207
1603137406,2206,2206
1603139293,2205,2205
1603141263,2228,2228
1603143168,2250,2250
1603145059,2240,2240
1603146972,2225,2225
1603148933,2228,2228
1603150818,2225,2225
1603152737,2242,2242
1603154683,2239,2239
1603156575,2240,2240
1603158496,2247,2247
1603160459,2253,2253
1603162336,2264,2264
1603164254,2283,2283
1603166205,2292,2292
1603168100,2297,2297
1603170124,2312,2312
1603171939,2321,2321
1603173894,2319,2319
1603175777,2325,2325
1603177695,2324,2324
1603179647,2335,2335
1603181542,2384,2384
1603183458,2442,2442
1603185403,2455,2455
1603187308,2456,2456
1603189250,2452,2452
1603191147,2449,2449
1603193056,2443,2443
1603195277,2432,2432
1603197147,2442,2442
1603199303,2451,2451
1603201222,2453,2453
1603203167,2463,2463
1603205061,2469,2469
1603206977,2470,2470
1603208928,2458,2458
1603210818,2448,2448
1603212739,2445,2445
1603214693,2456,2456
1603216582,2460,2460
1603218496,2461,2461
1603220567,2447,2447
1603222597,2435,2435
1603224509,2431,2431
1603226414,2423,2423
1603228366,2408,2408
1603230258,2402,2402
1603232174,2401,2401
1603234121,2410,2410
1603236015,2405,2405
1603237936,2393,2393
1603239886,2385,2385
1603241774,2385,2385
1603243698,2385,2385
1603245661,2368,2368
1603247543,2377,2377
1603249464,2366,2366
1603251408,2365,2365
1603253300,2345,2345
1603255221,2336,2336
1603257163,2819,2819
1603259062,2832,2832
1603261009,3191,3191
1603262906,3189,3189
1603264849,3195,3195
1603266747,3578,3578
1603268668,3509,3509
1603270610,3502,3502
1603272499,3492,3492
1603274448,3830,3830
1603276370,3860,3860
1603278261,3881,3881
1603280180,4245,4245
1603282129,4308,4308
1603284016,4342,4342
1603286182,4806,4806
1603288098,5005,5005
1603290049,4989,4989
1603291939,5549,5549
1603293855,5618,5618
1603295812,5620,5620
1603297698,6195,6195
1603299692,6266,6266
1603301579,6267,6267
1603303465,6810,6810
1603305374,7027,7027
1603307328,7020,7020
1603309214,7122,7122
1603311142,7808,7808
1603313099,7849,7849
1603314978,8110,8110
1603316906,8107,8107
1603318861,8354,8354
1603320740,8443,8443
1603322659,8441,8441
1603324607,8454,8454
1603326497,8453,8453
1603329646,8601,8601
1603331527,8752,8752
1603333460,8774,8774
1603335399,8783,8783
1603337291,8786,8786
1603339246,8808,8808
1603341158,9000,9000
1603343062,8731,8731
1603344973,8511,8511
1603346919,8468,8468
1603348811,8153,8153
1603350730,8149,8149
1603352681,7757,7757
1603354573,7714,7714
1603356492,7711,7711
1603358438,7711,7711
1603360331,7395,7395
1603362252,7344,7344
1603364208,7337,7337
1603366093,7104,7104
1603368971,6875,6875
1603370930,6863,6863
1603372844,6238,6238
1603374738,6160,6160
1603376655,6136,6136
1603378607,5520,5520
1603380493,5468,5468
1603382552,5458,5458
1603384370,4869,4869
1603386275,4796,4796
1603388176,4787,4787
1603390124,4084,4084
1603392021,3978,3978
1603393939,3936,3936
1603395900,3716,3716
1603397775,3076,3076
1603399696,3012,3012
1603401651,2694,2694
1603403540,2664,2664
1603405460,2281,2281
1603407406,2181,2181
1603409296,2136,2136
1603411282,2097,2097
1603413169,2031,2031
1603415059,1964,1964
1603416975,1684,1684
1603418932,1654,1654
1603420814,1633,1633
1603422770,1618,1618
1603424653,1592,1592
1603426575,1497,1497
1603428534,1381,1381
1603430416,1373,1373
1603432333,1357,1357
1603434289,1352,1352
1603436175,1341,1341
1603438338,1338,1338
1603440286,1340,1340
1603442205,1350,1350
1603444093,1342,1342
1603446015,1336,1336
1603448077,1308,1308
1603450124,1330,1330
1603452019,1339,1339
1603453934,1312,1312
1603455882,1303,1303
1603457772,1292,1292
1603459705,1280,1280
1603461714,1286,1286
1603463539,1290,1290
1603465457,1298,1298
1603467407,1311,1311
1603469292,1311,1311
1603471242,1307,1307
1603473133,1302,1302
1603475060,1299,1299
1603476975,1298,1298
1603478898,1301,1301
1603480844,1302,1302
1603482870,1296,1296
1603484684,1333,1333
1603486578,1330,1330
1603488496,1336,1336
1603490451,1340,1340
1603492340,1346,1346
1603850954,447,447
1603852832,479,479
1603854732,497,497
1603856684,531,531
1603858688,550,550
1603860495,591,591
1603862456,615,615
1603864333,654,654
1603866258,676,676
1603868205,697,697
1603870091,717,717
1603872187,754,754
1603874176,782,782
1603876117,812,812
1603878007,843,843
1603879926,879,879
1603881877,915,915
1603884046,947,947
1603885944,987,987
1603887853,1028,1028
1603889811,1053,1053
1603891696,1077,1077
1603893675,1105,1105
1603895564,1131,1131
1603897524,1162,1162
1603899469,1185,1185
1603901362,1212,1212
1603903321,1239,1239
1603905200,1274,1274
1603907122,1314,1314
1603909050,1353,1353
1603910903,1385,1385
1603912836,1410,1410
1603914759,1453,1453
1603916658,1469,1469
1603918575,1477,1477
1603920519,1472,1472
1603922435,1479,1479
1603924339,1472,1472
1603926306,1482,1482
1603928181,1492,1492
1603930101,1497,1497
1603932041,1500,1500
1603933959,1532,1532
1603935879,1545,1545
1603937814,1528,1528
1603939703,1520,1520
1603941619,1532,1532
1603943572,1533,1533
1603945465,1531,1531
1603947384,1524,1524
1603949330,1518,1518
1603951219,1500,1500
1603953158,1492,1492
1603955075,1488,1488
1603956983,1481,1481
1603958932,1485,1485
1603960822,1496,1496
1603962842,1508,1508
1603964691,1514,1514
1603966579,1508,1508
1603968508,1538,1538
1603970444,1552,1552
1603972329,1536,1536
1603974252,1561,1561
1603976197,1555,1555
1603978087,1571,1571
1603980016,1568,1568
1603981962,1564,1564
1603983860,1567,1567
1603985772,1581,1581
1603987717,1582,1582
1603989615,1591,1591
1603991530,1583,1583
1603993478,1575,1575
1603995370,1560,1560
1606465248,1570,1570
1606467137,1575,1575
1606469059,1565,1565
1606471003,1553,1553
1606472899,1581,1581
1606474839,1594,1594
1606476764,1570,1570
1606478664,1544,1544
1606480576,1521,1521
1606482531,1504,1504
1606484429,1497,1497
1606486336,1486,1486
1606488284,1488,1488
1606490183,1490,1490
1606492128,1493,1493
1606494049,1505,1505
1606495943,1501,1501
1606497890,1504,1504
1606499795,1504,1504
1606501697,1506,1506
1606503647,1499,1499
1606505540,1491,1491
1606507465,1481,1481
1606509410,1488,1488
1606511305,1484,1484
1606513250,1491,1491
1606515143,1507,1507
1606517061,1507,1507
1606519003,1540,1540
1606520896,1578,1578
1606522818,1619,1619
1606524761,1648,1648
1606526662,1672,1672
1606528576,1674,1674
1606987941,215,215
1606989858,253,253
1606992047,294,294
1606993943,331,331
