DateTime,Entries,UniqueIPs
1602748356,613,613
1602750257,614,614
1602752219,607,607
1602754102,622,622
1602756056,628,628
1602757943,627,627
1602759866,624,624
1602761816,622,622
1602763704,621,621
1602765620,618,618
1602767572,614,614
1602769457,605,605
1602771621,596,596
1602773535,587,587
1602775494,584,584
1602777385,576,576
1602779296,572,572
1602781368,572,572
1602783405,563,563
1602785292,565,565
1602787260,564,564
1602789145,562,562
1602791062,562,562
1602793013,568,568
1602794897,566,566
1602796815,579,579
1602798776,583,583
1602800658,582,582
1602802582,587,587
1602804529,593,593
1602806513,597,597
1602808375,591,591
1602810271,596,596
1602812181,601,601
1602814133,589,589
1602816018,585,585
1602817938,565,565
1602819889,560,560
1602821776,555,555
1602823694,553,553
1602825648,550,550
1602827537,541,541
1602829472,543,543
1602831405,535,535
1602833295,532,532
1602835352,534,534
1602837168,534,534
1602839058,634,634
1602840980,627,627
1602842931,620,620
1602844827,616,616
1602846983,623,623
1602848902,624,624
1602850850,632,632
1602852741,628,628
1602854660,637,637
1602856614,645,645
1602858497,652,652
1602860555,650,650
1602862371,648,648
1602864259,653,653
1602866183,653,653
1602868133,647,647
1602870019,656,656
1602871944,663,663
1602873891,668,668
1602875780,670,670
1602877703,669,669
1602879660,664,664
1602881554,656,656
1602883466,650,650
1602885407,655,655
1602887299,741,741
1602889392,814,814
1602891614,846,846
1602893533,909,909
1602895481,940,940
1602897376,971,971
1602899293,1030,1030
1602901240,1095,1095
1602903141,1134,1134
1602905073,1207,1207
1602907028,1253,1253
1602908914,1291,1291
1602910894,1324,1324
1602912773,1331,1331
1602914657,1346,1346
1602916602,1507,1507
1602918521,1659,1659
1602920413,1863,1863
1602922330,1921,1921
1602924281,1929,1929
1602926171,1830,1830
1602928091,1901,1901
1602930042,1971,1971
1602931934,2016,2016
1602933853,2057,2057
1602935800,2092,2092
1602937692,2183,2183
1602939687,2238,2238
1602941537,2314,2314
1602943483,2387,2387
1602945393,2400,2400
1602947569,2676,2676
1602949506,2960,2960
1602951451,3016,3016
1602953329,3009,3009
1602955238,3060,3060
1602957186,3133,3133
1602959068,3185,3185
1602960994,3233,3233
1602962935,3261,3261
1602964858,3348,3348
1602966735,3405,3405
1602968681,3401,3401
1602970574,3403,3403
1602972492,3385,3385
1602974445,3293,3293
1602976338,3229,3229
1602978255,3187,3187
1602980199,3136,3136
1602982091,3106,3106
1602984009,3067,3067
1602985963,3005,3005
1602987856,2939,2939
1602989777,2900,2900
1602991717,2844,2844
1602993663,2786,2786
1602995532,2755,2755
1602997493,2720,2720
1602999377,2716,2716
1603001299,2698,2698
1603003240,2528,2528
1603005134,2368,2368
1603007050,2164,2164
1603008998,2133,2133
1603010888,2116,2116
1603012814,2118,2118
1603014760,2037,2037
1603016653,1977,1977
1603018571,1925,1925
1603020522,1879,1879
1603022463,1840,1840
1603024332,1753,1753
1603026280,1698,1698
1603028172,1603,1603
1603030093,1542,1542
1603032017,1522,1522
1603033931,1248,1248
1603035889,958,958
1603037771,899,899
1603039700,907,907
1603041637,851,851
1603043538,768,768
1603045456,711,711
1603047402,657,657
1603049290,654,654
1603051289,569,569
1603053161,519,519
1603055055,512,512
1603056975,513,513
1603058924,509,509
1603060816,526,526
1603062733,531,531
1603064682,537,537
1603066574,533,533
1603068490,533,533
1603070412,537,537
1603072331,538,538
1603074286,536,536
1603076178,533,533
1603078090,529,529
1603080991,528,528
1603082904,531,531
1603084843,532,532
1603086733,527,527
1603088676,521,521
1603090608,524,524
1603092490,522,522
1603094511,528,528
1603096364,533,533
1603098282,530,530
1603100179,534,534
1603102138,533,533
1603104044,540,540
1603105999,539,539
1603107897,542,542
1603110056,544,544
1603111946,538,538
1603113882,543,543
1603115835,548,548
1603117739,546,546
1603119716,548,548
1603121586,555,555
1603123473,553,553
1603125414,552,552
1603127336,553,553
1603129249,558,558
1603131204,561,561
1603133108,584,584
1603135029,565,565
1603136921,560,560
1603138874,553,553
1603140749,562,562
1603142681,578,578
1603144633,586,586
1603146490,573,573
1603148494,572,572
1603150361,566,566
1603152254,573,573
1603154170,585,585
1603156121,583,583
1603158010,587,587
1603159934,586,586
1603161880,600,600
1603163774,616,616
1603165691,622,622
1603167611,627,627
1603169530,629,629
1603171457,643,643
1603173370,646,646
1603175322,654,654
1603177363,654,654
1603179376,660,660
1603181543,658,658
1603183459,647,647
1603185404,655,655
1603187310,655,655
1603189252,657,657
1603191148,665,665
1603193058,658,658
1603196407,646,646
1603198329,650,650
1603200285,643,643
1603202171,655,655
1603204088,652,652
1603206110,657,657
1603207932,661,661
1603209855,662,662
1603211801,665,665
1603213701,680,680
1603215614,688,688
1603217560,694,694
1603219451,675,675
1603221370,671,671
1603223320,667,667
1603225206,666,666
1603227128,661,661
1603229087,653,653
1603230978,642,642
1603233135,652,652
1603235053,650,650
1603236999,652,652
1603238889,650,650
1603240810,642,642
1603242762,646,646
1603244651,647,647
1603246573,650,650
1603248526,641,641
1603250409,640,640
1603252331,637,637
1603254283,625,625
1603256181,670,670
1603258090,1119,1119
1603260048,1162,1162
1603261933,1174,1174
1603263890,1167,1167
1603265773,1259,1259
1603267722,1575,1575
1603269613,1599,1599
1603271530,1589,1589
1603273489,1885,1885
1603275373,1920,1920
1603277294,1927,1927
1603279239,1976,1976
1603281132,2304,2304
1603283052,2327,2327
1603285001,2341,2341
1603286899,2966,2966
1603288847,3004,3004
1603290763,3036,3036
1603292654,3637,3637
1603294573,3645,3645
1603296524,3731,3731
1603298409,4263,4263
1603300580,4290,4290
1603302495,4384,4384
1603304441,5027,5027
1603306340,5055,5055
1603308218,5064,5064
1603310203,5596,5596
1603312091,5860,5860
1603314084,5876,5876
1603315963,6123,6123
1603317874,6185,6185
1603319772,6461,6461
1603321726,6481,6481
1603323616,6489,6489
1603325530,6487,6487
1603327481,6492,6492
1603329375,6593,6593
1603331292,6783,6783
1603333238,6817,6817
1603335137,6826,6826
1603337052,6836,6836
1603339000,6851,6851
1603340891,7047,7047
1603343064,6759,6759
1603344974,6552,6552
1603346920,6512,6512
1603348813,6500,6500
1603350731,6500,6500
1603352683,6119,6119
1603354574,6076,6076
1603356493,6080,6080
1603358439,6083,6083
1603360333,5780,5780
1603362253,5759,5759
1603364210,5781,5781
1603366094,5563,5563
1603368074,5401,5401
1603369962,5408,5408
1603371862,5352,5352
1603373774,4748,4748
1603375723,4728,4728
1603377615,4595,4595
1603379531,4091,4091
1603381486,4088,4088
1603383376,3831,3831
1603385294,3462,3462
1603387239,3460,3460
1603389132,3292,3292
1603391052,2713,2713
1603393005,2693,2693
1603394893,2684,2684
1603396837,2032,2032
1603398767,1891,1891
1603400658,1888,1888
1603402579,1641,1641
1603404525,1523,1523
1603406412,1281,1281
1603408331,1258,1258
1603410281,1245,1245
1603412170,1244,1244
1603414093,1245,1245
1603416043,1091,1091
1603417932,952,952
1603419855,925,925
1603421799,909,909
1603423691,905,905
1603425758,884,884
1603427810,700,700
1603429689,698,698
1603431611,695,695
