DateTime,AddedIPs,RemovedIPs
1601805406,0,1
1601807301,0,1
1601820969,2,0
1601824811,1,0
1601832494,2,1
1601836333,2,0
1601840418,1,0
1601846180,1,0
1601851944,0,1
1601853885,0,1
1601855781,0,1
1601859743,1,0
1601861793,1,0
1601865612,0,1
1601875206,1,1
1601879080,1,0
1601880971,0,1
1601888654,0,1
1601890597,1,1
1601909777,0,2
1601911695,1,0
1601919412,0,1
1601923220,0,3
1601928977,0,1
1601932823,0,1
1601940742,2,0
1601950365,0,1
1601952260,0,1
1601958282,1,0
1601962093,0,1
1601965953,0,1
1601973617,1,0
1601979380,1,0
1601981324,0,1
1601987083,1,0
1601994742,1,0
1601996668,0,1
1602010131,3,0
1602012018,0,1
1602021642,1,0
1602025483,1,1
1602031242,1,1
1602037243,1,0
1602043012,0,1
1602052581,1,0
1602054540,1,0
1602060282,0,1
1602066264,0,1
1602068214,2,0
1602073945,1,0
1602075861,1,0
1602077799,0,1
1602081616,1,1
1602083572,0,1
1602087402,1,0
1602095055,0,1
1602096983,0,1
1602098922,0,1
1602108525,0,1
1602112336,0,1
1602116176,2,0
1602129770,2,0
1602131805,2,0
1602139450,0,1
1602141367,0,1
1602147129,1,0
1602149084,1,0
1602154887,1,1
1602158660,1,0
1602160617,0,1
1602164433,1,0
1602166370,0,2
1602174020,1,1
1602175939,1,0
1602179784,1,0
1602181724,1,0
1602191300,2,0
1602193244,2,0
1602202847,0,1
1602204737,2,0
1602206662,0,1
1602210498,1,0
1602214568,0,1
1602220333,0,1
1602224172,2,0
1602226095,1,0
1602228037,1,0
1602233816,1,1
1602239572,0,1
1602241458,2,1
1602243376,1,0
1602245332,1,1
1602247217,1,0
1602249141,1,0
1602254895,1,1
1602258744,0,1
1602262605,1,1
1602266436,0,1
1602268368,0,1
1602272177,1,0
1602274130,0,1
1602276019,0,1
1602277939,0,2
1602279888,1,1
1602289459,0,1
1602291409,2,1
1602295301,0,1
1602297165,1,1
1602308686,0,2
1602310578,0,1
1602312494,0,1
1602314448,1,1
1602318262,2,0
1602320215,0,1
1602329786,2,0
1602331727,0,3
1602333621,1,2
1602337487,1,0
1602343248,0,1
1602345142,0,1
1602349004,0,1
1602358613,0,1
1602362420,1,0
1602366254,0,1
1602370345,1,0
1602372289,1,0
1602382098,0,2
1602384020,0,1
1602397482,1,0
1602399376,1,1
1602405135,0,1
1602407067,1,0
1602416662,0,2
1602420521,0,1
1602424340,0,1
1602432156,2,0
1602434195,1,0
1602436094,1,0
1602445714,2,0
1602447609,0,1
1602451483,1,0
1602453368,1,0
1602457347,1,1
1602461290,2,0
1602478569,1,0
1602482441,1,1
1602486253,2,0
1602488202,0,1
1602497770,0,1
1602507685,1,0
1602515329,2,0
1602519176,2,2
1602522989,0,2
1602534519,0,1
1602536471,0,1
1602538427,0,1
1602540282,1,1
1602542191,0,1
1602544127,1,0
1602547948,3,1
1602551779,2,1
1602553707,1,0
1602557554,1,0
1602559494,1,0
1602561395,1,0
1602563329,1,0
1602567386,0,2
1602569309,0,1
1602573155,0,1
1602586638,1,0
1602594283,0,2
1602596187,2,0
1602601938,1,2
1602605798,0,1
1602607688,0,1
1602611581,0,1
1602615395,1,0
1602617351,1,0
1602620196,1,0
1602622089,1,0
1602624009,1,0
1602625958,0,1
1602627850,1,0
1602629767,0,1
1602631689,1,1
1602633632,2,1
1602635557,0,2
1602637454,0,2
1602639371,0,1
1602645131,2,0
1602647080,0,2
1602648972,0,1
1602650893,1,0
1602658599,1,0
1602660490,3,0
1602664358,1,0
1602668413,1,0
1602670360,1,0
1602674174,1,0
1602678009,1,1
1602679930,1,0
1602681883,0,1
1602683775,0,1
1602689538,1,0
1602693372,1,0
1602695324,1,0
1602699138,1,0
1602702990,0,2
1602706858,0,1
1602708756,1,1
1602710682,1,0
1602712662,1,1
1602714513,1,1
1602718376,0,1
1602720264,0,2
1602722530,1,0
1602724629,1,0
1602726788,1,0
1602728675,1,0
1602730600,1,0
1602732531,0,1
1602734548,5,1
