DateTime,AddedIPs,RemovedIPs
1602689070,0,1
1602690979,2,1
1602692919,1,1
1602694902,1,1
1602696763,2,0
1602698661,3,2
1602700573,2,1
1602702524,2,0
1602704421,1,1
1602706341,2,3
1602708279,1,2
1602710175,2,2
1602712091,2,1
1602714041,4,0
1602715933,0,5
1602717864,0,2
1602719801,4,5
1602722062,0,1
1602724198,0,1
1602726008,0,2
1602728205,3,1
1602730100,1,6
1602732113,1,0
1602733958,1,0
1602735852,0,1
1602737809,1,0
1602739690,1,0
1602741542,1,0
1602743560,1,1
1602747371,0,1
1602749323,2,0
1602753133,0,3
1602755094,4,3
1602757216,3,2
1602759134,1,4
1602761088,1,0
1602762974,3,2
1602764893,0,2
1602766914,2,1
1602768746,2,2
1602770658,2,2
1602772611,5,1
1602774492,2,2
1602776423,0,3
1602778369,0,4
1602780263,5,0
1602782173,0,1
1602784131,1,2
1602786017,3,2
1602787966,1,2
1602789853,0,3
1602791773,3,2
1602793726,1,1
1602795707,2,0
1602797533,2,1
1602799487,3,2
1602801375,1,2
1602803303,2,0
1602805252,0,1
1602807133,4,1
1602809087,1,1
1602810970,1,0
1602812889,1,1
1602814846,0,2
1602816736,2,1
1602818651,1,1
1602820604,3,1
1602822494,0,1
1602824580,1,0
1602826569,1,2
1602828626,1,0
1602830682,2,1
1602832570,1,1
1602834490,2,2
1602836442,1,2
1602838329,2,1
1602840253,2,0
1602842199,3,4
1602844089,0,2
1602846100,1,1
1602847996,1,5
1602849856,5,1
1602851770,4,2
1602853722,4,2
1602855612,3,2
1602857538,0,1
1602859483,1,6
1602861379,2,1
1602863291,1,2
1602865244,5,0
1602867137,4,1
1602869058,1,0
1602871000,4,3
1602872892,1,2
1602874851,2,1
1602876764,2,2
1602878654,4,4
1602880571,1,0
1602882520,1,3
1602884416,1,3
1602886336,4,2
1602888278,2,1
1602890176,0,2
1602892093,4,2
1602894044,1,6
1602895931,0,1
1602897852,1,1
1602899801,3,1
1602901695,1,0
1602903696,1,1
1602905565,3,0
1602907453,2,2
1602909373,4,0
1602911330,1,1
1602913215,1,0
1602915152,2,2
1602917081,1,1
1602918973,0,4
1602920891,2,0
1602922841,1,2
1602924734,1,2
1602926651,1,3
1602928599,4,3
1602930490,1,0
1602932503,2,6
1602934360,1,0
1602936252,3,4
1602938171,3,4
1602940126,4,3
1602942045,0,1
1602943934,2,1
1602945854,5,1
1602947799,3,3
1602949692,2,2
1602951613,3,0
1602953563,0,3
1602955452,1,0
1602957654,2,1
1602961485,2,3
1602963374,3,3
1602965295,3,2
1602967245,11,1
1602969133,1,0
1602971051,1,0
1602973001,1,4
1602974891,3,2
1602976809,3,0
1602978762,2,1
1602980654,2,1
1602982578,2,1
1602984521,2,1
1602986495,0,4
1602988337,4,1
1602990285,2,1
1602992173,0,2
1602994094,2,3
1602996042,0,4
1602997937,1,2
1602999853,1,2
1603001801,2,3
1603003694,1,0
1603005853,2,0
1603007790,2,3
1603009721,2,1
1603011685,1,0
1603013536,2,4
1603015484,0,4
1603017371,1,0
1603019294,3,3
1603021240,2,1
1603023132,1,2
1603025055,4,2
1603027001,0,3
1603028888,3,0
1603030816,1,2
1603032737,2,2
1603034656,0,1
1603036601,1,3
1603038489,1,2
1603040483,3,1
1603042361,3,1
1603044251,3,1
1603048122,2,2
1603050012,0,3
1603051930,1,1
1603053880,2,1
1603055774,1,0
1603057695,1,1
1603059639,2,1
1603061528,1,1
1603063452,1,1
1603065407,2,2
1603067288,1,3
1603069269,0,1
1603071131,0,1
1603073059,1,0
1603074998,1,3
1603076901,2,2
1603078812,2,0
1603080729,0,3
1603082680,3,2
1603084570,2,0
1603086735,1,1
1603088677,1,1
1603090610,0,2
1603092492,2,2
1603094537,1,3
1603096365,0,4
1603098283,1,1
1603100181,1,2
1603102139,1,1
1603104045,1,6
1603106000,1,3
1603107898,0,2
1603110058,0,1
1603111947,3,2
1603113883,3,0
1603115836,0,2
1603117740,3,1
1603119733,2,0
1603121587,4,0
1603123476,3,2
1603125415,2,0
1603127337,1,2
1603129250,1,3
1603131205,4,4
1603133109,4,1
1603135030,1,0
1603136922,1,0
1603138876,1,2
1603140751,3,1
1603142682,1,1
1603144635,1,1
1603146492,0,2
1603149639,3,3
1603151528,3,1
1603153455,1,1
1603155398,1,0
1603159238,4,1
1603161158,2,1
1603163335,1,0
1603165221,1,2
1603167168,1,0
1603169057,0,2
1603171004,0,3
1603174816,0,2
1603178657,1,1
1603180593,1,1
1603182523,1,0
1603184530,3,1
1603186371,0,1
1603188265,1,1
1603190176,2,2
1603192128,3,1
1603194018,1,4
1603195964,1,1
1603197856,4,3
1603199774,1,4
1603201723,1,1
1603205533,3,2
1603207495,3,1
1603209380,1,2
1603211293,1,5
1603213421,0,2
1603215400,1,1
1603217291,1,2
1603219214,5,3
1603221160,2,2
1603223052,1,0
1603224969,0,3
1603226918,0,2
1603228808,2,0
1603230732,1,0
1603232686,2,0
1603234571,0,2
1603236489,2,1
1603238475,1,1
1603240356,1,2
1603242285,1,0
1603244220,1,1
1603246111,1,1
1603248080,1,2
1603250007,1,4
1603251877,1,2
1603253792,5,2
1603257705,2,0
1603259566,1,2
1603261459,1,0
1603263376,2,0
1603267244,1,2
1603269167,1,2
1603271093,3,1
1603274931,1,1
1603276823,0,2
1603280684,1,4
1603282573,2,2
1603284493,1,3
1603286442,1,2
1603288342,1,3
1603290254,4,0
1603292203,1,1
