DateTime,AddedIPs,RemovedIPs
1602749324,3,4
1602751215,9,7
1602753135,4,10
1602755095,2,4
1602757218,3,4
1602759135,7,8
1602761089,8,8
1602762976,3,2
1602764894,9,3
1602766939,8,7
1602768747,5,2
1602770659,5,7
1602772612,9,4
1602774493,3,5
1602776424,8,9
1602778370,2,7
1602780264,3,13
1602782174,2,9
1602784132,6,6
1602786019,6,6
1602787967,5,6
1602789854,3,6
1602791775,4,4
1602793726,7,8
1602795734,2,11
1602797772,4,8
1602799688,3,8
1602801642,3,6
1602803536,2,5
1602805452,7,6
1602807373,5,10
1602809290,2,7
1602811244,2,9
1602813135,3,8
1602815055,3,7
1602817005,7,7
1602818893,1,9
1602820880,4,8
1602822764,3,7
1602824597,1,1
1602826570,2,11
1602828627,8,4
1602830683,7,8
1602832571,11,5
1602834491,11,2
1602836443,2,7
1602838331,4,5
1602840254,7,6
1602842200,6,1
1602844091,5,3
1602846130,6,9
1602847997,5,7
1602849858,5,5
1602851772,6,8
1602853723,3,7
1602855614,8,7
1602857540,4,4
1602859484,4,6
1602861380,5,1
1602863293,9,11
1602865245,6,2
1602867138,5,2
1602869059,4,5
1602871001,6,2
1602872893,5,7
1602874865,6,6
1602876765,4,2
1602878655,4,4
1602880573,5,9
1602882521,6,1
1602884418,10,5
1602886337,11,2
1602888279,6,4
1602890177,7,3
1602892094,14,6
1602894046,16,4
1602895933,8,3
1602897853,8,2
1602899802,4,4
1602901696,6,4
1602903724,15,4
1602905566,10,3
1602907454,13,4
1602909374,9,2
1602911334,14,1
1602913217,9,3
1602915154,13,7
1602917082,17,6
1602918974,18,11
1602920892,30,11
1602922842,10,2
1602924736,5,4
1602926653,11,6
1602928600,9,5
1602930491,7,5
1602932529,17,6
1602934361,15,4
1602936253,4,5
1602938171,7,5
1602940127,22,5
1602942046,15,6
1602943935,17,4
1602945855,12,4
1602947800,15,7
1602949693,29,9
1602951614,14,6
1602953565,3,6
1602955453,8,4
1602957668,5,5
1602959536,16,5
1602961486,16,6
1602963375,7,4
1602965297,5,2
1602967246,15,6
1602969134,0,5
1602971052,5,12
1602973002,3,11
1602974892,4,5
1602976810,7,10
1602978764,2,11
1602980655,3,19
1602982579,5,7
1602984522,5,9
1602986516,4,4
1602988338,3,8
1602990286,9,14
1602992175,1,10
1602994095,5,13
1602996043,2,7
1602997939,3,16
1602999854,3,8
1603001802,2,16
1603003695,3,17
1603005855,4,20
1603007791,2,28
1603009721,2,9
1603011708,5,4
1603013537,3,10
1603015494,4,7
1603017372,1,11
1603019296,3,15
1603021241,8,14
1603023134,5,9
1603025056,6,11
1603027002,2,15
1603028889,7,18
1603030817,3,16
1603032738,1,15
1603034657,8,15
1603036602,2,27
1603038490,3,12
1603040514,7,5
1603042362,6,6
1603044252,4,5
1603046169,4,19
1603048124,4,13
1603050013,9,7
1603051931,4,3
1603053883,3,14
1603055775,4,0
1603057696,5,5
1603059641,8,4
1603061529,5,6
1603063454,5,4
1603065408,5,3
1603067289,9,2
1603069287,3,6
1603071132,5,5
1603073060,6,1
1603074999,4,5
1603076902,4,5
1603078813,5,4
1603080731,2,5
1603082681,4,1
1603084571,1,6
1603086736,3,2
1603088678,2,2
1603090611,6,2
1603092493,6,4
1603094555,5,3
1603096366,5,2
1603098285,3,4
1603100182,7,4
1603102140,5,4
1603104046,7,3
1603106002,9,2
1603107899,6,8
1603110059,7,5
1603111948,8,4
1603113884,9,5
1603115837,12,4
1603117741,8,2
1603119757,5,4
1603121588,8,7
1603123477,4,3
1603125416,9,4
1603127338,4,9
1603129251,4,4
1603131206,7,4
1603133110,6,4
1603135031,7,4
1603136923,5,8
1603138877,5,2
1603140752,9,5
1603142683,9,3
1603144636,6,7
1603146493,6,7
1603149641,12,7
1603151529,4,6
1603153456,2,8
1603155399,0,5
1603157288,5,4
1603159241,8,7
1603161159,2,3
1603163336,7,5
1603165223,7,4
1603167168,6,2
1603169058,5,5
1603171005,7,1
1603172893,3,2
1603174817,4,2
1603176766,4,6
1603178658,3,6
1603180595,6,4
1603182524,113,5
1603184550,12,3
1603186372,11,7
1603188266,5,5
1603190177,8,6
1603192128,5,8
1603194018,5,6
1603195965,5,4
1603197857,12,8
1603199775,27,7
1603201724,12,8
1603203615,6,11
1603205534,6,5
1603207496,2,6
1603209381,9,5
1603211294,9,11
1603213422,6,5
1603215401,8,2
1603217292,6,10
1603219214,5,4
1603221161,4,6
1603223053,4,5
1603224970,2,5
1603226918,4,12
1603228809,5,10
1603230732,4,8
1603232686,6,4
1603234572,5,7
1603236490,8,6
1603238476,4,7
1603240357,6,1
1603242285,5,3
1603244221,4,7
1603246112,5,3
1603248081,8,6
1603250008,5,6
1603251878,3,6
1603253793,3,5
1603255770,2,6
1603257706,1,4
1603259567,8,2
1603261460,6,5
1603263378,5,4
1603265296,5,2
1603267244,2,7
1603269167,7,111
1603271096,8,10
1603272979,5,7
1603274931,22,7
1603276824,16,7
1603278740,16,4
1603280685,25,5
1603282575,59,5
1603284494,7,11
1603286442,5,21
1603288343,4,11
1603290254,2,9
1603292204,3,5
1603294095,6,1
1603296141,5,11
1603297969,6,7
1603299807,3,3
1603302020,4,7
1603303939,7,2
1603305890,6,7
1603307776,10,5
1603309699,7,4
1603311650,10,4
1603313540,2,4
1603315460,10,7
1603317436,6,4
1603319341,5,5
1603321340,3,5
1603323162,6,8
1603325068,7,3
1603326978,5,6
1603328924,4,6
1603330821,4,5
1603332741,7,4
1603334684,5,6
1603336574,4,5
1603338495,3,3
1603340452,3,2
1603342337,4,2
1603344260,4,4
1603346202,6,9
1603348098,6,9
1603350126,8,9
1603351979,8,2
1603353858,6,4
1603355772,4,8
1603357723,6,7
1603359616,9,8
1603361531,7,21
1603363487,2,16
1603365680,5,15
1603367544,5,44
1603369466,7,40
1603371439,8,14
1603373295,4,6
1603376195,7,6
1603378118,3,3
1603380060,6,3
1603381962,5,6
1603383889,5,4
1603385884,5,5
1603387716,6,4
1603389664,5,3
1603391594,7,10
1603393477,5,7
1603395504,5,11
1603397350,5,5
1603399285,4,4
1603401161,4,9
1603403099,7,8
1603404983,4,6
1603406906,5,5
1603408866,10,5
1603410744,8,4
1603412667,6,5
1603414632,6,5
1603416534,7,4
1603418507,3,7
1603420407,8,6
1603422266,4,4
1603424216,2,4
1603426118,2,4
1603428071,7,4
1603429977,6,7
1603431865,3,3
1603433823,4,8
1603435738,5,9
1603437624,11,9
1603439536,6,7
1603441507,6,4
1603443385,3,3
1603445551,2,12
1603447489,3,13
1603449417,6,3
1603451312,3,5
1603453230,4,3
1603455184,3,8
1603457083,4,5
1603458996,5,8
1603460942,5,6
1603462845,2,3
1603464767,8,1
1603466684,7,6
1603468573,8,5
1603470522,1,6
