DateTime,AddedIPs,RemovedIPs
1602588522,2,1
1602590458,1,0
1602592334,1,0
1602594287,1,1
1602600047,1,4
1602603860,0,1
1602605801,1,0
1602607691,3,0
1602609610,0,3
1602611584,0,2
1602613477,1,1
1602617354,1,3
1602619315,1,0
1602621166,2,2
1602623094,2,1
1602624987,0,2
1602626913,1,0
1602628868,0,3
1602632725,1,3
1602634591,2,3
1602636503,2,3
1602638465,2,1
1602640350,1,1
1602642269,0,1
1602644260,2,0
1602646111,0,1
1602648096,1,0
1602649996,3,0
1602651863,1,1
1602653780,2,1
1602655734,4,1
1602657632,2,3
1602659550,1,1
1602661503,1,0
1602663400,0,2
1602665559,2,1
1602667503,0,1
1602669406,1,2
1602671309,4,0
1602673382,2,2
1602675401,1,1
1602677292,0,1
1602679212,2,2
1602683052,1,0
1602687164,1,1
1602689072,3,0
1602690982,1,1
1602692921,1,1
1602694937,2,2
1602696766,2,0
1602698664,1,0
1602700575,2,1
1602704424,0,1
1602706343,1,2
1602708281,1,1
1602710177,4,2
1602712093,1,1
1602714044,1,0
1602715935,1,0
1602717865,4,1
1602719804,1,0
1602722065,2,3
1602724200,2,3
1602726010,0,1
1602730102,0,2
1602733960,2,1
1602735854,1,2
1602737811,0,2
1602739692,1,1
1602741544,1,5
1602743561,1,2
1602745465,1,1
1602747373,0,1
1602751215,1,1
1602753135,1,1
1602755095,2,0
1602757218,1,5
1602759136,2,2
1602761089,2,0
1602762976,1,1
1602764894,1,2
1602766948,1,0
1602769004,1,1
1602770890,1,0
1602772809,1,1
1602774764,0,2
1602776648,0,1
1602778569,0,2
1602780521,2,2
1602782407,3,2
1602784328,0,1
1602786284,0,2
1602788171,1,0
1602792039,1,0
1602793933,0,1
1602795743,2,4
1602797772,0,2
1602799689,1,1
1602801643,1,0
1602803536,1,3
1602805453,2,3
1602807373,0,1
1602809290,2,2
1602811245,3,1
1602817005,3,0
1602818893,1,0
1602820884,2,2
1602822764,1,1
1602824600,4,0
1602826571,3,1
1602828627,2,1
1602830684,0,2
1602832571,2,0
1602836443,2,1
1602840254,1,1
1602842201,2,2
1602844092,0,3
1602846139,2,1
1602847998,1,2
1602849858,1,1
1602851772,1,0
1602853723,0,2
1602855614,1,0
1602857540,2,1
1602859485,1,1
1602861380,1,0
1602865245,2,0
1602867138,4,2
1602869059,2,3
1602871002,1,0
1602874871,2,1
1602876766,1,0
1602878655,1,1
1602880573,2,0
1602882521,0,2
1602884418,4,0
1602886338,4,1
1602888280,1,1
1602890178,0,1
1602892094,0,2
1602894047,3,1
1602895933,3,1
1602897853,3,3
1602899802,4,0
1602901697,0,1
1602903733,2,3
1602905566,5,0
1602907454,1,2
1602909374,1,1
1602911334,0,4
1602913217,1,3
1602915154,3,2
1602918974,0,2
1602920893,3,0
1602922843,2,2
1602924736,1,0
1602926653,2,1
1602928600,3,2
1602932535,3,2
1602934362,2,1
1602936254,0,1
1602938172,0,1
1602942046,1,1
1602943936,2,2
1602945855,3,0
1602947800,1,2
1602951614,0,2
1602953565,0,4
1602955453,4,2
1602957671,4,1
1602961486,3,2
1602963375,0,1
1602965297,1,1
1602967247,0,2
1602969135,0,2
1602971052,1,4
1602973003,1,3
1602974892,1,0
1602976811,2,0
1602978764,1,0
1602980655,0,3
1602982580,1,3
1602984523,2,4
1602986521,0,3
1602988339,1,0
1602990286,1,3
1602992175,2,4
1602994095,0,1
1602996043,1,1
1602999854,1,1
1603001803,2,3
1603005855,0,1
1603007792,2,2
1603009722,1,3
1603013538,0,3
1603015499,1,2
1603017373,2,0
1603019296,0,3
1603021241,1,2
1603025056,2,0
1603027003,1,0
1603028890,2,1
1603030818,3,2
1603032738,0,3
1603034657,0,1
1603038490,2,0
1603040530,1,1
1603042362,2,3
1603044252,0,4
1603046170,0,1
1603048124,0,2
1603050013,1,0
1603051932,3,1
1603055775,2,0
1603057697,0,2
1603059642,1,0
1603061530,0,1
1603063454,0,2
1603065408,0,1
