DateTime,Entries,UniqueIPs
1602720845,1893,1893
1602723031,1924,1924
1602725194,1959,1959
1602727366,1961,1961
1602729240,1969,1969
1602731095,1983,1983
1602732985,1972,1972
1602734909,1981,1981
1602736825,1844,1844
1602738748,1838,1838
1602740691,1820,1820
1602742579,1817,1817
1602744511,1850,1850
1602746446,1851,1851
1602748358,1844,1844
1602750260,1850,1850
1602752224,1863,1863
1602754105,1858,1858
1602756064,1855,1855
1602757945,1845,1845
1602759869,1844,1844
1602761818,1857,1857
1602763707,1870,1870
1602765622,1845,1845
1602767574,1829,1829
1602769459,1845,1845
1602771623,1839,1839
1602773537,1867,1867
1602775496,1881,1881
1602777388,1888,1888
1602779298,1882,1882
1602781371,1892,1892
1602783407,1894,1894
1602785295,1876,1876
1602787263,1888,1888
1602789148,1887,1887
1602791065,1894,1894
1602793015,1902,1902
1602794900,1909,1909
1602796817,1909,1909
1602798778,1917,1917
1602800660,1909,1909
1602802584,1907,1907
1602804532,1969,1969
1602806549,2000,2000
1602808378,1989,1989
1602810275,1967,1967
1602812183,1971,1971
1602814135,1987,1987
1602816020,2005,2005
1602817940,2002,2002
1602819891,1997,1997
1602821778,1994,1994
1602823697,1993,1993
1602825650,1837,1837
1602827540,1822,1822
1602829474,1806,1806
1602831406,1783,1783
1602833297,1801,1801
1602835379,1804,1804
1602837615,1795,1795
1602839540,1807,1807
1602841482,1822,1822
1602843377,1836,1836
1602845294,1843,1843
1602847241,1842,1842
1602849132,1839,1839
1602851300,1833,1833
1602853354,1829,1829
1602855215,1820,1820
1602857081,1809,1809
1602858974,1796,1796
1602860978,1801,1801
1602862859,1798,1798
1602864742,1791,1791
1602866686,1805,1805
1602868579,1792,1792
1602870494,1783,1783
1602872447,1778,1778
1602874343,1775,1775
1602876260,1778,1778
1602878205,1780,1780
1602880092,1766,1766
1602882087,1767,1767
1602883965,1765,1765
1602885855,1779,1779
1602887771,1780,1780
1602889728,1743,1743
1602891616,1708,1708
1602893536,1693,1693
1602895484,1707,1707
1602897378,1718,1718
1602899296,1744,1744
1602901242,1750,1750
1602903143,1759,1759
1602905075,1756,1756
1602907031,1776,1776
1602908917,1777,1777
1602910976,1781,1781
