DateTime,AddedIPs,RemovedIPs
1602747374,57,62
1602749325,86,112
1602751217,45,75
1602753136,107,104
1602755097,55,71
1602757219,72,92
1602759136,58,253
1602761090,87,162
1602762977,75,71
1602764895,98,119
1602766963,87,96
1602769005,67,108
1602770891,85,103
1602772810,335,66
1602774765,1614,123
1602776649,79,85
1602778578,123,88
1602780522,99,44
1602782408,109,153
1602784329,84,86
1602786285,103,90
1602788173,76,68
1602790123,73,62
1602792041,91,52
1602793934,270,79
1602795760,391,80
1602797774,634,97
1602799689,569,94
1602801644,527,63
1602803539,486,95
1602805454,621,60
1602807374,722,137
1602809291,614,54
1602811246,627,98
1602813136,129,58
1602815056,99,107
1602817006,36,68
1602818894,51,146
1602820893,58,57
1602822765,98,581
1602824610,76,61
1602826574,294,67
1602828628,670,103
1602830685,57,95
1602832572,105,71
1602834492,309,51
1602836445,116,84
1602838333,56,37
1602840255,2326,102
1602842202,4685,53
1602844093,2535,50
1602846168,2487,91
1602848000,1750,60
1602849860,1682,95
1602851773,243,54
1602853725,34,64
1602855616,56,43
1602857541,44,69
1602859486,44,88
1602861382,88,1144
1602863295,58,248
1602865247,49,119
1602867147,42,73
1602869061,37,96
1602871003,50,44
1602872894,51,95
1602874882,51,56
1602876767,51,64
1602878657,69,114
1602880574,63,248
1602882523,55,391
1602884419,42,568
1602886339,51,505
1602888281,52,554
1602890179,52,459
1602892096,50,556
1602894048,54,708
1602895934,69,583
1602897854,56,590
1602899804,48,66
1602901698,86,92
1602903748,100,59
1602905568,59,60
1602907455,247,92
1602909375,358,73
1602911336,455,100
1602913218,507,336
1602915155,480,578
1602917084,632,63
1602918975,470,100
1602920894,573,268
1602922844,530,120
1602924738,509,51
1602926655,477,2358
1602928601,232,4805
1602930492,62,2568
1602932554,50,2538
1602934363,45,1766
1602936255,142,1761
1602938173,84,270
1602940129,48,41
1602942047,52,66
1602943937,51,56
1602945856,43,47
1602947802,55,80
1602949694,40,61
1602951615,59,58
1602953566,46,45
1602955454,39,46
1602957677,53,58
1602959537,54,51
1602961487,63,50
1602963377,60,47
1602965298,72,59
1602967248,43,71
1602969136,38,63
1602971053,64,54
1602973004,59,53
1602974894,70,48
1602976812,86,49
1602978765,42,72
1602980656,60,55
1602982581,54,66
1602984524,52,55
1602986539,66,50
1602988340,47,78
1602990288,45,92
1602992176,54,65
1602994096,53,389
1602996044,47,373
1602997941,51,558
1602999855,43,669
1603001804,45,608
1603003697,66,675
