DateTime,AddedIPs,RemovedIPs
1602740692,1,4
1602742580,3,0
1602744512,4,2
1602746447,2,2
1602748359,2,6
1602750261,5,2
1602752226,8,4
1602754106,1,3
1602756066,3,4
1602757946,2,2
1602759870,3,6
1602761819,3,3
1602763708,5,4
1602765623,5,1
1602767575,4,0
1602769460,2,3
1602771624,6,4
1602773538,2,3
1602775497,2,4
1602777389,2,2
1602779298,1,1
1602781372,2,1
1602783408,5,3
1602785296,2,6
1602787264,6,6
1602789148,4,3
1602791066,4,4
1602793016,4,3
1602794901,2,3
1602796818,6,3
1602798779,7,5
1602800661,11,3
1602802585,3,1
1602804532,4,2
1602806555,3,2
1602808378,3,1
1602810277,3,3
1602812184,4,5
1602814136,4,6
1602816021,7,5
1602817940,1,1
1602819892,8,2
1602821779,2,2
1602823698,2,3
1602825651,9,4
1602827541,4,2
1602829475,7,4
1602831407,3,1
1602833297,5,3
1602835381,3,3
1602837616,2,8
1602839543,4,4
1602841485,6,1
1602843378,5,4
1602845296,3,2
1602847244,2,3
1602849135,5,2
1602851301,7,4
1602853375,0,8
1602855216,4,3
1602857082,3,5
1602858975,6,3
1602860979,4,1
1602862860,5,3
1602864743,1,1
1602866687,3,1
1602868583,4,1
1602870496,4,7
1602872448,3,1
1602874344,4,6
1602876260,7,5
1602878206,2,3
1602880093,3,4
1602882102,3,2
1602883966,2,6
1602885857,5,12
1602887773,2,6
1602889729,5,4
1602891617,2,2
1602893537,4,5
1602895485,4,1
1602897379,2,5
1602899297,2,5
1602901243,8,5
1602903144,2,4
1602905076,6,7
1602907032,7,2
1602908918,3,1
1602910991,2,6
1602912976,3,7
1602914923,2,4
1602916826,6,6
1602918733,1,3
1602920682,2,4
1602922571,3,3
1602924490,2,2
1602926442,6,6
1602928333,2,6
1602930256,0,3
1602932200,3,4
1602934091,6,2
1602936040,2,5
1602937962,4,6
1602939793,2,0
1602942049,5,5
1602943938,2,4
1602945858,2,5
1602947803,3,4
1602949696,2,4
1602951617,5,2
1602953572,6,3
1602955456,4,4
1602957684,5,3
1602959538,5,5
1602961489,5,4
1602963378,6,6
1602965305,3,3
1602967254,3,2
1602969137,4,4
1602971055,5,2
1602973007,4,4
1602974900,1,3
1602976814,5,4
1602978770,6,3
1602980658,4,2
1602982585,1,4
1602984530,3,3
1602986564,3,5
1602988576,2,4
1602990497,1,5
1602992443,4,7
1602994336,1,3
1602996254,3,4
1602998200,6,3
1603000090,1,2
1603002010,3,2
1603003959,2,6
1603005862,1,2
1603007794,1,1
1603009724,1,3
1603011750,3,2
1603013776,2,5
1603015716,1,2
1603017708,2,2
1603019536,2,4
1603021459,0,5
1603023427,5,3
1603025310,2,2
1603027267,3,3
1603029176,6,4
1603031074,1,1
1603033042,5,3
1603034905,4,3
1603036882,2,4
1603038825,4,3
1603040677,2,8
1603042590,3,2
1603044542,5,5
1603046442,3,4
1603048414,7,5
1603050305,1,9
1603052286,1,2
1603054114,5,1
1603056057,0,5
1603057948,2,4
1603059875,2,5
1603061844,3,2
1603063707,3,4
1603065687,7,5
1603067611,5,4
1603069471,2,2
1603071422,0,3
1603073329,2,2
1603075227,3,2
1603077177,2,1
1603079100,4,4
1603080994,6,1
1603082907,4,3
1603084845,2,6
1603086739,2,1
1603088681,3,3
1603090613,3,2
1603092496,3,1
1603094569,3,1
1603096370,2,2
1603098291,8,2
1603100185,4,2
1603102143,2,1
1603104049,2,2
1603106005,1,2
1603110062,7,6
1603111951,5,2
1603113887,5,2
1603115840,6,6
1603117744,1,2
1603119784,9,4
1603121591,3,4
1603123480,0,4
1603125419,4,2
1603127343,5,2
1603129254,5,3
1603131209,0,7
1603133114,3,1
1603135034,2,7
1603136926,3,1
1603138881,2,2
1603140754,2,4
1603142686,2,0
1603144639,4,3
1603146496,3,1
1603148592,1,4
1603150572,0,2
1603152522,4,9
1603154413,1,3
1603156333,5,2
1603158279,2,2
1603160173,3,0
1603162096,3,3
1603164040,5,4
1603165932,3,4
1603167883,1,4
1603169770,3,5
1603171718,2,1
1603173638,2,2
1603175534,4,4
1603177373,5,3
1603179381,5,3
1603181547,5,3
1603183466,2,2
1603185408,6,7
1603187315,5,4
1603189257,1,3
1603191154,2,2
1603193063,2,0
1603195298,2,3
1603197151,2,6
1603199310,3,6
1603201228,4,6
1603203173,0,3
1603205067,6,6
1603206982,5,5
1603208933,3,1
1603210824,5,2
1603212745,4,5
1603214698,4,5
1603216593,2,2
1603218505,5,2
1603220599,0,2
1603222604,2,4
1603224515,4,0
1603226420,3,3
1603228372,2,2
1603230264,2,4
1603232180,3,1
1603234126,1,4
1603236022,2,0
1603237942,3,1
1603239892,2,4
1603241787,7,3
1603243704,1,4
1603245691,0,1
1603247554,1,4
1603249471,1,5
1603251414,2,3
1603253307,2,1
1603255228,4,3
1603257169,1,3
1603259070,1,1
1603261015,3,3
1603262912,1,3
1603264854,6,9
1603266753,4,3
1603268676,3,3
1603270618,5,2
1603272505,1,7
1603274475,6,4
1603276376,1,0
1603278267,3,4
1603280187,1,0
1603282137,5,3
1603284022,3,1
1603286187,3,5
1603288102,0,2
1603290054,5,1
1603291943,3,5
1603293862,4,7
1603295825,2,2
1603297705,3,5
1603299814,7,4
1603302023,6,5
1603303945,6,3
1603305893,1,2
1603307779,6,2
1603309708,1,1
1603311653,4,4
1603313546,1,2
1603315466,1,4
1603317439,3,2
1603319344,3,2
1603321383,4,0
1603323371,6,4
1603325317,7,2
1603327211,10,3
1603329130,1,5
1603331081,4,1
1603332979,2,1
1603334898,4,1
1603336849,2,2
1603338729,2,0
1603340652,2,4
1603342608,6,3
1603344492,6,0
1603346449,3,1
1603348365,4,3
1603350258,2,4
1603352418,2,7
1603354334,0,2
1603356287,6,4
1603358170,4,3
1603360094,0,4
1603362047,2,3
1603363939,2,2
1603365852,3,2
1603367804,8,4
1603369694,3,1
1603371866,2,4
1603373779,3,2
1603375727,0,4
1603377619,2,3
1603379534,2,3
1603381490,1,3
1603383380,2,4
1603385298,3,1
1603387244,1,8
1603389136,4,7
1603391057,6,4
1603393009,4,3
1603394896,4,4
1603396841,2,2
1603398772,4,3
1603400663,2,1
1603402582,4,1
1603404529,4,4
1603406416,4,2
1603408335,3,6
1603410284,2,3
1603412174,5,10
1603414097,4,7
1603416053,3,1
1603417936,2,5
1603419858,4,1
1603421805,4,4
1603423694,3,2
1603425812,5,2
1603427814,1,2
1603429691,3,7
1603431615,2,6
1603433559,3,4
1603435456,2,3
1603437374,2,1
1603439320,1,2
1603441214,2,1
1603443134,3,7
1603445090,5,2
1603446979,2,1
1603449144,3,3
1603451057,3,1
1603453006,2,2
1603454894,6,8
1603456813,3,3
1603458761,3,2
1603460656,6,3
1603462575,2,0
1603464520,5,2
1603466413,3,2
1603468382,3,1
1603470263,3,3
1603472183,2,2
1603474125,4,1
1603476175,2,5
1603478170,1,7
1603480116,1,3
1603482010,3,4
1603483957,2,2
1603485851,1,4
1603487770,1,2
1603489984,6,4
1603491862,2,4
1603493776,4,5
1603850973,515,129
1603852839,5,0
1603854738,1,0
1603856690,6,0
1603858694,2,0
1603860501,1,0
1603862467,2,0
1603864339,4,0
1603866263,5,0
1603868211,2,0
1603870098,2,0
1603872214,2,0
1603874182,1,0
1603876124,6,0
1603878014,4,0
1603879933,3,0
1603881884,3,0
1603884052,2,0
1603885951,1,0
1603887860,3,0
1603889817,5,0
1603891703,2,0
1603893764,2,0
1603895571,2,0
1603897531,4,0
1603899476,1,0
1603901368,7,0
1603903335,14,0
1603905208,4,0
1603907129,5,0
1603909056,6,0
1603910909,6,0
1603912843,5,0
1603914766,6,0
1603916665,2,117
1603918583,9,162
1603920528,6,202
1603922447,10,1
1603924346,3,3
1603926315,8,4
1603928189,5,10
1603930109,3,4
1603932049,8,3
1603933965,4,1
1603935886,7,5
1603937821,5,6
1603939710,10,3
1603941627,7,2
1603943580,6,6
1603945472,6,1
1603947394,6,1
1603949337,12,2
1603951244,8,6
1603953173,3,4
1603955083,5,1
1603956992,2,2
1603958940,6,2
1603960832,7,2
1603962850,6,5
1603964698,6,4
1603966587,7,4
1603968518,5,2
1603970456,5,2
1603972338,3,1
1603974259,2,3
1603976204,5,5
1603978096,6,2
1603980035,9,2
1603981969,6,2
1603983871,5,4
1603985780,5,1
1603987724,9,7
1603989625,12,14
1603991537,6,4
1603993486,4,5
1603995378,4,5
1606465263,100,271
1606467147,2,0
1606469069,3,0
1606472907,3,0
1606474850,2,7
1606476771,2,5
1606478672,2,1
1606480585,1,6
1606482539,1,0
1606484436,0,2
1606486344,4,2
1606488292,2,3
1606490191,4,7
1606492136,0,3
1606494055,1,4
1606495951,7,2
1606497898,3,3
1606499804,2,3
1606501705,0,1
1606503660,3,0
1606505547,4,2
1606507472,3,3
1606509419,2,0
1606511315,6,0
1606513257,5,4
1606515149,3,6
1606517069,1,2
1606519010,5,0
1606520903,3,1
1606522825,1,2
1606524768,5,3
1606526670,0,1
1606528583,2,2
1606992973,323,107
1606994922,528,0
