DateTime,AddedIPs,RemovedIPs
1602602413,2,2
1602604367,2,1
1602606256,1,0
1602608179,2,4
1602610124,3,2
1602614184,4,2
1602616096,0,5
1602618044,1,2
1602619934,1,1
1602621860,2,0
1602623801,2,2
1602625694,1,0
1602627612,1,2
1602629561,1,2
1602631453,1,1
1602633405,2,1
1602635290,0,4
1602639164,1,1
1602641062,2,4
1602642981,1,0
1602644922,2,1
1602646815,0,3
1602648736,0,1
1602650688,2,1
1602652572,1,1
1602654399,3,0
1602656441,1,2
1602658331,0,1
1602660254,0,5
1602662205,1,1
1602664093,3,2
1602666186,4,3
1602668200,3,0
1602672012,0,3
1602673959,0,1
1602675852,2,0
1602677771,2,2
1602679721,1,1
1602681610,0,1
1602683538,3,1
1602685481,1,0
1602687372,1,3
1602689315,0,2
1602691253,0,1
1602693134,5,0
1602694983,2,3
1602696969,0,2
1602700817,0,4
1602702732,2,0
1602704681,2,2
1602706569,5,0
1602708493,2,2
1602710436,3,2
1602712332,1,2
1602716197,1,1
1602718088,4,1
1602720126,1,2
1602726012,2,2
1602728209,2,1
1602730103,0,2
1602732118,1,1
1602733962,1,0
1602735856,0,1
1602737813,2,2
1602739694,0,1
1602741547,0,2
1602743563,1,1
1602747375,0,1
1602751218,2,4
1602753137,2,3
1602755098,0,3
1602757220,4,0
1602759137,1,0
1602762978,1,3
1602764896,0,2
1602766978,1,0
1602769007,1,1
1602770892,0,3
1602772811,0,1
1602778579,1,3
1602780522,11,2
1602782409,1,2
1602790124,1,4
1602792043,0,1
1602793935,0,4
1602795768,0,4
1602797775,0,2
1602799690,1,0
1602801645,2,0
1602803540,2,5
1602807376,1,1
1602811247,2,1
1602813138,3,1
1602815057,0,2
1602818895,0,1
1602820900,0,1
1602822766,2,0
1602824614,1,2
1602826575,1,0
1602828630,0,1
1602834493,2,0
1602836446,2,2
1602838334,2,0
1602840256,4,2
1602842203,1,0
1602844094,1,4
1602846176,2,1
1602848000,1,0
1602849861,0,1
1602853726,0,1
1602855617,0,1
1602863296,1,0
1602865248,1,6
1602867148,0,6
1602869062,1,1
1602871005,1,0
1602872895,1,0
1602874899,0,1
1602876768,1,0
1602878658,1,0
1602880575,1,0
1602882524,3,0
1602884421,1,0
1602886340,1,3
1602888282,2,0
1602890180,0,2
1602892096,0,1
1602894049,1,0
1602895935,1,0
1602897855,1,2
1602899805,2,3
1602907457,3,0
1602909376,1,2
1602911337,0,1
1602913219,0,1
1602917085,4,0
1602920895,1,2
1602922847,1,2
1602924739,0,2
1602926656,3,4
1602928602,0,1
1602930493,2,1
1602932565,0,2
1602934570,0,1
1602936530,1,0
1602938411,1,0
1602940598,3,0
1602942509,1,0
1602946360,5,0
1602948259,2,0
1602950169,1,1
1602952121,0,1
1602954089,4,1
1602955932,0,1
1602957885,0,1
1602959769,2,0
1602961940,1,0
1602963853,0,2
1602965836,1,1
1602967707,1,1
1602969625,2,2
1602971603,0,1
1602973468,0,2
1602975396,1,1
1602977338,1,0
1602979304,1,0
1602981157,2,1
1602983124,1,2
1602986910,3,2
1602992668,3,1
1602994637,0,2
1602996550,3,1
1602998424,1,0
1603004177,0,4
1603006118,1,0
1603008073,1,1
1603009950,0,1
1603011753,1,1
1603013776,1,2
1603015717,3,0
1603017708,0,2
1603019536,3,0
1603023428,0,1
1603025310,1,1
1603027267,0,4
1603033043,0,6
1603034905,0,1
1603036883,0,1
1603038825,1,0
1603040677,0,4
1603044542,1,0
1603046443,8,2
1603048414,1,1
1603050306,2,0
1603052287,1,1
1603054114,2,1
1603056058,5,2
1603057948,3,0
1603059875,2,0
1603061844,2,1
1603063708,2,1
1603065689,1,1
1603067611,2,2
1603069472,4,1
1603073329,0,3
1603075227,1,0
1603077177,6,0
1603079100,3,3
1603080994,5,0
1603082907,1,3
1603084846,0,1
1603086739,1,0
1603088681,2,0
1603090614,1,0
1603092497,0,1
1603094570,1,1
1603096370,1,0
1603098292,0,1
1603100185,2,1
1603102144,1,3
1603104049,1,0
1603106005,3,3
1603107903,1,0
1603110062,0,1
1603113887,1,0
1603123480,3,0
1603125420,1,1
1603127343,4,0
1603129255,3,0
1603131210,1,1
1603133114,0,8
1603135034,1,1
1603136927,3,2
1603138882,0,1
1603140755,1,2
1603142687,0,6
1603144639,1,2
1603146496,1,2
1603148600,3,2
1603150573,1,3
1603152522,4,0
1603154414,3,5
1603156333,2,1
1603160174,3,1
1603162097,3,0
1603164041,2,6
1603165933,1,5
1603167883,9,3
1603169770,4,1
1603171719,1,0
1603173639,3,2
1603175535,1,1
1603177375,0,1
1603179381,1,0
1603181548,2,1
1603183466,1,1
1603185408,0,1
1603187316,2,2
1603189257,2,1
1603193063,2,3
1603195300,0,1
1603197151,3,0
1603199311,3,1
1603201229,4,0
1603203173,5,0
1603205067,1,0
1603206983,2,0
1603208934,0,1
1603210824,0,3
1603212745,2,1
1603214699,1,4
1603216594,1,3
1603220600,1,1
1603222604,2,0
1603224516,2,3
1603228372,0,1
1603230265,1,1
1603232181,0,1
1603234127,0,2
1603236023,1,1
1603237942,1,4
1603239893,3,2
1603241788,0,4
1603243704,2,0
1603245692,1,1
1603247555,3,4
1603249472,4,2
1603251414,1,2
1603253308,2,1
1603255229,3,11
1603257170,2,2
1603259071,4,2
1603261016,0,2
1603266754,0,1
1603268676,1,3
1603270619,2,0
1603272506,2,2
1603274489,0,2
1603278269,5,1
