DateTime,AddedIPs,RemovedIPs
1602587087,2,2
1602588978,0,2
1602590898,0,1
1602592849,0,1
1602594737,1,3
1602596660,1,2
1602598605,1,1
1602600497,1,1
1602602413,0,3
1602604368,0,1
1602606256,1,1
1602610125,2,0
1602612032,1,0
1602614184,1,0
1602616096,2,1
1602618045,4,1
1602619935,3,1
1602621860,3,2
1602623801,4,3
1602625694,1,1
1602627612,1,3
1602629561,1,3
1602631453,4,2
1602633406,4,3
1602635290,5,4
1602637301,3,4
1602639165,1,0
1602641062,0,4
1602642981,0,1
1602644923,5,0
1602646816,0,2
1602650689,1,0
1602652572,1,1
1602654399,1,0
1602658332,1,1
1602660255,1,3
1602662206,0,1
1602664094,0,1
1602666189,2,0
1602668200,2,0
1602670094,1,2
1602672013,0,3
1602673959,1,1
1602675853,0,1
1602679721,2,0
1602681610,5,0
1602683538,0,2
1602685481,2,1
1602687372,0,1
1602693135,2,1
1602694988,0,1
1602696969,0,3
1602698919,0,5
1602700817,0,2
1602702732,2,2
1602704682,1,2
1602706570,2,1
1602708493,1,1
1602710436,5,4
1602712332,6,2
1602714252,1,1
1602716198,0,2
1602718088,1,1
1602720126,1,2
1602722068,2,4
1602724202,0,5
1602728210,1,0
1602730104,0,1
1602732118,0,4
1602735856,0,1
1602739694,0,1
1602741547,0,1
1602743564,0,1
1602745468,0,1
1602747376,0,1
1602749327,0,1
1602751218,0,1
1602755098,0,3
1602757221,2,0
1602759138,2,2
1602761091,1,1
1602762978,2,0
1602764896,2,2
1602766986,0,2
1602769007,1,3
1602770892,0,1
1602772811,1,0
1602776651,1,0
1602778579,0,2
1602780523,2,1
1602782409,0,1
1602786286,1,0
1602788174,2,0
1602790125,2,1
1602792044,2,1
1602793935,3,1
1602795771,2,2
1602797775,0,4
1602799691,0,3
1602801645,4,0
1602803541,4,0
1602805455,4,1
1602807376,1,1
1602809292,0,1
1602811247,3,2
1602820903,0,1
1602824615,1,0
1602826575,0,1
1602828630,0,1
1602830686,1,0
1602832573,2,0
1602840256,1,0
1602842203,3,1
1602846179,0,1
1602848001,2,1
1602849862,1,2
1602851774,1,0
1602855618,1,1
1602859487,1,0
1602863296,0,2
1602865248,1,0
1602867148,0,1
1602869063,1,1
1602871005,2,0
1602872896,0,2
1602874906,1,4
1602876768,4,3
1602878658,1,2
1602880575,2,2
1602882524,1,2
1602884421,1,0
1602886340,2,0
1602888283,2,3
1602890180,1,4
1602892097,0,2
1602894050,0,2
1602895936,1,0
1602897856,2,3
1602899805,1,0
1602901699,1,0
1602905569,1,0
1602911338,1,0
1602913220,2,0
1602915156,1,0
1602917085,1,1
1602918976,0,3
1602924739,1,1
1602926657,6,1
1602928603,1,2
1602930493,1,0
1602934571,1,2
1602936530,4,1
1602938411,0,1
1602944443,0,1
1602950170,2,0
1602952121,2,1
1602954103,2,0
1602955932,0,1
1602957885,1,2
1602959770,0,1
1602961941,1,1
1602963853,2,3
1602965837,5,1
1602967708,1,3
1602969625,1,3
1602971603,1,1
1602973469,0,1
1602975396,0,1
1602977339,1,1
1602979306,0,1
1602981158,3,0
1602983124,1,2
1602984987,1,1
1602986910,1,1
1602988863,2,1
1602990746,0,1
1602992669,0,1
1602994638,1,1
1602996550,1,0
1602998425,0,1
1603000371,0,3
1603004177,0,1
1603006118,2,0
1603013777,2,2
1603015717,0,1
1603017709,0,1
1603019536,0,2
1603021460,4,3
1603023428,1,1
1603027268,2,0
1603031074,0,1
1603036884,0,1
1603038826,3,0
1603040677,1,2
1603042591,0,1
1603046443,1,0
1603048414,1,3
1603050306,1,2
1603052287,2,2
1603054115,4,0
1603056058,2,1
1603057948,3,1
1603061845,3,0
1603063708,0,1
1603067612,0,1
1603069472,2,1
1603071423,0,1
1603073329,0,1
1603075227,1,1
1603077178,0,1
1603079101,2,0
1603080994,0,1
1603082907,2,1
1603084846,2,2
1603086740,1,0
1603088682,1,0
1603092497,3,1
1603094570,1,0
1603096371,2,4
1603100186,0,3
1603102144,0,1
1603104050,2,0
1603106005,1,1
1603107903,1,2
1603110063,3,3
1603111951,0,1
1603113888,0,3
1603115840,4,0
1603119785,1,0
1603121592,1,0
1603123481,7,0
1603125420,2,2
1603127343,1,1
1603129255,0,2
1603131210,0,1
1603133115,2,0
1603135034,3,0
1603138882,1,2
1603140755,2,4
1603142687,1,1
1603144639,2,2
1603146497,2,1
1603148605,5,1
1603150573,2,0
1603152523,1,0
1603154414,1,0
1603156334,0,1
1603158280,1,0
1603160174,2,1
1603162097,1,2
1603164041,0,1
1603165933,0,1
1603167884,1,0
1603169771,1,2
1603171719,1,3
1603173641,0,1
1603175535,1,1
1603177376,1,0
1603179381,1,3
1603181548,2,1
1603183467,0,2
1603185408,1,0
1603189257,1,1
1603193064,1,1
1603195301,1,2
1603197152,1,2
1603201229,1,1
1603203174,0,2
1603205068,2,0
1603206983,0,2
1603208934,4,0
1603210825,1,4
1603212746,0,4
1603214699,2,1
1603216594,3,0
1603218506,1,0
1603220600,3,3
1603222605,2,2
1603224517,3,2
1603226421,3,1
1603228373,5,1
1603230265,3,1
1603232181,2,1
1603234128,2,3
1603236023,3,5
1603237943,8,0
1603239893,4,0
1603241788,2,2
1603243705,2,1
1603245692,1,2
1603247555,2,3
1603249473,1,1
1603251415,1,0
1603255230,0,1
1603257170,0,1
1603259071,2,2
1603262913,2,2
1603264855,2,0
1603266755,0,2
1603268677,0,1
1603270619,2,5
1603272507,0,1
1603274494,1,1
1603276377,1,1
1603278269,2,2
1603280189,0,1
1603282138,1,0
1603284023,4,2
1603286188,1,1
1603288103,4,0
1603290055,2,1
1603291945,1,3
1603293863,2,1
1603295826,1,5
1603297706,1,1
1603302024,0,4
1603303946,3,2
1603305894,1,1
1603307781,3,2
1603309710,0,3
1603311655,3,3
1603313548,3,3
1603315467,0,3
1603317440,1,2
1603319345,1,2
1603321397,2,3
1603323372,3,6
1603325319,2,3
1603327212,2,4
1603329131,0,1
1603331083,1,2
1603332981,2,1
1603334899,2,1
1603336851,1,1
1603338730,1,0
1603342610,2,0
1603344494,0,1
1603346465,0,1
1603350262,0,3
1603352420,1,0
1603354335,3,0
1603356290,2,1
1603358171,0,2
1603360095,0,1
1603362048,2,1
1603363940,2,0
1603365854,2,2
1603367805,1,1
1603369695,3,2
1603371868,1,1
1603373780,4,3
1603375728,3,2
1603377620,0,1
1603379535,1,2
1603381491,5,0
1603383381,0,1
1603385299,1,1
1603389138,3,0
1603391058,1,3
1603393010,3,0
1603394897,0,2
1603396843,0,3
1603398775,1,3
1603400664,1,1
1603402583,4,0
1603406417,3,1
1603408336,2,3
1603410285,1,3
1603412175,3,2
1603414099,8,1
1603416055,0,1
1603417937,2,0
1603419859,0,2
1603421806,3,3
1603423695,0,2
1603427815,1,1
1603429692,1,1
1603435457,1,0
1603437375,2,1
1603439321,0,2
1603441215,1,1
1603445091,1,1
1603446981,2,1
1603449145,2,1
1603451058,1,1
1603453007,1,3
1603454895,0,1
1603456814,1,2
1603458762,1,1
1603460657,2,4
1603462576,0,3
1603464521,1,1
1603466415,4,0
1603468383,0,5
1603472185,1,1
1603474126,2,1
1603476197,2,3
1603478171,2,1
1603480118,3,1
1603482011,3,1
1603483959,3,1
1603485852,3,0
1603487772,2,1
1603489985,2,1
1603491864,0,2
1603493778,1,3
1603850976,24,73
1603852840,2,0
1603854739,1,0
1603856691,1,0
1603858695,1,0
1603860502,4,0
1603862468,1,0
1603864340,1,0
1603868212,2,0
1603870099,1,0
1603874183,1,0
1603876124,1,0
1603878015,1,0
1603879933,2,0
1603884053,1,0
1603887861,3,0
1603889818,1,0
1603893765,2,0
1603895572,1,0
1603899477,2,0
1603901369,2,0
1603907130,1,0
1603909058,2,0
1603910911,2,0
1603912844,2,0
1603914767,1,0
1603916666,2,5
1603918585,1,1
1603920529,0,2
1603922448,3,1
1603924347,5,2
1603926317,0,4
1603930110,3,3
1603932050,0,2
1603933967,3,2
1603935887,1,1
1603937822,1,1
1603939711,1,2
1603941628,4,1
1603943581,1,1
1603945473,1,2
1603947396,1,3
1603949338,0,1
1603951246,0,1
1603955084,0,2
1603958941,2,0
1603960834,0,1
1603964699,1,2
1603966588,0,1
1603970457,1,0
1603974259,1,3
1603976205,1,2
1603978097,2,1
1603980037,4,2
1603981970,0,1
1603983872,1,0
1603985781,0,3
1603987725,1,2
1603991538,1,0
1603993487,1,1
1603995379,1,1
1606465265,56,57
1606467148,1,0
1606469070,2,0
1606474851,4,0
1606476772,1,1
1606478673,0,6
1606480586,1,0
1606482540,1,0
1606484437,1,0
1606486345,0,2
1606488293,1,1
1606490192,0,2
1606492137,0,2
1606494057,1,3
1606495953,2,1
1606497899,1,2
1606499805,2,1
1606503663,1,2
1606505549,0,4
1606507473,0,3
1606509421,1,0
1606511316,0,2
1606513259,2,1
1606515150,1,2
1606517070,0,3
1606519011,7,1
1606520904,6,0
1606522826,5,2
1606524770,2,0
1606526671,1,1
1606528584,0,1
1606987954,6,60
1606993950,1,0
