DateTime,AddedIPs,RemovedIPs
1602743565,21,5
1602745469,26,0
1602747377,25,4
1602749328,21,17
1602751219,17,10
1602753138,15,6
1602755099,17,12
1602757222,15,12
1602759139,10,3
1602761092,6,8
1602762980,10,4
1602764897,9,7
1602767000,31,9
1602769008,28,8
1602770893,6,7
1602772812,6,0
1602774767,7,3
1602776652,17,86
1602778581,11,3
1602780524,7,3
1602782410,5,0
1602784331,14,2
1602786288,17,0
1602788175,15,7
1602790126,20,8
1602792045,20,11
1602793936,8,10
1602795778,7,3
1602797776,4,12
1602799692,15,4
1602801647,18,2
1602803542,9,6
1602805456,11,5
1602807377,16,5
1602809293,11,6
1602811248,6,5
1602813139,6,7
1602815059,4,4
1602817008,2,2
1602818896,2,9
1602820911,4,1
1602822767,0,5
1602824619,1,3
1602826576,2,4
1602828631,0,13
1602830687,0,20
1602832574,0,27
1602834495,1,20
1602836447,4,22
1602838335,1,13
1602840258,0,17
1602842204,5,11
1602844096,1,12
1602846190,0,12
1602848002,2,4
1602849863,2,11
1602851775,1,9
1602853727,3,44
1602855619,1,14
1602857543,8,7
1602859488,5,7
1602861384,0,14
1602863297,3,15
1602865250,3,9
1602867149,5,6
1602869064,1,4
1602871006,2,20
1602872897,2,13
1602874917,1,28
1602876769,2,16
1602878660,1,20
1602880576,0,9
1602882526,2,8
1602884422,3,9
1602886341,1,35
1602888284,1,31
1602890181,0,19
1602892098,0,18
1602894051,0,28
1602895936,0,18
1602897857,1,10
1602899806,0,14
1602901700,2,5
1602903774,3,2
1602905772,7,0
1602907722,1,5
1602909617,0,1
1602911530,8,1
1602913480,0,3
1602915369,2,1
1602917289,3,1
1602919241,0,75
1602921150,77,4
1602923054,1,1
1602925002,1,1
1602926894,1,1
1602928904,4,4
1602932582,1,0
1602934571,2,3
1602936531,3,2
1602938412,4,1
1602940600,5,2
1602942511,1,2
1602944444,0,13
1602948261,3,1
1602950171,3,1
1602952122,1,1
1602955240,6,9
1602957188,1,2
1602959070,3,1
1602960999,5,0
1602962937,10,3
1602964860,4,1
1602966740,4,1
1602968684,6,4
1602970576,6,4
1602972495,6,0
1602974447,7,2
1602976340,1,0
1602978257,4,0
1602980201,7,0
1602982094,4,0
1602984011,8,1
1602985965,4,0
1602987857,2,2
1602989779,7,2
1602991721,5,7
1602993682,6,1
1602995534,8,0
1602997495,6,5
1602999379,10,2
1603001303,8,3
1603003242,8,2
1603005136,8,2
1603007053,7,0
1603009001,5,4
1603010891,5,1
1603012820,4,0
1603014763,7,3
1603016655,7,1
1603018574,8,1
1603020524,6,2
1603022476,5,3
1603024334,5,2
1603026141,8,3
1603028174,4,4
1603030097,5,0
1603032019,7,0
1603033933,6,0
1603035892,10,3
1603037774,4,1
1603039703,7,4
1603041639,6,2
1603043540,5,0
1603045458,5,2
1603047404,4,5
1603049293,5,5
1603051312,4,2
1603053164,7,4
1603055058,6,6
1603056977,3,5
1603058927,2,8
1603060819,1,4
1603062736,3,1
1603064686,2,4
1603066577,2,5
1603068494,2,4
1603070416,2,7
1603072334,1,2
1603074289,4,3
1603076182,5,8
1603078093,5,3
1603080171,0,7
1603082168,7,9
1603084123,5,5
1603086008,4,7
1603087927,12,9
1603089880,9,7
1603091767,15,7
1603093935,14,6
1603095854,8,4
