DateTime,AddedIPs,RemovedIPs
1603920512,20,24
1603927732,19,24
1603934917,21,56
1603942172,53,31
1603949316,28,17
1603956751,11,20
1603963961,25,24
1603971151,16,18
1603978353,15,22
1603986298,23,19
1603993474,22,23
1604000677,22,17
1604007877,19,17
1604015099,17,37
1604022991,28,48
1604030192,43,33
1604037394,29,18
1604044596,18,21
1604051831,55,13
1604058995,24,23
1604066436,10,25
1604073645,20,27
1604081556,20,14
1604088762,37,17
1604095976,41,19
1604103155,34,24
1604110353,43,52
1604117561,46,28
1604124996,27,21
1604132657,23,18
1604139850,26,12
1604147053,19,20
1604154261,25,28
1604160973,24,21
1604168432,23,19
1604175633,20,19
1604182835,20,18
1604190752,26,33
1604197955,27,52
1604205151,58,20
1604212594,22,13
1604219810,18,12
1604226994,18,24
1604234914,21,23
1604242114,22,15
1604249317,14,17
1604256514,26,16
1604263710,16,26
1604270914,24,16
1604278117,11,27
1604286032,35,52
1604293270,41,21
1604300473,15,27
1604307641,13,14
1604314864,17,13
1604322752,24,21
1604329952,26,15
1604337153,47,19
1604344356,30,20
1604351554,22,20
1604359528,31,14
1604366677,36,42
1604373881,44,45
1604381314,32,29
1604388519,17,15
1604395715,20,26
1604402915,20,14
1604410838,20,18
1604418048,25,11
1604425235,22,24
1604432469,21,25
1604439634,29,23
1604446839,14,17
1604454754,25,52
1604461474,49,42
1604462192,5,0
1604465113,13,0
1604472279,22,22
1604480192,16,19
1604487393,14,10
1604494594,17,24
1604501877,13,24
1604508995,19,24
1604516195,19,23
1604524119,21,22
1604531319,17,13
1604538515,27,26
1604545717,37,51
1604553154,39,33
1604560355,13,15
1604567555,16,17
1604574763,19,14
1604581960,20,17
1604589156,5,24
1604589877,12,0
1604591333,0,17
1604594195,8,0
1604596357,16,0
1604598513,0,20
1604601394,28,0
1604603554,15,0
1604606436,0,17
1604607161,16,0
1604611479,19,0
1604612913,0,14
1604617956,17,0
1604625160,26,25
1604633082,41,52
1604640297,33,25
1604647480,19,18
1604654690,14,20
1604661883,21,15
1604669096,25,17
1604677008,65,16
1604684197,34,21
1604691433,16,16
1604699315,15,18
1604706518,14,25
1604713713,26,27
1604720913,35,46
1604728114,25,34
1604735315,18,15
1604742512,20,23
1604749714,19,16
1604756914,17,28
1604764116,14,26
1604772040,27,20
1604779244,18,29
1604786440,24,16
1604793649,15,20
1604800852,25,35
1604808753,45,55
1604815956,26,32
1604823155,19,9
1604830357,22,18
1604837557,19,18
1604844757,16,21
1604852678,17,12
1604859637,18,29
1604866834,31,19
1604874051,12,18
1604881961,21,14
1604889157,29,42
1604896359,44,44
1604903571,28,19
1604910759,12,20
1604917965,17,15
1604925156,23,19
1604932360,17,27
1604939597,37,17
1604947475,33,24
1604954675,21,15
1604961874,18,20
1604969316,15,35
1604976513,41,53
1604983716,43,32
1604991130,28,15
1604998332,20,16
1605005537,21,13
1605012754,11,20
1605020350,21,15
1605027888,23,25
1605035078,22,24
1605042758,43,18
1605049991,20,18
1605057154,21,22
1605064358,44,55
1605071556,40,39
1605078764,18,16
1605085953,21,22
1605093171,15,13
1605100593,21,24
1605107792,16,13
1605114992,67,15
1605122196,32,24
1605130113,15,13
1605137316,20,25
1605144516,24,44
1605151713,45,41
1605158914,31,19
1605166118,14,15
1605173321,15,13
1605181236,21,18
1605188432,17,8
1605195635,66,0
1605202837,20,16
1605210278,23,46
1605213179,14,0
1605214594,0,9
1605218196,7,15
1605218948,0,25
1605221076,15,0
1605226831,14,25
1605234031,26,44
1605241231,48,42
1605248432,31,15
1605255651,16,10
1605262832,26,15
1605270033,26,26
1605277507,21,79
1605284676,20,26
1605291878,18,22
1605299078,14,23
1605306992,56,18
1605314434,21,23
1605321633,36,49
1605328834,46,27
1605336032,22,14
1605343235,15,16
1605350434,22,18
1605358355,28,14
1605365529,23,12
1605372966,28,15
1605380166,23,15
1605387368,19,28
1605395292,60,21
1605402529,26,23
1605409689,34,46
1605416888,36,30
1605424090,18,12
1605431294,21,23
1605438490,14,14
1605446405,20,28
1605452904,18,15
1605460807,16,17
1605468010,22,26
1605475205,22,16
1605482406,21,20
1605489605,16,34
1605496810,42,40
1605504053,38,33
1605511455,20,15
1605518890,18,9
1605526232,19,26
1605533288,19,17
1605540513,23,57
1605544116,5,0
1605544831,0,23
1605548703,12,0
1605549728,47,0
1605552543,0,24
1605557553,26,0
1605560887,9,15
1605564173,6,0
1605568330,7,12
1605575770,18,47
1605582974,45,41
1605590407,31,23
1605597625,16,18
1605605054,17,16
1605612290,16,7
1605619693,18,40
1605626885,35,21
1605630506,1,0
1605631930,38,0
1605633372,0,24
1605634087,12,0
1605640571,16,31
1605642727,5,0
1605647054,7,0
1605647802,0,25
1605649208,6,0
1605656440,21,20
1605663610,31,53
1605670085,5,39
1605672253,49,0
1605674412,11,0
1605678011,0,19
1605679459,25,0
1605684728,16,14
1605691925,15,17
1605699127,21,27
1605706328,20,49
1605713532,22,37
1605715690,7,0
1605720043,0,22
1605721456,60,0
1605726488,4,0
1605728649,23,24
1605731531,3,0
1605735851,18,27
1605737289,4,0
1605743766,15,39
1605750515,35,45
1605752676,3,0
1605754830,36,0
1605756996,0,31
1605759880,12,0
1605762754,21,0
1605764195,0,21
1605766351,9,0
1605769232,10,0
1605776444,31,15
1605783681,17,26
1605790843,16,36
1605798051,19,67
1605805954,19,21
1605813156,28,20
1605820373,23,17
1605827551,22,42
1605834799,23,28
1605841952,44,46
1605849150,40,29
1605856354,25,14
1605863809,20,17
1605870996,22,19
1605878308,21,29
1605885630,18,26
1605892361,22,34
1605899577,66,33
1605906755,26,30
1605913972,17,17
1605921393,25,40
1605928831,47,39
1605936034,35,19
1605943251,12,15
1605950678,25,13
1605957878,15,12
1605965078,18,16
1605972517,16,21
1605977592,2,0
1605978289,0,20
1605980433,23,0
1605985478,0,31
1605987636,27,0
1605994839,18,85
1606002752,15,18
1606009954,23,34
1606017169,40,38
1606024354,31,15
1606031588,18,12
1606038754,24,17
1606046678,15,16
1606053873,18,22
1606061315,61,23
1606068050,19,21
1606068997,1,0
1606074037,16,27
1606076214,2,0
1606080511,0,17
1606082678,18,0
1606090590,20,30
1606097792,28,48
1606104995,48,36
1606112194,32,26
1606119394,26,14
1606126597,28,16
1606133799,20,20
1606140999,23,19
1606143151,2,0
1606148194,12,0
1606149666,0,2
1606152518,11,0
1606153955,11,25
1606158283,60,20
1606158992,0,34
1606161183,11,0
1606165456,17,0
1606168332,0,11
1606169767,16,2
1606170489,0,18
1606173367,11,24
1606180566,25,0
1606187872,53,73
1606195838,37,18
1606203206,23,16
1606209883,22,13
1606216597,21,0
1606224033,23,13
1606231234,23,10
1606237721,19,30
1606240600,8,0
1606244210,54,16
1606246358,10,0
1606252119,15,9
1606252835,0,27
1606253579,14,0
1606260283,14,26
1606267490,29,29
1606274701,45,6
1606282591,41,48
1606289791,21,56
1606296996,16,19
1606304191,23,14
1606311394,21,20
1606319310,32,0
1606326037,57,35
1606333259,15,29
1606336110,5,0
1606339007,9,3
1606346191,21,47
1606353882,32,12
1606361078,51,13
1606368278,42,42
1606375209,19,72
1606382410,24,16
1606389610,25,14
1606396807,19,19
1606404008,17,24
1606411455,23,18
1606418656,23,25
1606420088,4,0
1606422253,6,0
1606426085,16,20
1606426815,2,0
1606433286,17,19
1606440485,28,50
1606447685,44,34
1606454885,41,24
1606462085,21,27
1606469289,23,17
1606477206,24,14
1606484416,20,24
1606491651,14,23
1606497152,9,0
1606497875,0,41
1606502910,15,0
1606510114,22,30
1606516117,2,26
1606516831,9,0
1606518992,5,24
1606526214,17,49
1606533390,53,0
1606540609,45,37
1606547790,21,18
1606555008,20,19
1606562168,22,22
1606569371,21,10
1606576570,17,15
1606583802,24,2
1606591935,19,34
1606598408,30,18
1606605870,21,17
1606613286,23,29
1606620487,43,47
1606627688,40,32
1606635132,29,7
1606641609,20,17
1606648807,22,14
1606656008,18,21
1606663930,18,62
1606669690,9,9
1606673655,14,0
1606676654,7,7
1606679172,16,0
1606679795,0,19
1606681232,9,0
1606684113,0,2
1606686271,10,13
1606692753,18,23
1606700189,26,37
1606707628,48,47
1606714807,32,42
1606722009,20,17
1606729211,13,20
1606736407,18,15
1606743847,23,8
1606751051,19,18
1606758247,21,28
1606765447,30,48
1606769048,15,17
1606773367,10,17
1606774807,0,1
1606779854,20,34
1606787287,33,58
1606794485,47,45
1606801686,37,20
1606808890,19,9
1606816087,21,18
1606823287,22,17
1606830008,30,31
1606837487,22,14
1606842745,4,15
1606846574,13,0
1606853768,23,45
1606860995,16,58
1606862415,2,0
1606864572,5,0
1606871770,33,30
1606874655,4,51
1606875399,4,0
1606877770,21,0
1606879928,31,48
1606882812,1,0
1606887909,39,17
1606890969,12,0
1606898169,24,18
1606905368,17,25
1606912571,16,33
1606920488,26,19
1606927687,25,23
1606934433,23,15
1606941664,24,21
1606949075,14,23
1606956274,18,25
1606963719,39,48
1606970912,40,43
1606978131,24,24
1606985314,24,16
1606992752,29,19
