DateTime,AddedIPs,RemovedIPs
1606076753,148,0
1606077292,68,10
1606078796,225,18
1606080351,15,13
1606080909,2,11
1606083943,58,8
1606085450,31,8
1606086778,10,18
1606089477,5,37
1606091149,73,10
1606091689,31,9
1606093197,8,6
1606094747,1,0
1606095289,3,16
1606098924,13,30
1606100995,2,10
1606102495,2,5
1606106107,11,24
1606109170,23,38
1606110478,10,17
1606111635,5,50
1606112814,7,2
1606114209,8,9
1606116899,18,19
1606118031,10,1
1606119247,12,23
1606120931,22,18
1606122270,8,11
1606124100,16,13
1606126069,16,17
1606127437,10,17
1606128613,10,0
1606130195,9,15
1606131291,7,13
1606132807,11,11
1606134045,11,3
1606134889,5,10
1606136795,11,18
1606137945,7,0
1606139449,7,17
1606142098,9,37
1606144982,23,22
1606145707,6,7
1606146865,9,0
1606148774,6,16
1606149870,4,5
1606152888,28,14
1606154066,13,0
1606155608,4,5
1606156480,6,6
1606159033,10,12
1606160089,3,18
1606163681,144,33
1606165472,187,27
1606167306,4,21
1606170339,13,27
1606171477,4,6
1606173520,5,8
1606174503,7,4
1606176237,3,22
1606178102,12,7
1606179562,4,23
1606181157,3,2
1606186222,41,17
1606188842,15,9
1606193555,19,8
1606206969,59,109
1606208565,6,25
1606209960,10,1
1606211250,4,32
1606212536,9,33
1606214102,119,21
1606215439,40,0
1606217082,2,13
1606217707,8,7
1606219140,10,6
1606220514,3,2
1606221295,6,5
1606222441,3,0
1606223740,15,12
1606224896,6,12
1606226274,8,3
1606227950,15,9
1606229430,5,23
1606230767,7,11
1606233029,33,12
1606234928,25,13
1606235686,15,17
1606236916,106,0
1606239269,63,37
1606242881,40,21
1606245113,28,21
1606246424,7,137
1606248650,7,238
1606250088,99,22
1606252366,207,45
1606253625,15,44
1606256746,21,46
1606257286,0,8
1606259180,5,7
1606260343,17,1
1606263953,23,95
1606265337,6,11
1606266887,3,13
1606268892,6,15
1606270384,5,9
1606271539,8,4
1606272654,15,1
1606274171,11,4
1606275295,11,7
1606278890,25,21
1606281359,8,15
1606283451,7,4
1606285197,36,10
1606286099,19,14
1606287589,25,12
1606289146,34,3
1606289687,38,13
1606293293,143,40
1606294473,28,3
1606295780,12,11
1606296907,13,15
1606298679,12,14
1606300505,26,18
1606301987,17,18
1606303175,12,3
1606304590,134,12
1606305984,30,6
1606307151,16,1
1606308647,23,19
1606310443,17,9
1606311290,10,12
1606314011,23,21
1606314902,10,19
1606316063,21,1
1606317749,17,12
1606319451,6,9
1606322078,28,23
1606323616,28,17
1606325017,48,1
1606325701,9,6
1606328099,18,10
1606329286,3,9
1606330497,10,0
1606332096,9,8
1606332897,10,50
1606336484,27,233
1606337805,8,0
1606339511,13,7
1606340087,2,10
1606341459,10,2
1606342948,14,5
1606344596,8,5
1606346462,11,6
1606347713,5,6
1606350349,13,3
1606351884,4,9
1606353622,4,17
1606354488,3,8
1606356286,6,11
1606357549,5,0
1606359041,6,9
1606361693,27,25
1606363205,9,4
1606364737,10,1
1606366248,7,2
1606368361,9,6
1606369623,7,8
1606370819,3,16
1606371960,6,2
1606373853,24,3
1606375551,12,2
1606376919,13,22
1606378023,8,14
1606379189,10,1
1606381634,20,22
1606383328,86,89
1606385802,21,62
1606388686,19,18
1606391370,16,12
1606396510,32,43
1606397651,8,16
1606399563,10,4
1606401298,14,18
1606403474,9,11
1606404708,11,18
1606404905,2,0
1606406117,5,0
1606407244,11,57
1606408490,12,14
1606409702,10,2
1606411336,11,12
1606412085,4,10
1606413895,11,21
1606415169,7,0
1606416651,16,10
1606419285,19,70
1606421637,16,205
1606422958,10,20
1606424611,9,17
1606426507,159,9
1606429542,215,29
1606431049,8,19
1606433689,10,22
1606436624,24,8
1606438258,5,4
1606440237,7,5
1606441364,2,4
1606443944,11,18
1606444489,3,18
1606447133,22,10
1606448085,0,15
1606451154,12,4
1606452649,7,9
1606454761,14,18
1606456240,1,23
1606457779,12,11
1606458900,6,30
1606460840,11,115
1606462493,29,15
1606464776,19,28
1606466380,55,13
1606469043,40,17
1606469693,10,23
1606471498,15,22
1606473284,6,110
1606475084,16,47
1606476886,13,12
1606479944,6,20
1606481222,9,12
1606484094,16,20
1606486935,14,21
1606488195,5,12
1606489755,9,9
1606491283,7,15
1606493371,4,20
1606494892,5,42
1606496341,6,14
1606497953,11,2
1606498488,1,9
1606499641,6,1
1606501546,5,9
1606504097,7,22
1606506557,18,10
1606508635,8,17
1606509300,3,8
1606510780,3,6
1606511994,82,1
1606512882,45,10
1606515947,50,28
1606516488,2,15
1606517973,2,18
1606519140,2,3
1606520103,7,10
1606523148,15,3
1606524636,8,5
1606526749,6,10
1606527286,3,7
1606530889,14,28
1606534489,17,19
1606538120,18,13
1606539598,3,8
1606541013,6,0
1606541699,11,13
1606543908,8,28
1606545285,4,10
1606548344,14,15
1606549844,6,16
1606552494,12,107
1606555542,11,65
1606557059,2,15
1606558732,22,12
1606559682,8,10
1606562254,8,14
1606563283,4,15
1606564552,9,0
1606565788,11,5
1606567354,8,11
1606569064,9,17
1606570481,7,18
1606571784,15,1
1606573224,14,14
1606574086,7,7
1606575583,12,14
1606576746,6,1
1606578645,9,15
1606580244,13,11
1606581282,8,9
1606584346,22,12
1606585887,9,13
1606587051,12,12
1606588483,4,13
1606590535,36,12
1606592033,13,17
1606593569,11,17
1606595142,14,1
1606595690,2,118
1606599293,25,203
1606600583,15,0
1606602047,8,5
1606602898,5,9
1606604374,8,20
1606605635,11,3
1606606486,1,11
1606608132,8,8
1606609550,9,0
1606610866,10,7
1606611975,0,11
1606613139,6,0
1606614646,9,7
1606616162,5,8
1606617282,9,20
1606620352,7,10
1606621848,3,13
1606623951,7,6
1606625456,9,11
1606626976,9,12
1606628626,8,10
1606629895,8,8
1606631701,7,21
1606633960,20,18
1606635285,15,23
1606637047,9,31
1606638882,9,36
1606640688,3,31
1606642487,5,12
1606643707,6,0
1606645539,15,21
1606647034,5,15
1606648634,5,18
1606649695,6,2
1606651497,10,14
1606653278,6,10
1606655775,32,10
1606656872,14,14
1606658857,23,9
1606660080,32,1
1606661446,27,10
1606663347,5,18
1606666095,13,19
1606667683,4,9
1606725298,231,396
1606727215,15,12
1606728895,25,15
1606731389,44,12
1606732506,19,14
1606734642,33,14
1606735904,14,5
1606739690,43,20
1606741903,15,10
1606743262,15,16
1606746016,22,12
1606746892,1,18
1606748398,18,11
1606749518,7,1
1606751449,11,17
1606752780,11,11
1606754196,11,13
1606756595,18,14
1606757682,7,11
1606759162,10,32
1606760777,7,1
1606761307,5,12
1606763207,10,13
1606764886,7,12
1606766056,3,1
1606767377,47,18
1606768492,82,16
1606772117,257,48
1606773550,91,18
1606775143,16,19
1606775688,2,9
1606778760,34,11
1606780591,6,12
1606781811,10,10
1606782889,6,9
1606785951,9,7
1606786488,0,5
1606787881,3,2
1606789547,7,14
1606791048,6,6
1606792243,7,6
1606794647,9,5
1606797300,11,22
1606800352,10,14
1606801863,5,10
1606804485,14,39
1606805670,5,0
1606806865,6,27
1606808085,8,15
1606809228,5,1
1606810579,7,5
1606811682,18,11
1606814767,33,10
1606815300,20,11
1606817329,44,15
1606818898,25,11
1606820835,24,13
1606822491,26,12
1606824850,14,17
1606826094,5,27
1606827327,3,3
1606828859,15,37
1606830644,15,55
1606833300,30,46
1606835864,31,22
1606837289,11,13
1606838651,18,16
1606840484,25,13
1606841823,15,1
1606843549,12,6
1606844089,7,12
1606845589,24,8
1606847147,20,0
1606848389,39,7
1606849974,38,8
1606851286,12,6
1606853681,32,6
1606854886,12,10
1606858483,41,17
1606861419,31,6
1606862081,8,5
1606863583,12,4
1606865038,15,2
1606865688,10,5
1606869283,50,9
1606872351,56,5
1606873480,34,6
1606874936,34,5
1606876484,15,2
1606877683,7,0
1606879554,17,12
1606880730,10,15
1606882251,10,5
1606883687,14,9
1606886589,31,4
1606888479,19,12
1606889765,15,3
1606890890,5,8
1606892738,15,13
1606894503,27,12
1606898109,73,19
1606899312,32,9
1606901150,31,15
1606902665,29,29
1606905305,45,34
1606907937,26,18
1606909846,28,26
1606912484,26,22
1606913635,15,5
1606915385,16,16
1606916604,11,15
1606917879,12,11
1606919687,10,14
1606922566,31,10
1606923784,12,18
1606925262,13,6
1606926884,29,22
1606929205,33,11
1606930486,21,13
1606931857,22,6
1606933544,32,10
1606934082,11,4
1606935891,27,10
1606937685,19,14
1606941282,28,236
1606942624,9,38
1606944351,12,108
1606944905,3,16
1606946370,20,11
1606947946,19,3
1606948483,2,13
1606950374,18,8
1606952087,8,4
1606955685,24,21
1606957042,8,4
1606958746,4,0
1606959285,5,5
1606960607,9,2
1606961709,3,8
1606962892,7,6
1606965950,22,7
1606967095,10,11
1606969549,10,8
1606971056,3,3
1606973153,16,7
1606974648,4,9
1606976744,142,3
1606978245,23,19
1606980217,81,2
1606980892,3,21
