DateTime,Entries,UniqueIPs
1606076753,1695,1695
1606077292,1753,1753
1606078796,1960,1960
1606080351,1962,1962
1606080909,1953,1953
1606083943,2003,2003
1606085450,2026,2026
1606086778,2018,2018
1606089477,1986,1986
1606091149,2049,2049
1606091689,2071,2071
1606093197,2073,2073
1606094747,2074,2074
1606095289,2061,2061
1606098924,2044,2044
1606100995,2036,2036
1606102495,2033,2033
1606106107,2020,2020
1606109170,2005,2005
1606110478,1998,1998
1606111635,1953,1953
1606112814,1958,1958
1606114209,1957,1957
1606116899,1956,1956
1606118031,1965,1965
1606119247,1954,1954
1606120931,1958,1958
1606122270,1955,1955
1606124100,1958,1958
1606126069,1957,1957
1606127437,1950,1950
1606128613,1960,1960
1606130195,1954,1954
1606131291,1948,1948
1606132807,1948,1948
1606134045,1956,1956
1606134889,1951,1951
1606136795,1944,1944
1606137945,1951,1951
1606139449,1941,1941
1606142098,1913,1913
1606144982,1914,1914
1606145707,1913,1913
1606146865,1922,1922
1606148774,1912,1912
1606149870,1911,1911
1606152888,1925,1925
1606154066,1938,1938
1606155608,1937,1937
1606156480,1937,1937
1606159033,1935,1935
1606160089,1920,1920
1606163681,2031,2031
1606165472,2191,2191
1606167306,2174,2174
1606170339,2160,2160
1606171477,2158,2158
1606173520,2155,2155
1606174503,2158,2158
1606176237,2139,2139
1606178102,2144,2144
1606179562,2125,2125
1606181157,2126,2126
1606186222,2150,2150
1606188842,2156,2156
1606193555,2167,2167
1606206969,2117,2117
1606208565,2098,2098
1606209960,2107,2107
1606211250,2079,2079
1606212536,2055,2055
1606214102,2153,2153
1606215439,2193,2193
1606217082,2182,2182
1606217707,2183,2183
1606219140,2187,2187
1606220514,2188,2188
1606221295,2189,2189
1606222441,2192,2192
1606223740,2195,2195
1606224896,2189,2189
1606226274,2194,2194
1606227950,2200,2200
1606229430,2182,2182
1606230767,2178,2178
1606233029,2199,2199
1606234928,2211,2211
1606235686,2209,2209
1606236916,2315,2315
1606239269,2341,2341
1606242881,2360,2360
1606245113,2367,2367
1606246424,2237,2237
1606248650,2006,2006
1606250088,2083,2083
1606252366,2245,2245
1606253625,2216,2216
1606256746,2191,2191
1606257286,2183,2183
1606259180,2181,2181
1606260343,2197,2197
1606263953,2125,2125
1606265337,2120,2120
1606266887,2110,2110
1606268892,2101,2101
1606270384,2097,2097
1606271539,2101,2101
1606272654,2115,2115
1606274171,2122,2122
1606275295,2126,2126
1606278890,2130,2130
1606281359,2123,2123
1606283451,2126,2126
1606285197,2152,2152
1606286099,2157,2157
1606287589,2170,2170
1606289146,2201,2201
1606289687,2226,2226
1606293293,2329,2329
1606294473,2354,2354
1606295780,2355,2355
1606296907,2353,2353
1606298679,2351,2351
1606300505,2359,2359
1606301987,2358,2358
1606303175,2367,2367
1606304590,2489,2489
1606305984,2513,2513
1606307151,2528,2528
1606308647,2532,2532
1606310443,2540,2540
1606311290,2538,2538
1606314011,2540,2540
1606314902,2531,2531
1606316063,2551,2551
1606317749,2556,2556
1606319451,2553,2553
1606322078,2558,2558
1606323616,2569,2569
1606325017,2616,2616
1606325701,2619,2619
1606328099,2627,2627
1606329286,2621,2621
1606330497,2631,2631
1606332096,2632,2632
1606332897,2592,2592
1606336484,2386,2386
1606337805,2394,2394
1606339511,2400,2400
1606340087,2392,2392
1606341459,2400,2400
1606342948,2409,2409
1606344596,2412,2412
1606346462,2417,2417
1606347713,2416,2416
1606350349,2426,2426
1606351884,2421,2421
1606353622,2408,2408
1606354488,2403,2403
1606356286,2398,2398
1606357549,2403,2403
1606359041,2400,2400
1606361693,2402,2402
1606363205,2407,2407
1606364737,2416,2416
1606366248,2421,2421
