DateTime,AddedIPs,RemovedIPs
1606112703,0,25943
1606114169,25965,0
1606116179,121,65
1606116852,30,62
1606117996,52,0
1606119184,56,84
1606120860,78,84
1606122164,54,75
1606124048,89,74
1606125980,97,73
1606127106,76,3
1606128328,39,65
1606130153,97,67
1606131247,40,58
1606132769,70,51
1606133994,52,6
1606134844,0,26149
1606136747,26141,0
1606137920,0,26141
1606139405,26205,0
1606142050,121,132
1606143372,58,1
1606144919,66,80
1606145651,28,55
1606146828,58,0
1606148708,108,58
1606149834,48,66
1606152306,114,60
1606152846,25,60
1606154024,48,0
1606155562,50,52
1606156445,40,74
1606158965,85,83
1606160052,57,71
1606163645,232,506
1606165399,247,503
1606167250,62,458
1606168859,56,748
1606170305,56,0
1606171433,42,447
1606173399,64,533
1606174451,42,482
1606176167,83,489
1606178044,94,600
1606179476,53,144
1606181106,60,387
1606182618,69,448
1606184846,34,225
1606187738,0,21543
1606189183,21505,0
1606193489,144,142
1606206886,252,699
1606208388,94,101
1606209907,67,6
1606211154,64,112
1606212449,76,107
1606214050,163,92
1606215346,82,1
1606216476,33,105
1606217658,32,77
1606219061,39,30
1606220462,48,70
1606221255,27,99
1606222405,37,3
1606223681,69,72
1606224845,52,64
1606226198,57,0
1606227906,78,53
1606229403,0,21086
1606230731,20978,0
1606232989,89,169
1606234884,111,131
1606235646,56,113
1606236881,147,0
1606239243,0,20968
1606242845,20819,0
1606245072,116,146
1606246378,83,213
1606248057,86,313
1606249502,115,1
1606250047,49,103
1606252324,279,126
1606253534,57,130
1606256705,156,121
1606257246,26,71
1606258789,57,68
1606260027,58,6
1606261167,78,124
1606263906,128,117
1606265278,65,99
1606266827,56,100
1606268845,76,74
1606270339,61,90
1606271456,48,96
1606272605,47,0
1606274111,53,114
1606275248,44,104
1606278846,171,164
1606281297,77,97
1606283406,99,81
1606285148,98,98
1606286045,68,121
1606287546,88,72
1606289107,95,3
1606289644,39,85
1606293246,259,175
1606294427,76,3
1606295715,59,88
1606296845,82,118
1606298586,69,93
1606300448,98,71
1606301962,66,87
1606303136,62,9
1606304553,209,80
1606305920,83,102
1606307106,48,2
1606308605,78,105
1606310390,71,89
1606311244,34,96
1606313966,166,100
1606314854,143,91
1606316031,102,0
1606317707,85,99
1606319413,73,85
1606322044,185,161
1606323569,112,79
1606324976,123,6
1606325645,54,77
1606328064,114,75
1606329245,96,107
1606330464,81,0
1606332036,138,68
1606332846,79,106
1606336445,264,368
1606337736,92,1
1606339477,107,73
1606340046,29,78
1606341364,58,0
1606342905,114,85
1606344563,82,67
1606346421,93,93
1606347516,56,77
1606350307,137,90
1606351838,70,91
1606353578,70,62
1606354445,48,57
1606355987,80,101
1606357504,59,4
1606359005,83,58
1606361645,158,151
1606363083,79,21
1606364705,84,50
1606366205,81,32
1606368304,92,9
1606369564,58,27
1606370774,41,49
1606371909,52,0
1606373746,97,4
1606375506,80,9
1606376873,62,118
1606377975,52,148
1606379115,56,1
1606381563,108,191
1606383249,167,156
1606384387,49,0
1606385725,50,119
1606386850,0,21446
1606388599,21448,0
1606389926,0,21448
1606391310,21486,0
1606394235,0,21486
1606396458,21419,0
1606397574,45,78
1606399524,60,73
1606401247,72,84
1606403443,87,77
1606404647,41,92
1606404850,6,0
1606406057,38,0
1606407197,47,135
1606408445,48,86
1606409631,90,1
1606411275,71,65
1606412045,26,67
1606413594,44,71
1606415138,51,6
1606416612,64,84
1606419244,110,197
1606421437,96,258
1606422903,51,93
1606424520,56,90
1606426445,185,88
1606429505,326,63
1606431006,71,96
1606433645,127,150
1606435481,84,71
1606436584,53,1
1606438205,58,57
1606440201,86,65
1606441318,36,70
1606443906,131,83
1606444445,23,65
1606447059,124,77
1606448047,44,82
1606451105,130,66
1606452605,50,65
1606454706,71,98
1606456205,66,106
1606457727,58,85
1606458845,39,98
1606460794,93,192
1606462449,71,86
1606464736,119,103
1606466317,116,94
1606468974,132,104
1606469646,33,103
1606471421,78,92
1606473245,94,224
1606474998,85,136
1606476848,65,71
1606479904,102,100
1606481160,52,71
1606484045,133,163
1606485894,64,101
1606487105,43,1
1606488205,51,82
1606489718,71,104
1606491245,96,127
1606493084,58,128
1606494850,96,137
1606496263,77,40
1606497904,66,51
1606498444,20,79
1606499605,43,0
1606501505,75,85
1606504051,81,181
1606506507,112,87
1606509246,107,196
1606510740,51,82
1606511956,103,5
1606512845,65,108
1606515906,152,86
1606516444,28,92
1606517934,45,85
1606519059,33,4
1606520044,37,102
1606523105,172,90
1606524614,73,103
1606526705,77,104
1606527244,39,78
1606530844,145,181
1606534446,154,190
1606538056,125,178
1606539534,43,87
1606540966,60,7
1606541646,35,102
1606543457,59,122
1606545244,49,83
1606548306,91,99
1606549805,63,104
1606552444,90,411
1606555504,115,137
1606557014,64,89
1606558700,74,93
1606559645,78,72
1606562196,108,95
1606563245,48,81
1606564515,82,0
1606565724,55,74
1606567312,93,82
1606569032,69,73
1606570444,84,82
1606571742,68,0
1606574052,92,149
1606575543,55,63
1606576671,63,4
1606578608,81,66
1606580173,63,263
1606581244,49,132
1606582861,70,65
1606584304,79,0
1606585806,63,69
1606587017,53,76
1606588443,58,83
1606590464,123,70
1606591974,62,84
1606593529,62,77
1606595104,72,5
1606595644,19,178
1606599249,181,331
1606600851,69,89
1606602014,43,0
1606602852,26,81
1606604331,60,83
1606605587,48,7
1606606444,34,85
1606608009,46,61
1606609505,64,4
1606610801,58,73
1606611921,36,84
1606613103,35,0
1606614606,51,92
1606616127,58,97
1606617245,53,87
1606620306,92,86
1606621806,39,90
1606623906,63,60
1606625406,86,79
1606626925,60,102
1606628591,56,65
1606629849,54,85
1606631644,76,81
1606633919,90,96
1606635245,47,80
1606636987,44,99
1606638844,66,100
1606640640,83,96
1606642445,75,91
1606643673,43,0
1606645504,50,89
1606647006,57,75
1606648568,54,68
1606649645,74,60
1606651448,49,86
1606653244,61,97
1606655729,87,76
1606656844,42,81
1606658799,74,76
1606659904,71,0
1606661404,90,94
1606663308,75,90
1606666073,0,18906
1606667644,18806,0
1606725246,4975,2280
1606727162,126,78
1606728847,103,83
1606731320,100,91
1606732452,46,91
1606734586,117,117
1606735840,64,72
1606737593,88,96
1606739062,73,9
1606739645,27,101
1606741838,76,81
1606742937,80,0
1606744206,66,75
1606744860,25,73
1606745974,56,2
1606746846,29,89
1606748344,65,66
1606749461,46,3
1606751405,89,82
1606752736,81,81
1606754135,75,80
1606756540,146,72
1606757645,60,67
1606759128,70,98
1606760705,72,5
1606761249,30,68
1606763145,91,79
1606764844,67,67
1606766018,53,1
1606767328,88,97
1606768449,118,95
1606772059,407,156
1606773422,129,0
1606775106,86,72
1606775643,24,67
1606778707,163,65
1606780542,77,76
1606781732,55,87
1606782845,57,56
1606785906,121,70
1606786444,29,75
1606787790,42,2
1606789505,59,69
1606790600,0,22163
1606791786,22134,0
1606793107,214,0
1606794606,60,62
1606797249,103,191
1606800307,120,90
1606801806,55,90
1606804444,106,180
1606805626,43,0
1606806827,49,71
1606808046,47,67
1606809192,46,0
1606810520,55,67
1606811647,72,107
1606813274,68,61
1606815246,116,56
1606817293,150,83
1606818849,95,105
1606820790,92,72
1606822447,78,64
1606824816,97,66
1606826046,50,86
1606827282,52,1
1606828820,74,91
1606830606,255,108
1606833246,138,194
1606835055,97,94
1606836306,76,1
1606837807,92,59
1606840444,171,192
1606841788,75,1
1606843506,102,97
1606844051,23,75
1606845543,74,67
1606847105,63,10
1606848336,78,337
1606849938,82,172
1606851244,50,79
1606853640,117,90
1606854848,52,72
1606858445,153,138
1606861378,108,92
1606862046,23,81
1606863533,59,83
1606865005,70,11
1606865647,32,161
1606869246,142,297
1606872305,140,65
1606873433,60,118
1606874865,63,324
1606876444,60,72
1606877638,44,0
1606879505,64,73
1606880683,48,116
1606882220,55,64
1606883646,54,87
1606886534,102,261
1606887253,26,55
1606888434,57,22
1606889704,56,46
1606890848,46,78
1606892659,84,161
1606894455,83,107
1606895990,88,86
1606897505,83,43
1606898049,20,148
1606899263,68,31
1606901106,83,56
1606902605,88,116
1606905247,122,166
1606907901,99,98
1606909809,97,105
1606912444,146,146
1606913600,61,36
1606915349,89,72
1606916568,56,129
1606917811,46,67
1606919644,85,79
1606922523,134,102
1606923745,51,124
1606925220,86,70
1606926847,91,118
1606929164,100,94
1606930445,68,92
1606931800,63,34
1606933506,112,51
1606934044,24,60
1606935851,82,96
1606937645,81,87
1606941244,148,394
1606942589,55,67
1606944306,63,155
1606944852,19,85
1606946326,71,91
1606947906,66,6
1606948445,22,79
1606950316,88,75
1606952046,56,65
1606955644,136,215
1606956992,61,40
1606958706,83,93
1606959244,30,127
1606960564,66,66
1606961669,44,129
1606962847,50,258
1606965910,123,92
1606967057,43,108
1606969504,93,54
1606971005,51,95
1606973105,75,53
1606974608,47,113
1606976708,199,62
1606978204,62,116
1606980156,119,60
1606980845,17,99
1606983378,103,116
1606984448,50,88
1606985580,48,64
1606987510,86,76
1606988045,26,90
1606990049,91,92
1606991646,70,85
1606992888,42,33
1606994675,94,78
