DateTime,Entries,UniqueIPs
1606050742,1351,1351
1606052082,1344,1344
1606058740,1352,1352
1606059274,1326,1326
1606060398,1333,1333
1606062339,1337,1337
1606063708,1333,1333
1606064883,1336,1336
1606066477,1322,1322
1606068190,1330,1330
1606070084,1343,1343
1606073672,1353,1353
1606075168,1361,1361
1606076744,1320,1320
1606077282,1290,1290
1606078779,1271,1271
1606080340,1304,1304
1606080893,1304,1304
1606083934,1327,1327
1606085439,1322,1322
1606086766,1321,1321
1606088085,1320,1320
1606089459,1315,1315
1606091140,1308,1308
1606091678,1294,1294
1606093188,1289,1289
1606094737,1300,1300
1606095278,1294,1294
1606098901,1290,1290
1606100987,1289,1289
1606102484,1297,1297
1606106091,1307,1307
1606109149,1317,1317
1606110436,1320,1320
1606111619,1313,1313
1606112799,1322,1322
1606114195,1321,1321
1606116235,1317,1317
1606116881,1312,1312
1606118021,1309,1309
1606119236,1318,1318
1606120904,1310,1310
1606122234,1314,1314
1606124081,1319,1319
1606126034,1335,1335
1606127140,1349,1349
1606128361,1347,1347
1606130185,1346,1346
1606131279,1344,1344
1606132794,1345,1345
1606134034,1349,1349
1606134878,1351,1351
1606136785,1349,1349
1606137933,1350,1350
1606139438,1348,1348
1606142086,1360,1360
1606143448,1363,1363
1606144956,1370,1370
1606145687,1362,1362
1606146856,1378,1378
1606148761,1404,1404
1606149859,1401,1401
1606152878,1394,1394
1606154049,1403,1403
1606155593,1398,1398
1606156471,1388,1388
1606159001,1389,1389
1606160080,1380,1380
1606163671,1347,1347
1606165436,1356,1356
1606167294,1367,1367
1606170329,1347,1347
1606171465,1346,1346
1606173464,1356,1356
1606174488,1345,1345
1606176204,1348,1348
1606178087,1361,1361
1606179541,1373,1373
1606181145,1385,1385
1606185571,1370,1370
1606189231,1362,1362
1606193535,1369,1369
1606206947,1310,1310
1606208517,1320,1320
1606209948,1332,1332
1606211218,1335,1335
1606212499,1332,1332
1606214083,1332,1332
1606215411,1340,1340
1606217695,1332,1332
1606219131,1334,1334
1606220499,1343,1343
1606221287,1337,1337
1606222432,1348,1348
1606223707,1362,1362
1606224883,1353,1353
1606226266,1368,1368
1606227938,1368,1368
1606229416,1354,1354
1606230759,1357,1357
1606233015,1351,1351
1606234913,1363,1363
1606235677,1363,1363
1606236908,1368,1368
1606239260,1360,1360
1606242871,1361,1361
1606245102,1352,1352
1606246406,1352,1352
1606248606,1339,1339
1606250079,1311,1311
1606252355,1312,1312
1606253589,1309,1309
1606256736,1323,1323
1606257275,1316,1316
1606259156,1314,1314
1606260327,1318,1318
1606263944,1321,1321
1606265312,1319,1319
1606266869,1314,1314
1606268879,1314,1314
1606270369,1305,1305
1606271499,1297,1297
1606272644,1302,1302
1606274157,1297,1297
1606275280,1287,1287
1606278879,1271,1271
1606281342,1265,1265
1606283442,1265,1265
1606285179,1257,1257
1606286081,1252,1252
1606287575,1252,1252
1606289136,1255,1255
1606293277,1234,1234
1606294454,1243,1243
1606295761,1229,1229
1606296889,1212,1212
1606298627,1203,1203
1606300490,1209,1209
1606303166,1211,1211
1606304578,1214,1214
1606305969,1203,1203
1606307142,1209,1209
1606308637,1206,1206
1606310430,1197,1197
1606311282,1189,1189
1606313996,1216,1216
1606316055,1171,1171
1606317736,1164,1164
1606319442,1147,1147
1606322068,1185,1185
1606323594,1199,1199
1606325008,1204,1204
1606325691,1200,1200
1606328090,1216,1216
1606329275,1214,1214
1606330488,1214,1214
1606332083,1223,1223
1606332888,1214,1214
1606336475,1218,1218
1606337779,1223,1223
1606340074,1210,1210
1606341450,1218,1218
1606342936,1214,1214
1606344587,1219,1219
1606346451,1218,1218
1606347699,1219,1219
1606350340,1226,1226
1606351865,1226,1226
1606353604,1235,1235
1606354477,1233,1233
1606356264,1222,1222
1606357539,1220,1220
1606359029,1233,1233
1606361682,1240,1240
1606363178,1230,1230
1606364726,1244,1244
1606366237,1241,1241
1606368349,1245,1245
1606369603,1252,1252
1606370807,1249,1249
1606371949,1260,1260
1606373775,1273,1273
1606375542,1283,1283
1606376905,1271,1271
1606378007,1250,1250
1606379172,1271,1271
1606381618,1267,1267
1606383289,1266,1266
1606385786,1270,1270
1606388654,1266,1266
1606391350,1284,1284
1606396493,1276,1276
1606397635,1277,1277
1606399554,1274,1274
1606401288,1288,1288
1606404892,1294,1294
1606406101,1305,1305
1606407231,1300,1300
1606408478,1293,1293
1606409684,1349,1349
1606411323,1311,1311
1606412077,1309,1309
1606413882,1316,1316
1606416638,1333,1333
1606419276,1343,1343
1606421461,1359,1359
1606422950,1362,1362
1606424564,1368,1368
1606426472,1330,1330
1606429532,1343,1343
1606431038,1349,1349
1606433680,1357,1357
1606436613,1365,1365
1606438247,1372,1372
1606440228,1381,1381
1606441353,1376,1376
1606443934,1384,1384
1606444478,1383,1383
1606448075,1389,1389
1606451143,1412,1412
1606452636,1412,1412
1606454749,1413,1413
1606456231,1418,1418
1606457757,1433,1433
1606458890,1434,1434
1606460822,1436,1436
1606462476,1441,1441
1606464765,1456,1456
1606466346,1469,1469
1606469027,1477,1477
1606469682,1472,1472
1606471477,1469,1469
1606473275,1466,1466
1606475056,1467,1467
1606476874,1470,1470
1606479936,1485,1485
1606481206,1493,1493
1606484084,1489,1489
1606486927,1486,1486
1606488187,1493,1493
1606489743,1488,1488
1606491273,1485,1485
1606493363,1473,1473
1606494882,1492,1492
1606497944,1540,1540
1606498477,1535,1535
1606499632,1548,1548
1606501537,1553,1553
1606504080,1541,1541
1606506542,1536,1536
1606509290,1554,1554
1606510767,1560,1560
1606511983,1547,1547
1606512872,1529,1529
1606515937,1541,1541
1606516477,1532,1532
1606517957,1535,1535
1606520089,1536,1536
1606523139,1535,1535
1606524627,1523,1523
1606526738,1518,1518
1606527277,1511,1511
1606530879,1496,1496
1606534473,1489,1489
1606538094,1484,1484
1606539562,1491,1491
1606540998,1496,1496
1606541684,1488,1488
1606543491,1483,1483
1606545277,1484,1484
1606548334,1480,1480
1606551935,1471,1471
1606552484,1464,1464
1606555532,1498,1498
1606557049,1493,1493
1606558724,1496,1496
1606562235,1564,1564
1606563274,1567,1567
1606564543,1585,1585
1606565770,1588,1588
1606567335,1618,1618
1606569056,1638,1638
1606570473,1620,1620
1606571767,1630,1630
1606573215,1611,1611
1606574078,1603,1603
1606575574,1600,1600
1606576731,1608,1608
1606578636,1596,1596
1606580211,1550,1550
1606581274,1549,1549
1606584337,1564,1564
1606585850,1560,1560
1606587042,1545,1545
1606588473,1539,1539
1606590517,1549,1549
1606592019,1552,1552
1606593552,1555,1555
1606595133,1552,1552
1606595680,1544,1544
1606599280,1551,1551
1606600559,1551,1551
1606602038,1549,1549
1606602889,1538,1538
1606604364,1534,1534
1606605625,1534,1534
1606606474,1524,1524
1606608116,1522,1522
1606609540,1531,1531
1606610847,1521,1521
1606613130,1520,1520
1606614635,1513,1513
1606616151,1514,1514
1606617273,1505,1505
1606620340,1504,1504
1606621836,1500,1500
1606623939,1495,1495
1606625445,1494,1494
1606626958,1484,1484
1606628618,1475,1475
1606629880,1461,1461
1606631692,1460,1460
1606633951,1455,1455
1606635276,1455,1455
1606637030,1445,1445
1606638874,1442,1442
1606640675,1452,1452
1606642478,1452,1452
1606643698,1461,1461
1606645531,1467,1467
1606647024,1462,1462
1606648615,1464,1464
1606649687,1460,1460
1606651480,1455,1455
1606653268,1440,1440
1606655761,1447,1447
1606656864,1440,1440
1606658841,1429,1429
1606660071,1436,1436
1606661434,1427,1427
1606663332,1428,1428
1606666086,1415,1415
1606667674,1416,1416
1606725287,1447,1447
1606727205,1449,1449
1606728886,1424,1424
1606731363,1379,1379
1606732484,1360,1360
1606735873,1335,1335
1606739681,1291,1291
1606741866,1286,1286
1606745999,1299,1299
1606746882,1295,1295
1606748375,1287,1287
1606749496,1300,1300
1606751439,1319,1319
1606752764,1342,1342
1606754172,1339,1339
1606756577,1374,1374
1606757672,1376,1376
1606759152,1374,1374
1606760758,1392,1392
1606761293,1380,1380
1606763190,1377,1377
1606764878,1381,1381
1606766044,1388,1388
1606767357,1365,1365
1606768483,1355,1355
1606772098,1381,1381
1606773541,1367,1367
1606775133,1396,1396
1606775680,1394,1394
1606778746,1405,1405
1606780579,1408,1408
1606781792,1407,1407
1606782881,1409,1409
1606785939,1418,1418
1606786478,1413,1413
1606787821,1417,1417
1606789538,1422,1422
1606791038,1418,1418
1606792229,1414,1414
1606794634,1424,1424
1606797288,1432,1432
1606800340,1435,1435
1606801844,1439,1439
1606804477,1428,1428
1606805655,1430,1430
1606806852,1435,1435
1606808075,1439,1439
1606809219,1440,1440
1606810555,1434,1434
1606811673,1428,1428
1606813331,1417,1417
1606815284,1417,1417
1606817320,1415,1415
1606818879,1413,1413
1606820815,1411,1411
1606822476,1412,1412
1606824841,1417,1417
1606826082,1412,1412
1606827316,1430,1430
1606828847,1441,1441
1606830634,1488,1488
1606833286,1447,1447
1606835088,1430,1430
1606836338,1444,1444
1606837834,1445,1445
1606840474,1430,1430
1606841810,1451,1451
1606843537,1471,1471
1606844080,1460,1460
1606845575,1457,1457
1606847138,1466,1466
1606848372,1453,1453
1606849963,1437,1437
1606851276,1439,1439
1606853671,1451,1451
1606854873,1451,1451
1606858473,1453,1453
1606861408,1464,1464
1606862073,1457,1457
1606863566,1454,1454
1606865028,1462,1462
1606865678,1456,1456
1606869273,1458,1458
1606872342,1461,1461
1606873469,1456,1456
1606874917,1460,1460
1606876474,1457,1457
1606877672,1465,1465
1606879542,1462,1462
1606880712,1451,1451
1606883677,1448,1448
1606886565,1450,1450
1606887286,1448,1448
1606888469,1446,1446
1606889755,1445,1445
1606890879,1435,1435
1606892699,1429,1429
1606894486,1415,1415
1606898089,1417,1417
1606899298,1423,1423
1606901140,1430,1430
1606902646,1435,1435
1606905283,1429,1429
1606907927,1458,1458
1606909836,1428,1428
1606912474,1427,1427
1606913625,1397,1397
1606915374,1407,1407
1606916595,1400,1400
1606917839,1402,1402
1606919678,1384,1384
1606922556,1372,1372
1606923775,1327,1327
1606925244,1330,1330
1606926876,1321,1321
1606929193,1336,1336
1606930477,1331,1331
1606931837,1344,1344
1606933535,1339,1339
1606934073,1333,1333
1606935882,1342,1342
1606937676,1346,1346
1606941273,1318,1318
1606942614,1318,1318
1606944340,1318,1318
1606944889,1311,1311
1606946352,1305,1305
1606947937,1314,1314
1606948475,1304,1304
1606950351,1303,1303
1606952075,1301,1301
1606955675,1287,1287
1606957023,1282,1282
1606958736,1282,1282
1606959273,1268,1268
1606960597,1274,1274
1606961696,1275,1275
1606962881,1269,1269
1606965940,1265,1265
1606967085,1256,1256
1606969537,1263,1263
1606971046,1257,1257
1606973145,1260,1260
1606974639,1248,1248
1606976736,1256,1256
1606978236,1246,1246
1606980202,1236,1236
1606980880,1230,1230
1606983427,1241,1241
1606984480,1240,1240
1606985612,1251,1251
1606987545,1248,1248
1606988088,1245,1245
1606990082,1249,1249
1606991678,1249,1249
1606992917,1250,1250
1606994701,1257,1257
