DateTime,AddedIPs,RemovedIPs
1606066479,4,5
1606068198,16,9
1606070086,11,19
1606073675,11,17
1606075171,6,2
1606076747,2,1
1606077284,2,4
1606078783,5,2
1606080343,5,5
1606080899,5,1
1606083937,13,9
1606085442,14,5
1606086769,2,7
1606088093,4,9
1606089463,1,2
1606091142,6,0
1606091680,0,4
1606093190,5,6
1606094739,4,6
1606095280,5,5
1606098909,11,10
1606100989,6,4
1606102486,1,1
1606106094,33,10
1606109152,5,17
1606110457,0,1
1606111621,4,4
1606112804,4,4
1606114197,0,13
1606116238,7,6
1606116891,3,2
1606118023,0,6
1606119238,4,0
1606120909,3,3
1606122238,1,3
1606124088,4,3
1606126038,10,10
1606127142,6,4
1606128369,6,3
1606130187,11,6
1606131280,1,2
1606132796,4,5
1606134037,7,2
1606134882,1,5
1606136788,7,7
1606137935,6,0
1606139441,6,8
1606142088,2,7
1606143450,4,3
1606144963,3,4
1606145697,3,4
1606146858,8,3
1606148764,13,7
1606149861,4,5
1606152879,7,15
1606154051,4,0
1606155596,10,6
1606156473,8,1
1606159014,19,19
1606160082,6,13
1606163673,17,16
1606165446,3,9
1606167296,9,10
1606170331,26,14
1606171470,15,7
1606173486,12,15
1606174492,8,6
1606176208,8,11
1606178090,9,10
1606179551,7,7
1606181148,6,8
1606185777,0,13
1606189238,4,6
1606193544,4,5
1606206950,2,18
1606208538,4,4
1606209950,4,0
1606211227,0,3
1606212522,4,4
1606214087,12,3
1606215419,4,2
1606217697,5,9
1606219133,5,8
1606220502,9,3
1606221288,2,6
1606222434,6,2
1606223710,3,3
1606224885,1,1
1606226268,6,2
1606227940,2,5
1606229418,1,5
1606230760,5,3
1606233017,2,4
1606234914,2,1
1606235679,2,3
1606236909,1,4
1606239262,2,6
1606242872,18,8
1606245106,5,11
1606246408,8,3
1606248618,10,8
1606250081,5,12
1606252358,6,3
1606253598,2,6
1606256738,11,8
1606257279,2,4
1606259167,3,6
1606260336,3,6
1606263946,16,12
1606265315,5,4
1606266873,9,9
1606268882,10,11
1606270372,5,3
1606271506,4,8
1606272646,4,6
1606274161,1,5
1606275284,2,4
1606278881,15,7
1606281348,2,9
1606283445,8,5
1606285186,9,3
1606286084,6,5
1606287583,13,2
1606289138,6,11
1606293284,15,14
1606294455,3,3
1606295763,0,5
1606296898,1,1
1606298640,7,4
1606300494,7,4
1606301979,3,5
1606303168,2,3
1606304581,2,1
1606305972,9,4
1606307144,4,3
1606308639,6,8
1606310433,12,6
1606311284,8,8
1606313998,6,8
1606316056,5,5
1606317741,4,4
1606319444,3,7
1606322070,1,8
1606323596,2,4
1606325010,5,3
1606325693,3,2
1606328092,9,7
1606329279,3,3
1606330489,4,6
1606332088,6,2
1606332890,4,2
1606336477,4,9
1606337782,10,4
1606339496,10,5
1606340079,2,3
1606341452,6,3
1606342941,8,7
1606344589,2,7
1606346454,10,7
1606347704,5,10
1606350342,4,14
1606351874,3,2
1606353609,7,3
1606354480,1,5
1606356270,3,6
1606357542,1,2
1606359032,11,2
1606361684,4,5
1606363180,2,6
1606364729,5,0
1606366240,1,3
1606368351,5,3
1606369608,5,2
1606370811,3,4
1606371952,7,6
1606373791,6,9
1606375544,2,5
1606376910,7,5
1606378011,2,3
1606379175,1,4
1606381626,8,7
1606383314,6,6
1606385791,11,1
1606388658,15,9
1606391357,6,5
1606396495,5,14
1606397638,0,2
1606399556,9,4
1606401290,8,6
1606403460,3,6
1606404896,5,9
1606406105,6,6
1606407232,10,7
1606408481,2,3
1606409688,3,3
1606411325,2,6
1606412078,4,4
1606413886,4,3
1606415157,0,3
1606416640,1,8
1606419277,5,4
1606421631,3,7
1606422952,5,2
1606424586,6,4
1606426496,4,6
1606429534,7,6
1606431040,1,12
1606433682,6,4
1606436615,15,9
1606438250,3,4
1606440229,10,5
1606441356,8,6
1606443936,16,11
1606444480,2,2
1606448076,4,13
1606451145,4,5
1606452639,5,1
1606454752,7,5
1606456234,4,5
1606457759,2,5
1606458892,4,0
1606460827,10,5
1606462485,5,12
1606464767,1,5
1606466348,0,1
1606469028,8,7
1606469685,2,2
1606471479,9,2
1606473277,4,8
1606475068,3,6
1606476876,2,7
1606479938,4,6
1606481215,3,3
1606484086,6,2
1606486929,5,3
1606488189,2,5
1606489744,2,6
1606491275,6,3
1606493364,8,8
1606494883,3,9
1606497946,7,5
1606498479,2,1
1606499634,3,3
1606501539,4,3
1606504083,6,9
1606506543,8,4
1606509293,3,8
1606510771,7,1
1606511985,6,1
1606512874,3,1
1606515939,6,9
1606516479,2,6
1606517964,15,5
1606519122,9,2
1606520091,2,1
1606523141,16,15
1606524629,9,10
1606526740,4,9
1606527279,0,5
1606530881,5,4
1606534481,5,6
1606538102,3,5
1606539573,5,2
1606541004,3,2
1606541687,1,4
1606543493,12,3
1606545279,7,7
1606548335,13,4
1606551938,13,14
1606552486,3,4
1606555534,13,9
1606557052,5,7
1606558726,7,6
1606562238,4,14
1606563276,6,5
1606564546,14,2
1606565776,1,8
1606567337,2,8
1606569058,3,5
1606570475,6,5
1606571769,8,5
1606573217,6,1
1606574080,4,3
1606575576,6,7
1606576738,3,2
1606578638,30,5
1606580224,4,13
1606581276,2,8
1606584339,13,6
1606585852,6,9
1606587045,3,10
1606588475,4,8
1606590518,8,5
1606592022,6,6
1606593561,6,3
1606595136,5,9
1606595681,1,3
1606599285,19,12
1606600561,8,4
1606602041,1,10
1606602891,2,3
1606604367,7,2
1606605627,4,3
1606606476,4,7
1606608120,6,8
1606609542,7,4
1606610850,1,4
1606611954,4,2
1606613132,5,1
1606614638,3,11
1606616152,1,8
1606617275,3,2
1606620342,6,8
1606621839,4,7
1606623941,7,6
1606625447,2,6
1606626960,10,9
1606628620,6,5
1606629885,4,7
1606631694,3,4
1606633953,2,6
1606635278,2,3
1606637035,3,0
1606638876,1,4
1606640680,6,3
1606642481,7,3
1606643700,8,1
1606645532,4,4
1606647026,3,7
1606648628,2,3
1606649689,4,3
1606651487,4,5
1606653270,1,5
1606655769,4,7
1606656865,6,1
1606658844,7,7
1606660073,6,4
1606661436,6,4
1606663335,9,4
1606666088,2,7
1606667676,1,4
1606725289,34,60
1606727207,32,4
1606728888,17,4
1606731366,11,12
1606732494,3,4
1606735877,12,10
1606739683,14,8
1606741879,14,6
1606743245,11,7
1606746001,15,9
1606746885,5,4
1606748388,11,15
1606749509,5,4
1606751441,8,11
1606752765,3,6
1606754177,10,6
1606756584,13,6
1606757674,5,8
1606759154,5,5
1606760762,11,7
1606761298,3,3
1606763195,8,4
1606764880,9,14
1606766046,11,9
1606767361,5,8
1606768485,9,8
1606772105,8,17
1606773543,14,3
1606775135,12,10
1606775681,0,4
1606778749,9,8
1606780583,15,10
1606781797,8,8
1606782883,3,8
1606785941,15,15
1606786480,3,2
1606787823,7,9
1606789539,12,15
1606791041,13,5
1606792229,9,13
1606794636,8,9
1606797291,12,13
1606800342,6,15
1606801848,4,10
1606804478,5,10
1606805661,4,5
1606806858,6,8
1606808077,8,4
1606809221,4,7
1606810559,6,8
1606811675,4,9
