DateTime,AddedIPs,RemovedIPs
1605919704,15,13
1605921643,14,15
1605923589,16,6
1605925476,22,19
1605927427,26,0
1605929330,11,14
1605931237,17,13
1605933191,12,12
1605935068,17,14
1605937013,10,20
1605938928,12,8
1605943737,23,25
1605945649,20,14
1605947548,16,0
1605949724,26,11
1605952600,28,28
1605954513,11,0
1605957395,9,19
1605959323,9,9
1605962215,25,29
1605964120,12,16
1605966031,10,0
1605967974,11,24
1605969890,15,13
1605971820,34,10
1605973686,20,0
1605975610,12,12
1605977588,21,19
1605979484,18,0
1605982355,15,12
1605984265,13,8
1605986238,15,22
1605988102,19,0
1605990028,22,7
1605991967,15,34
1605993874,21,0
1605995789,15,11
1605998675,15,31
1606000605,17,22
1606005379,16,20
1606007559,14,20
1606009469,17,0
1606013312,23,43
1606017166,20,23
1606019093,23,18
1606020998,15,13
1606023877,18,15
1606025818,17,17
1606027692,15,10
1606029651,11,11
1606031586,18,18
1606033481,25,12
1606035379,20,14
1606037325,14,13
1606039231,20,0
1606042105,20,32
1606045010,19,22
1606047149,12,18
1606049063,12,15
1606051004,13,15
1606052902,20,0
1606054910,13,20
1606056876,19,9
1606058922,22,0
1606060830,6,4
1606062774,12,13
1606064679,6,11
1606066607,19,10
1606068514,15,3
1606070456,18,11
1606072384,19,11
1606074267,16,17
1606076211,10,7
1606083146,15,46
1606085060,11,0
1606087055,17,17
1606088900,11,15
1606090830,10,16
1606092781,6,10
1606094673,10,18
1606096593,10,7
1606098527,11,15
1606100465,10,9
1606102370,9,17
1606104296,10,0
1606106214,10,16
1606110067,18,25
1606113858,11,31
1606115805,17,16
1606117697,19,0
1606120568,22,29
1606122514,15,16
1606124461,14,0
1606126368,10,12
1606130201,10,41
1606132095,14,15
1606134262,17,14
1606136200,8,8
1606138136,9,9
1606140055,10,17
1606141962,11,15
1606143887,13,0
1606145783,9,8
1606147714,6,11
1606149663,7,14
1606151546,14,0
1606153472,12,9
1606155410,16,18
1606157302,14,0
1606159235,26,10
1606161178,20,11
1606163079,22,0
1606164995,25,10
1606166902,20,19
1606168823,20,14
1606170783,20,14
1606172688,19,0
1606174588,20,16
1606176538,17,17
1606178432,16,17
1606180342,17,0
1606182300,17,38
1606187869,30,30
1606189732,23,15
1606191672,18,17
1606193801,19,28
1606195835,24,13
1606197988,21,33
1606200104,9,6
1606202046,16,26
1606204116,12,17
1606206254,16,23
1606208197,22,0
1606210372,9,16
1606212314,9,13
1606214188,14,9
1606216111,10,0
1606218072,18,7
1606219976,6,11
1606221933,16,0
1606223794,12,16
1606225734,15,11
1606227666,23,16
1606231486,9,26
1606234362,5,16
1606236361,10,13
1606238180,19,0
1606240106,14,9
1606242062,18,0
1606243976,26,14
1606245885,25,14
1606247808,22,18
1606249708,20,18
1606251640,28,15
1606253576,15,15
1606255480,21,16
1606257405,24,0
1606259321,21,22
1606263169,17,17
1606265063,8,17
1606266994,21,22
1606268929,20,0
1606270829,18,22
1606272747,20,22
1606274698,22,15
1606276603,16,17
1606278512,16,15
1606280463,15,17
1606282358,14,16
1606284278,22,18
1606286194,12,0
1606288109,16,25
1606290071,7,0
1606291994,21,14
1606293870,14,8
1606295785,14,23
1606297724,13,16
1606299636,14,21
1606301555,13,16
1606303496,8,18
1606305397,8,15
1606307301,9,13
1606309254,14,16
1606311155,14,12
1606313065,12,17
1606315026,10,17
1606316908,13,0
1606318839,9,8
1606320751,11,18
1606322676,9,8
1606325574,10,5
1606327489,12,12
1606329429,8,8
1606331339,16,16
1606333256,8,7
1606335130,6,0
1606337067,16,10
1606339004,10,13
1606340910,14,6
1606344767,20,18
1606347632,11,19
1606349602,16,10
1606351510,16,17
1606353402,15,16
1606355328,13,13
1606358218,25,15
1606360111,23,13
1606362039,21,18
1606363989,21,15
1606365862,24,22
1606367792,21,22
1606369756,19,23
1606372611,16,16
1606376424,12,11
1606378363,21,29
1606380266,30,23
1606382192,20,18
1606384141,13,0
1606386027,14,12
1606387931,12,0
1606389901,14,12
1606392761,10,16
1606394664,7,9
1606396581,18,14
1606398551,17,16
1606400430,16,16
1606402358,11,0
1606404292,24,4
1606408145,21,34
1606410051,19,12
1606411966,25,10
1606413884,22,9
1606415796,21,13
1606417746,12,0
1606419625,14,13
1606421545,11,12
1606423532,15,13
1606425399,20,15
1606428271,18,0
1606430187,10,13
1606432161,18,9
1606434042,19,18
1606435942,17,11
1606437894,22,17
1606439781,10,14
1606441702,8,15
1606444586,23,22
1606446570,20,28
1606448437,19,0
1606450345,8,18
1606452313,17,21
1606454182,21,15
1606456108,26,0
1606458041,13,13
1606459959,17,7
1606461864,22,16
1606463863,24,14
1606465722,22,12
1606468581,22,18
1606470500,18,17
1606472473,23,9
1606474360,21,16
1606476261,9,11
1606478205,16,0
1606480089,14,16
1606482983,21,6
1606484908,20,25
1606487791,17,15
1606489754,18,18
1606491648,9,11
1606493617,18,0
1606495491,8,10
1606497391,10,7
1606500286,14,12
1606502203,16,0
1606504156,23,9
1606507017,18,40
1606508913,23,18
1606510851,17,14
1606512755,6,19
1606514716,23,13
1606516601,6,19
1606518538,17,0
1606520454,7,0
1606522390,14,16
1606524267,10,20
1606526211,14,17
1606528099,16,16
1606531018,13,41
1606532913,19,21
1606534852,15,12
1606536741,18,17
1606538681,22,16
1606540607,14,19
1606542513,23,17
1606545376,23,15
1606547306,27,0
1606549247,20,19
1606551139,20,17
1606553066,19,20
1606555005,13,26
1606556931,21,0
1606558824,20,25
1606560790,18,14
1606562712,15,11
1606564582,16,10
1606566513,22,0
1606568460,22,19
1606570346,14,12
1606572271,13,10
1606574206,17,9
1606576108,15,19
1606578031,8,27
1606580898,13,37
1606583798,17,14
1606585759,16,19
1606587641,17,10
1606589545,17,16
1606591498,16,13
1606594364,14,17
1606596303,9,21
1606598203,13,16
1606600101,14,20
1606602036,13,16
1606603987,12,14
1606605867,26,13
1606607823,21,0
1606609704,18,0
1606611664,9,15
1606613581,13,17
1606616419,17,21
1606618345,22,21
1606620293,13,0
1606622207,16,14
1606624127,15,21
1606626087,20,15
1606628919,16,18
1606630818,22,11
1606632737,11,13
1606634688,17,9
1606636630,21,14
1606638514,17,23
1606640465,21,24
1606642364,16,13
1606644272,13,19
1606646201,17,0
1606651979,18,48
1606653873,15,10
1606655770,11,0
1606658687,13,25
1606661556,16,13
1606664466,14,24
1606666351,6,9
1606668252,11,13
1606670236,11,8
1606672181,11,13
1606674135,11,14
1606676312,16,15
1606678390,19,19
1606683416,4,29
1606685315,11,0
1606687233,13,0
1606690200,15,27
1606692034,12,15
1606693943,17,13
1606696142,14,11
1606698061,25,10
1606699941,14,10
1606701880,13,8
1606703791,12,16
1606705727,13,11
1606707625,13,10
1606709781,13,9
1606711728,18,9
1606713638,20,0
1606715533,13,18
1606717632,13,0
1606720576,10,11
1606722525,12,37
1606724453,16,0
1606726350,19,19
1606728284,13,16
1606731178,12,23
1606734995,19,0
1606736925,6,26
1606740737,9,18
1606742710,16,7
1606744594,18,8
1606746517,23,7
1606750362,20,30
1606752272,6,10
1606754210,15,8
1606756105,9,10
1606759964,11,23
1606761865,8,13
1606763780,16,16
1606766013,12,40
1606767868,16,0
1606769790,17,22
1606773644,17,77
1606775541,17,0
1606777495,12,39
1606779387,5,0
1606781306,13,18
1606783254,13,43
1606785157,15,15
1606787074,14,0
1606789019,11,20
1606790904,20,0
1606792827,21,28
1606794842,22,22
1606796686,23,16
1606798582,26,0
1606800533,21,19
1606802482,19,18
1606804340,13,25
1606806293,17,10
1606808176,25,9
1606810104,24,9
1606812051,20,25
1606813957,12,18
1606815859,10,9
1606818740,14,10
1606820749,11,12
1606822576,12,8
1606824747,12,11
1606826727,13,7
1606828596,8,29
1606830763,20,14
1606832689,14,17
1606834614,11,0
1606837484,4,6
1606839415,13,6
1606842741,7,8
1606845669,19,29
1606847561,18,16
1606849481,4,20
1606851382,19,27
1606853342,14,23
1606856233,12,19
1606858114,14,24
1606860991,16,39
1606862912,23,23
1606864852,15,25
1606866757,14,0
1606868677,22,16
1606870632,10,9
1606872510,16,15
1606875396,18,18
1606877339,18,23
1606880215,16,33
1606884047,18,43
1606885969,21,17
1606887906,19,15
1606889805,21,29
1606894580,25,36
1606896526,21,14
1606898467,19,22
1606902263,18,33
1606904207,13,20
1606906108,20,13
1606908983,16,24
1606910904,11,11
1606913793,17,9
1606915773,12,10
1606917624,21,10
1606919541,17,11
1606923408,11,21
1606926269,10,14
1606929172,10,8
1606931065,14,9
1606933015,17,11
1606934910,14,9
1606936847,20,14
1606938788,19,12
1606941662,14,8
1606944504,15,24
1606946467,20,15
1606948377,12,0
1606950270,13,22
1606952192,12,0
1606954132,13,10
1606956054,19,18
1606958910,14,25
1606960841,21,16
1606962767,17,0
1606966645,8,41
1606968502,19,22
1606970440,19,17
1606972367,14,22
1606974280,13,18
1606976185,6,20
1606978128,14,21
1606980073,14,0
1606981940,9,15
1606983939,12,22
1606985782,10,29
1606987742,14,20
1606989642,9,22
1606991540,21,16
