DateTime,AddedIPs,RemovedIPs
1605919704,45,48
1605921643,45,42
1605923589,43,47
1605925476,47,45
1605927427,58,45
1605929330,43,56
1605931237,44,42
1605933191,51,45
1605935068,52,54
1605937013,52,51
1605938928,36,50
1605943737,54,38
1605945649,44,53
1605947548,64,48
1605949724,49,61
1605952600,49,48
1605954513,34,51
1605957395,30,33
1605959323,31,29
1605962215,42,33
1605964120,29,42
1605966031,30,26
1605967974,31,31
1605969890,42,31
1605971820,45,43
1605973686,37,47
1605975610,30,35
1605977588,27,34
1605979484,31,25
1605982355,20,32
1605984265,28,18
1605986238,27,27
1605988102,36,27
1605990028,40,35
1605991967,34,41
1605993874,30,36
1605995789,33,30
1605998675,27,32
1606000605,30,27
1606005379,43,27
1606007559,33,42
1606009469,39,34
1606013312,40,41
1606017166,34,38
1606019093,42,37
1606020998,35,39
1606023877,40,35
1606025818,34,42
1606027692,36,30
1606029651,28,32
1606031586,31,28
1606033481,50,42
1606035379,41,46
1606037325,33,45
1606039231,39,32
1606042105,29,38
1606045010,36,32
1606047149,25,36
1606049063,26,23
1606051004,30,24
1606052902,31,25
1606054910,30,37
1606056876,35,29
1606058922,32,37
1606060830,19,34
1606062774,29,19
1606064679,15,27
1606066607,32,16
1606068514,31,32
1606070456,35,30
1606072384,46,35
1606074267,29,42
1606076211,26,32
1606083146,30,23
1606085060,29,30
1606087055,31,31
1606088900,30,32
1606090830,27,26
1606092781,28,30
1606094673,34,30
1606096593,24,31
1606098527,34,25
1606100465,28,33
1606102370,23,26
1606104296,27,24
1606106214,29,29
1606110067,43,25
1606113858,27,46
1606115805,34,30
1606117697,38,33
1606120568,38,38
1606122514,35,39
1606124461,30,35
1606126368,28,30
1606130201,30,26
1606132095,31,33
1606134262,31,27
1606136200,39,34
1606138136,19,26
1606140055,28,23
1606141962,32,37
1606143887,27,21
1606145783,21,37
1606147714,18,22
1606149663,30,16
1606151546,29,32
1606153472,33,29
1606155410,32,28
1606157302,33,34
1606159235,48,34
1606161178,41,49
1606163079,47,41
1606164995,42,43
1606166902,44,45
1606168823,41,43
1606170783,44,39
1606172688,32,37
1606174588,43,41
1606176538,35,38
1606178432,40,40
1606180342,46,41
1606182300,36,40
1606187869,45,41
1606189732,42,44
1606191672,39,44
1606193801,42,37
1606195835,49,44
1606197988,53,51
1606200104,35,53
1606202046,36,26
1606204116,36,45
1606206254,51,33
1606208197,46,53
1606210372,31,44
1606212314,38,33
1606214188,37,35
1606216111,25,38
1606218072,35,25
1606219976,23,32
