DateTime,Entries,UniqueIPs
1575115688,4380,4557
1575138023,4808,5007
1575217969,4817,5008
1575297388,4835,5019
1575377530,4472,4616
1575470191,4112,4222
1575539535,4533,4663
1575557306,4959,5104
1575625699,4561,4680
1575717861,4540,4671
1575752173,4063,4174
1575844581,4093,4199
1575894268,4503,4644
1575986178,4090,4211
1575997457,4538,4668
1576089166,4526,4667
1576095870,4909,5082
1576187294,4499,4649
1576236992,4489,4647
1576329616,4504,4649
1576410269,4526,4660
1576502657,4046,4191
1576561712,4488,4642
1576653869,4029,4178
1576654809,4449,4621
1576688898,4841,5031
1576757548,4436,4593
1576780838,4851,5025
1576785496,5258,5462
1576789708,5637,5871
1576794787,5637,5859
1576854024,5655,5872
1576855962,6042,6287
1576859557,6419,6692
1576881868,6852,7138
1576893129,7263,7565
1576902020,7634,7959
1576936328,7659,7977
1577028751,7629,7967
1577096886,7922,8295
1577114438,7916,8290
1577128347,8292,8681
1577170329,8264,8659
1577187624,8633,9055
1577191709,8947,9394
1577199638,9312,9779
1577290584,8861,9337
1577381542,8573,9009
1577441322,7486,7862
1577533933,5546,5813
1577575713,5480,5749
1577586250,5762,6071
1577598014,6109,6454
1577625867,6491,6858
1577635702,6458,6816
1577649631,6857,7243
1577663312,7148,7559
1577680362,7521,7983
1577691133,7918,8384
1577694748,8299,8785
1577701956,8411,8869
1577793862,7371,7751
1577801312,7413,7784
1577806363,7355,7733
1577809698,7726,8116
1577818093,8025,8435
1577825061,8341,8769
1577830129,8656,9112
1577833941,8974,9457
1577838259,9297,9822
1577846185,9680,10216
1577850249,10021,10570
1577858921,10332,10892
1577876445,10645,11232
1577878826,10920,11536
1577882650,11209,11839
1577888198,11445,12104
1577894917,11749,12440
1577902825,11725,12424
1577910027,12079,12787
1577933301,12348,13089
1577955863,12658,13417
1577959480,12928,13705
1577963074,13270,14061
1577972433,13529,14336
1577978659,13869,14687
1578020191,13820,14628
1578048013,13840,14634
1578058588,14266,15062
1578061476,14555,15358
1578064599,14928,15739
1578086910,15225,16052
1578166810,15229,16048
1578236167,14339,15124
1578316106,12348,13010
1578323310,12696,13373
1578329308,13034,13726
1578332678,13327,14041
1578354505,13680,14403
1578395557,14010,14752
1578486992,9979,10505
1578497291,9752,10254
1578576772,7788,8136
1578668926,6004,6260
1578671888,5967,6228
1578765630,6024,6275
1578834756,5931,6197
1578846506,5903,6161
1578938655,4763,4938
1579018836,4339,4502
1579088415,4821,4988
1579092266,4841,5021
1579096831,5263,5460
1579100917,5681,5901
1579104511,5710,5911
1579108116,6156,6363
1579175304,6603,6826
1579267016,6598,6820
1579358675,6279,6482
1579450573,5872,6060
1579541540,5936,6107
1579632729,5621,5731
1579723739,3306,3389
1579814892,3195,3312
1579906108,3101,3228
1579964429,2947,3117
1579973285,3219,3432
1580052738,3568,3789
1580111062,3444,3684
1580118264,3758,4032
1580124490,4074,4377
1580135546,4346,4691
1580145134,4629,4984
1580236355,4461,4834
1580316011,4291,4683
1580406966,4316,4698
1580465769,4294,4676
1580557450,4334,4702
1580649158,4067,4407
1580662570,3982,4357
1580742772,3036,3357
1580812449,2995,3317
1580839946,3233,3605
1580930651,3011,3325
1581022107,2998,3313
1581063607,3261,3625
1581074664,3249,3611
1581165608,3304,3658
1581257547,3296,3670
1581325958,3309,3669
1581417863,2986,3328
1581509304,3054,3360
1581601932,2983,3320
1581693377,2420,2679
1581784091,2423,2679
1581875066,2431,2684
1581954735,2450,2703
1581972514,2685,2986
1581975633,3014,3324
1582017372,3210,3591
1582018810,3406,3819
1582060102,3370,3778
1582108329,3613,4048
1582150116,3560,3994
1582218972,3570,4002
1582311126,3590,4011
1582402570,3503,3943
1582494730,3476,3916
1582562890,3503,3952
1582621945,3296,3708
1582629862,3131,3487
1582721544,2960,3272
1582742889,3221,3561
1582834112,2998,3285
1582867943,3270,3587
1582894853,3552,3903
1582986729,3641,3979
1583078430,3646,3989
1583147300,3670,4019
1583226497,3660,4009
1583248587,3373,3696
1583254812,3639,3983
1583345302,3595,3945
1583394016,3645,3976
1583421374,3893,4257
1583422819,4182,4560
1583428333,4429,4831
1583519285,3762,4136
1583609556,3721,4092
1583700496,3825,4169
1583759533,3845,4187
1583850731,3832,4185
1583941208,3562,3904
1584032415,2759,2998
1584124088,2483,2691
1584182410,2724,2985
1584186727,2945,3251
1584191538,3251,3569
1584197054,3511,3846
1584288524,3478,3818
1584380172,3121,3451
1584471625,3110,3458
1584563546,3109,3449
1584655217,3098,3445
1584746653,3113,3452
1584780493,3327,3686
1584871933,2533,2813
1584963618,2545,2834
1585042809,2507,2825
1585053141,2753,3102
1585121772,2997,3321
1585162573,3307,3649
1585221864,3318,3645
1585263633,3306,3637
1585321727,3581,3952
1585413151,3396,3731
1585505317,3396,3728
1585563612,3738,4074
1585643536,3748,4087
1585677381,3556,3835
1585726808,3347,3636
1585740732,3671,3967
1585831928,3425,3669
1585923129,3422,3675
1586013850,3397,3666
1586105290,3366,3646
1586197685,3010,3283
1586255655,2979,3256
1586325126,2966,3248
1586326359,3194,3519
1586348662,2832,3134
1586417061,3075,3412
1586509017,3004,3373
1586522182,3254,3665
1586613369,3284,3697
1586705047,3308,3713
1586784732,3315,3733
1586876178,3151,3538
1586877130,3485,3887
1586936902,3312,3659
1586978178,3373,3706
1587036733,3439,3759
1587042502,3937,4258
1587111370,4227,4573
1587152891,4027,4321
1587187933,4297,4631
1587279366,4295,4623
1587371294,4336,4644
1587442570,4397,4696
1587456025,4710,5020
1587466575,5029,5361
1587483863,4744,5055
1587489158,4985,5340
1587507375,5255,5636
1587513630,5493,5906
1587514591,5742,6181
1587525620,6006,6473
1587534489,6244,6726
1587537641,6500,6996
1587538841,6747,7254
1587551538,6748,7260
1587553736,7013,7535
1587554657,7253,7782
1587560039,7527,8064
1587561144,7758,8310
1587630021,7771,8315
1587720739,6974,7525
1587812168,6748,7271
1587904335,6771,7263
1587995569,6783,7275
1588087226,6367,6819
1588178652,2831,2962
1588270109,2902,3011
1588361590,2944,3051
1588452501,2922,3040
1588543940,2989,3096
1588635608,2969,3069
1588727302,2845,2962
1588818491,2847,2963
1588909686,2758,2893
1589001140,2705,2842
1589092810,2655,2810
1589183530,2779,2915
1589276421,2932,3053
1589367862,3058,3161
1589459070,3139,3223
1589550737,3189,3261
1589642179,3304,3361
1589734567,3360,3373
1589825315,3283,3311
1589916735,3200,3239
1590009153,3159,3200
1590102255,3128,3179
1590193469,3097,3150
1590284904,2922,2986
1590377353,2880,2941
1590468490,2827,2874
1590559706,2891,2932
1590651145,2955,2993
1590744021,3045,3078
1590835692,3038,3073
1590925693,3108,3139
1591017130,3107,3136
1591108333,3119,3151
1591199290,3079,3116
1591290731,2976,3016
1591382169,2891,2933
1591473370,2894,2940
1591564575,2947,2989
1591655532,3015,3057
1591746985,3070,3104
1591837928,3001,3036
1591928886,3006,3033
1591969933,3414,3447
1592061387,3498,3532
1592152338,3506,3537
1592244511,3434,3470
1592335450,3401,3441
1592427131,3335,3374
1592518448,3427,3471
1592609546,3095,3135
1592699770,3013,3055
1592790511,3054,3095
1592881964,3072,3114
1592973873,3101,3142
1593064335,3128,3166
1593155526,3102,3132
1593246488,3025,3057
1593337450,3032,3064
1593428167,3069,3099
1593519370,3088,3126
1593610114,3185,3221
1593689556,3225,3263
1593711611,3628,3670
1593761053,3622,3666
1593802120,4007,4057
1593893777,4070,4117
1593985210,4048,4095
1594013051,4465,4521
1594104492,4403,4458
1594196174,4497,4545
1594287616,4364,4418
1594356727,3862,3928
1594373538,3834,3898
1594376918,4160,4229
1594468565,4116,4187
1594560256,3979,4053
1594651718,3527,3590
1594743615,3520,3588
1594824251,3443,3519
1594916443,3537,3611
1595008330,2949,3001
1595099536,2961,3015
1595191222,3054,3103
1595282648,3112,3163
1595373854,3114,3167
1595423556,3115,3168
1595481163,3074,3126
1595572601,3034,3088
1595664038,3145,3189
1595755930,3146,3196
1595848102,3080,3134
1595939801,3015,3063
1596032171,2618,2658
1596033137,3023,3075
1596120742,3036,3081
1596211965,3058,3109
1596298841,2945,3009
1596389770,2993,3063
1596480490,2995,3070
1596572005,2970,3045
1596659292,2973,3045
1596750011,2907,2985
1596844327,2963,3036
1596935051,2927,2993
1597032760,2855,2907
1597126123,2870,2913
1597217290,2900,2939
1597308492,3017,3055
1597405452,3148,3181
1597492599,3063,3103
1597580199,3058,3100
1597669240,3078,3115
1597760176,3062,3103
1597770039,3414,3463
1597857606,3357,3409
1597950038,3219,3280
1598041933,3172,3239
1598133366,3198,3269
1598192172,3290,3358
1598283611,3327,3390
1598375300,3012,3070
1598467710,3017,3068
1598559634,3058,3112
1598651666,2981,3035
1598672161,2982,3036
1598744409,2998,3050
1598760729,3346,3414
1598773473,3718,3796
1598790967,4090,4181
1598812807,4086,4187
1598905003,4081,4182
1598997887,4057,4149
1599089077,4200,4280
1599181453,4143,4220
1599249613,4640,4720
1599271724,4303,4364
1599282758,4757,4823
1599374196,4581,4615
1599465618,3817,3835
1599479530,4265,4291
1599548170,4228,4261
1599575797,4608,4649
1599655480,4689,4730
1599656427,5098,5144
1599669421,5536,5586
1599761357,5470,5519
1599802808,5517,5561
1599894755,4986,5028
1599985935,4985,5028
1600077642,4867,4915
1600168811,4581,4611
1600260967,4219,4251
1600352201,3757,3789
1600442889,3299,3331
1600534350,3185,3221
1600625834,3072,3113
1600717689,3063,3110
1600808446,2893,2954
1600899612,2959,3019
1600991315,3019,3074
1601082491,3002,3057
1601174197,3034,3094
1601266114,3097,3150
1601293717,3571,3628
1601386085,3605,3655
1601477527,3609,3662
1601568519,3555,3606
1601637126,3490,3550
1601728327,3421,3489
1601820040,3505,3572
1601911217,2992,3065
1602002413,3086,3152
1602093874,3015,3083
1602184805,2945,3014
1602276728,2974,3043
1602367958,3006,3079
1602458887,3040,3107
1602549612,3149,3203
1602577451,3600,3663
1602668408,3543,3616
1602759852,3649,3711
1602850841,3681,3732
1602941532,3700,3753
1603032730,3726,3767
1603124170,3725,3769
1603215610,3265,3306
1603306333,3252,3297
1603398036,3294,3329
1603489447,3337,3369
1603580500,3362,3384
1603671610,3333,3360
1603762358,3321,3352
1603853527,3251,3297
1603944729,3194,3239
1604035953,3097,3141
1604127161,3038,3084
1604218355,3056,3097
1604309287,3032,3066
1604400249,3038,3080
1604491216,3090,3132
1604582408,3076,3132
1604674115,3098,3153
1604764570,3074,3132
1604855799,3087,3145
1604946258,3072,3135
1605037210,3107,3172
1605129397,3066,3136
1605219876,3098,3166
1605311557,3138,3207
1605402756,3148,3209
1605492971,3139,3202
1605584408,3087,3159
1605675370,3101,3166
1605766357,3144,3211
1605858249,3093,3159
1605949237,3108,3172
1606039930,3193,3248
1606130912,3192,3247
1606222330,3308,3333
1606314294,3263,3298
1606405703,3169,3204
1606496482,3194,3230
1606587373,3243,3281
1606678401,3235,3276
1606769290,3151,3215
1606848488,3080,3142
1606882355,3561,3625
1606973291,3706,3760
1606975452,4152,4210
