DateTime,AddedIPs,RemovedIPs
1574950563,1,0
1575125285,1,0
1575212644,1,0
1575256323,3,0
1575365764,1,0
1575409448,2,0
1575453124,1,0
1575496808,1,0
1575540485,2,0
1575584164,2,0
1575627844,1,0
1575671765,2,0
1575890404,3,0
1576021443,1,0
1576108803,2,0
1576196404,1,0
1576283764,1,0
1576414809,1,0
1576502405,1,0
1576633683,2,0
1576677363,1,0
1576721285,2,0
1576852324,4,0
1576896004,1,0
1576939684,3,0
1576983364,7,0
1577070964,4,0
1577114884,4,0
1577158564,1,0
1577245924,1,0
1577289609,3,0
1577333286,4,0
1577377204,1,0
1577508484,1,0
1577596086,2,0
1577639763,2,0
1577683444,2,0
1577727124,1,0
1577858163,1,0
1577902088,1,0
1577989443,1,0
1578033125,1,0
1578076804,1,0
1578164163,1,0
1578208089,10,0
1578251764,14,0
1578295444,6,0
1578339125,3,0
1578382804,1,0
1578426484,1,0
1578470163,1,0
1578601684,3,0
1578645607,1,0
1578733211,1,0
1578864483,1,0
1578908163,1,0
1578951843,1,0
1578995524,3,0
1579039211,2,0
1579082887,5,0
1579126564,3,0
1579170243,2,0
1579476244,1,0
1579607284,2,0
1579694646,1,0
1579825683,1,0
1579934884,2,0
1579978564,3,0
1580022485,4,0
1580066164,4,0
1580109846,1,0
1580284564,1,0
1580328245,4,0
1580371923,2,0
1580415604,24,0
1580459284,22,0
1580502964,25,0
1580546643,17,0
1580590324,15,0
1580634010,13,0
1580677686,14,0
1580896324,2,0
1580983686,2,0
1581027364,2,0
1581114725,2,0
1581158404,1,0
1581289445,1,0
1581333125,1,0
1581420483,2,0
1581464164,1,0
1581507844,1,0
1581551524,2,0
1581595204,2,0
1581638885,2,0
1581726244,2,0
1581813603,1,0
1581857524,2,0
1581901208,2,0
1581944885,2,0
1582032243,3,0
1582075924,3,0
1582119604,1,0
1582163283,2,0
1582206963,1,0
1582250887,1,0
1582294564,1,0
1582338244,2,0
1582381924,3,0
1582425604,1,0
1582469283,2,0
1582556885,1,0
1582600563,1,0
1582644244,4,0
1582687923,2,0
1582731605,3,0
1582818964,1,0
1582862644,1,0
1582950004,2,0
1582993683,3,0
1583081043,1,0
1583125213,1,0
1583168886,3,0
1583387284,2,0
1583430964,2,0
1583474886,1,0
1583518563,2,0
1583562244,1,0
1583649604,1,0
1583736964,2,0
1583780884,1,0
1583868244,2,0
1583999284,2,0
1584086644,1,0
1584130324,2,0
1584174004,2,0
1584305044,2,0
1584436085,2,0
1584479764,1,0
1584523444,1,0
1584654484,4,0
1584698164,2,0
1584741844,1,0
1584785524,1,0
1584829204,4,0
1584872884,1,0
1584916564,1,0
1585003923,2,0
1585091526,1,0
1585135204,1,0
1585178883,1,0
1585222564,1,0
1585266244,4,0
1585309924,3,0
1585353606,4,0
1585397288,2,0
1585440964,3,0
1585484644,1,0
1585528325,3,0
1585572004,2,0
1585659365,2,0
1585703284,1,0
1585790645,4,0
1585834439,1,0
1586052963,2,0
1586096644,1,0
1586140323,1,0
1586184003,3,0
1586227685,1,0
1586271364,1,0
1586315044,4,0
1586358723,1,0
1586402404,2,0
1586489764,1,0
1586533444,2,0
1586577125,2,0
1586620805,1,0
1586664484,3,0
1586751844,1,0
1586795525,4,0
1586882884,1,0
1587013923,4,0
1587101286,1,0
1587188644,3,0
1587232324,4,0
1587276007,3,0
1587319684,3,0
1587363364,3,0
1587450964,1,0
1587494646,4,0
1587538818,2,0
1587582484,2,0
1587626167,3,0
1587757204,4,0
1587800885,3,0
1587844564,3,0
1587931924,3,0
1588019284,1,0
1588062964,1,0
1588150324,1,0
1588194012,1,0
1588237684,4,0
1588281365,1,0
1588325043,2,0
1588368725,1,0
1588456085,3,0
1588543685,1,0
1588587365,1,0
1588674724,2,0
1588718403,2,0
1588762086,1,0
1588849684,1,0
1588937044,1,0
1588980724,4,0
1589024404,1,0
1589068085,2,0
1589111764,2,0
1589243284,1,0
1589286963,1,0
1589330645,1,0
1589374326,1,0
1589418007,2,0
1589461686,2,0
1589505364,1,0
1589549043,2,0
1589592723,5,0
1589636406,3,0
1589680087,4,0
1589767444,2,0
1589811124,3,0
1589854806,5,0
1589898485,4,0
1589942164,4,0
1590008166,4,0
1590139203,1,0
1590182883,2,0
1590226565,1,0
1590313924,1,0
1590357603,1,0
1590401284,1,0
1590444965,3,0
1590532323,4,0
1590619684,2,0
1590707043,2,0
1590750964,1,0
1590794648,1,0
1590882004,1,0
1591013044,2,0
1591056723,3,0
1591144323,1,0
1591188006,3,0
1591231684,3,0
1591275364,3,0
1591319044,3,0
1591362723,24,0
1591406404,1,0
1591450324,3,0
1591494004,2,0
1591537684,2,0
1591581366,1,0
1591625285,2,0
1591668964,1,0
1591756325,1,0
1591843684,1,0
1591887363,6,0
1591931284,4,0
1591974966,1,0
1592018643,4,0
1592062324,1,0
1592106004,2,0
1592324644,4,0
1592368324,3,0
1592412244,2,0
1592455924,1,0
1592499605,2,0
1592849043,1,0
1592892965,1,0
1592936644,1,0
1593067684,3,0
1593111364,2,0
1593155044,1,0
1593242403,2,0
1593286085,2,0
1593329765,1,0
1593373444,1,0
1593460806,1,0
1593504484,1,0
1593548164,6,0
1593592084,1,0
1593635763,1,0
1593723124,2,0
1593810484,2,0
1593897846,5,0
1593985204,1,0
1594028884,1,0
1594072565,1,0
1594116244,1,0
1594247523,2,0
1594378564,1,0
1594422243,4,0
1594509607,4,0
1594553284,2,0
1594597204,1,0
1594728485,1,0
1594815843,1,0
1594903203,1,0
1594946883,3,0
1595077926,2,0
1595340005,1,0
1595383925,4,0
1595427604,2,0
1595558644,2,0
1595602324,1,0
1595646011,2,0
1595689685,1,0
1595733363,2,0
1595864403,4,0
1595908084,1,0
1595995444,4,0
1596039124,3,0
1596082804,1,0
1596126483,2,0
1596170166,2,0
1596213844,2,0
1596257523,4,0
1596301203,1,0
1596344884,1,0
1596388565,1,0
1596432244,2,0
1596475923,2,0
1596519604,2,0
1596606966,1,0
1596738484,11,0
1596782163,1,0
1596869526,2,0
1596913207,1,0
1597000564,1,0
1597044243,1,0
1597131604,2,0
1597175283,2,0
1597218963,3,0
1597306564,1,0
1597350243,1,0
1597393923,1,0
1597437605,3,0
1597481283,1,0
1597546812,1,0
1597590484,7,0
1597634166,1,0
1597677843,2,0
1597721524,5,0
1597765204,1,0
1597808884,1,0
1597852564,1,0
1597896243,2,0
1597983608,1,0
1598027284,1,0
1598070964,1,0
1598114644,1,0
1598158324,1,0
1598202004,2,0
1598245684,1,0
1598290087,2,0
1598597044,11,0
1598640724,1,0
1598684413,2,0
1598771765,1,0
1598990412,1,0
1599034085,1,0
1599078006,1,0
1599121926,16,0
1599165606,3,0
1599209283,3,0
1599252963,5,0
1599384244,3,0
1599427923,4,0
1599646324,1,0
1599690003,2,0
1599733685,1,0
1599777364,1,0
1599864725,3,0
