DateTime,AddedIPs,RemovedIPs
1587852084,1,0
1587855687,1,0
1587862881,0,1
1587888080,0,1
1587906078,0,1
1587920474,0,1
1587927669,0,1
1587970867,0,1
1587974489,0,1
1587988868,0,1
1587992465,0,1
1587999665,0,1
1588014067,0,2
1588050060,0,1
1588060862,0,2
1588078862,0,1
1588100469,0,1
1588107677,0,2
1588111287,0,1
1588122087,0,1
1588140062,0,1
1588143786,0,1
1588158082,0,1
1588161658,0,1
1588194081,0,2
1588204858,0,1
1588222882,0,1
1588294857,0,1
1588348854,0,1
1588370451,0,1
1588384870,0,2
1588399331,0,1
1588417364,0,1
1588431778,0,1
1588435274,0,1
1588442610,0,4
1588446176,0,2
1588453327,0,1
1588456976,0,1
1588460547,0,1
1588467978,0,8
1603076404,14,5
1603080004,7,0
1603083605,5,0
1603094406,1,0
1603098005,1,0
1603101606,2,0
1603105206,1,0
1603108805,2,0
1603134006,1,0
1603137607,3,0
1603144807,1,0
1603159207,1,0
1603166406,1,0
1603170008,2,0
1603180807,1,0
1603184407,1,0
1603206007,2,0
1603209608,2,0
1603227608,1,0
1603238408,2,0
1603263609,1,0
1603292408,1,0
1603310408,1,0
1603314009,1,0
1603321210,2,0
1603324809,5,0
1603328409,2,0
1603332010,1,0
1603335609,1,0
1603364410,1,0
1603375209,1,0
1603404010,1,0
1603407610,1,0
1603414811,1,0
1603422010,4,0
1603425610,1,0
1603440010,1,0
1603461612,1,0
1603490412,2,0
1603497611,1,0
1603501212,1,0
1603522811,1,0
1603537212,1,0
1603555212,1,0
1603562412,2,0
1603569612,1,0
1603576808,1,0
1603594808,1,0
1603609208,1,0
1603616409,1,0
1603627208,2,0
1603634409,1,0
1603652409,1,0
1603677609,1,0
1603681208,0,1
1603684809,1,1
1603702809,1,0
1603706409,1,1
1603710008,0,1
1603720809,1,0
1603728009,1,0
1603746009,0,1
1603760409,1,1
1603774809,1,0
1603778408,0,1
1603789209,0,1
1603792808,1,0
1603796408,0,1
1603800009,0,1
1603807209,0,1
1603814408,1,1
1603818009,1,0
1603825209,1,1
1603828808,0,2
1603843208,0,2
1603850408,1,1
1603861208,2,0
1603864811,1,0
1603872008,1,0
1603875608,1,1
1603879208,2,0
1603882808,2,0
1603886408,2,0
1603890009,2,0
1603893609,0,1
1603908864,3,1
1603915241,3,2
1603922442,1,0
1603936840,0,3
1603940441,1,0
1603944041,1,0
1603965642,5,1
1603976442,4,0
1603983641,0,1
1603987209,0,1
1603990809,0,3
1604016010,1,0
1604019611,1,0
1604030409,0,3
1604034010,3,0
1604037611,1,0
1604044810,9,0
1604048412,0,1
1604055609,1,0
1604059210,3,0
1604062811,0,1
1604066412,1,1
1604080811,2,0
1604084411,4,0
1604088011,1,0
1604091610,0,1
1604095211,0,2
1604098810,1,0
1604109610,1,0
1604116810,1,0
1604127611,1,0
1604152812,1,1
1604156410,2,0
1604160011,1,1
1604174412,1,1
1604185210,2,0
1604188812,1,1
1604196011,0,1
1604199612,1,0
1604214012,1,0
1604221210,0,1
1604228412,0,1
1604242810,0,1
1604250011,1,0
1604257211,0,2
1604282412,0,1
1604286011,0,1
1604289612,0,1
1604293211,1,0
1604300410,1,0
1604304010,1,0
1604307612,0,1
1604314812,1,1
1604332812,1,1
1604347210,0,1
1604361610,0,1
1604365212,0,1
1604379612,0,1
1604390411,0,1
1604444410,1,0
1604458812,0,1
1604466010,1,0
1604469612,0,2
1604480411,0,1
1604484009,0,1
1604498410,0,2
1604505610,0,1
1604509211,1,1
1604520011,0,2
1604523608,0,1
1604527211,1,1
1604556009,0,1
1604559610,0,1
1604563208,0,1
1604574010,0,1
1604577611,0,2
1604581209,0,1
1604584811,0,1
1604588411,1,0
1604592009,0,1
1604606408,0,2
1604610010,3,0
1604620810,1,0
1604624409,0,1
1604631609,0,1
1604642409,0,1
1604653209,0,1
1604656811,0,3
1604660408,0,5
1604664009,0,1
1604682011,0,1
1604689209,0,1
1604700010,0,1
1604714409,0,1
1604728808,0,1
1604732409,0,1
1604750407,0,1
1604757608,0,1
1604761208,1,0
1604764808,1,0
1604768409,0,1
1604779210,2,1
1604782808,2,1
1604786409,1,0
1604790010,0,1
1604793609,0,2
1604800810,1,0
1604804409,0,3
1604836809,0,1
1604844009,1,0
1604847609,2,0
1604851208,0,2
1604858408,1,1
1604862009,0,1
1604876408,0,1
1604880009,1,0
1604883609,1,0
1604890808,0,3
1604894409,0,1
1604898009,1,0
1604901609,0,1
1604916009,0,1
1604919607,0,1
1604937609,0,1
1604948407,2,0
1604952008,2,0
1604955609,0,1
1604959209,0,1
1604962809,1,2
1604966410,1,0
1604980807,1,0
1604984408,1,0
1604991608,1,0
1604995208,2,0
1605002408,1,0
1605006008,0,1
1605009609,2,0
1605016808,1,1
1605024008,1,0
1605027610,1,0
1605038409,1,1
1605042008,2,0
1605045610,1,0
1605049209,0,1
1605052810,0,1
1605056410,1,0
1605060008,2,1
1605063610,0,1
1605081608,4,1
1605085208,1,0
1605092410,0,1
1605099610,2,2
1605110411,1,0
1605132009,1,1
1605135608,1,0
1605139209,0,1
1605150009,0,1
1605157208,0,1
1605168009,1,0
1605171609,0,1
1605189611,2,1
1605196808,0,1
1605200409,0,1
1605204009,3,0
1605211208,0,1
1605214808,0,1
1605222009,0,1
1605236409,0,1
1605247209,2,0
1605250808,1,0
1605268810,1,0
1605272408,0,1
1605290409,1,0
1605294010,1,0
1605297609,1,0
1605301210,0,1
1605308410,3,0
1605312011,1,0
1605326411,1,0
1605348010,1,1
1605351610,0,1
1605362410,0,1
1605380409,1,0
1605384009,1,0
1605391210,0,1
1605394809,0,1
1605398410,0,1
1605402010,0,1
1605412808,1,1
1605423610,2,1
1605430810,0,1
1605441611,1,0
1605448810,0,1
1605452409,0,1
1605463210,0,1
1605466809,1,0
1605470410,2,0
1605474009,1,0
1605477610,1,0
1605481209,2,0
1605488409,1,0
1605506410,0,1
1605513609,0,1
1605520811,2,0
1605531611,0,1
1605538812,0,1
1605546011,0,1
