DateTime,AddedIPs,RemovedIPs
1605198170,42,57
1605201770,45,62
1605205372,61,50
1605208940,44,59
1605212569,50,67
1605216145,54,60
1605219741,51,43
1605223371,45,53
1605226951,33,58
1605230574,53,48
1605234141,40,52
1605237746,45,73
1605241335,46,56
1605244963,39,55
1605248540,50,67
1605252150,47,75
1605255747,42,67
1605259319,44,62
1605262918,54,61
1605266545,49,74
1605270117,26,76
1605273743,61,65
1605277343,42,61
1605280945,47,79
1605284520,43,64
1605288114,42,56
1605291743,48,57
1605295317,57,65
1605298910,36,66
1605302508,32,54
1605306106,35,52
1605309705,36,63
1605313312,47,66
1605316906,51,52
1605320531,18,49
1605324143,38,47
1605327731,46,57
1605331326,39,66
1605334925,35,61
1605338497,45,73
1605342119,41,47
1605345694,40,54
1605349289,34,59
1605352890,32,67
1605356514,31,62
1605360112,43,62
1605363684,41,71
1605367285,35,80
1605370910,35,83
1605374517,53,90
1605378082,36,74
1605381706,81,53
1605385305,39,60
1605388874,34,64
1605392475,30,54
1605396099,38,69
1605399704,46,57
1605403298,48,74
1605406899,42,62
1605410481,46,70
1605414092,35,54
1605417664,22,75
1605421263,20,76
1605424883,38,73
1605428457,44,80
1605432079,33,84
1605435679,38,68
1605439280,46,92
1605442851,43,88
1605446472,44,86
1605450073,35,72
1605453667,32,105
1605457241,35,94
1605460847,194,69
1605464448,98,87
1605468077,94,72
1605471676,129,84
1605475275,86,92
1605478851,110,95
1605482481,126,100
1605486055,85,114
1605489678,88,116
1605493272,63,113
1605496858,53,99
1605500470,56,91
1605504043,56,101
1605507637,64,101
1605511234,54,103
1605514858,51,82
1605518459,56,106
1605522058,46,72
1605525632,41,86
1605529254,38,86
1605532851,40,100
1605536431,47,77
1605540057,45,99
1605543655,36,95
1605547231,23,78
1605550828,40,84
1605554428,44,69
1605558019,43,96
1605561648,65,74
1605565219,28,81
1605568848,78,75
1605572448,38,89
1605576016,41,84
1605579609,45,86
1605583286,37,69
1605586823,45,81
1605590419,35,88
1605594018,45,81
1605597590,42,78
1605601214,48,71
1605604792,44,73
1605608393,44,86
1605611991,52,67
1605615614,44,89
1605619211,45,96
1605622811,51,95
1605626411,49,87
1605629980,26,103
1605633587,50,112
1605637176,21,112
1605640800,43,119
1605644390,48,87
1605647986,24,80
1605651558,35,87
1605655156,45,77
1605658882,60,77
1605662357,51,77
1605665953,45,97
1605669584,42,92
1605673171,48,79
1605676786,377,95
1605680385,609,78
1605683998,416,95
1605687615,353,88
1605691229,363,100
1605694841,364,95
1605698470,188,101
1605702079,163,99
1605705682,109,110
1605709255,75,102
1605712859,63,71
1605716465,60,50
