DateTime,AddedIPs,RemovedIPs
1605189754,25,32
1605193273,18,23
1605198677,24,27
1605202275,21,20
1605205886,30,40
1605209475,39,25
1605213091,23,38
1605214878,26,25
1605220268,27,38
1605225751,29,43
1605227470,66,32
1605231070,63,27
1605236471,33,49
1605240144,39,53
1605241890,49,56
1605245500,47,39
1605250870,52,53
1605258068,30,32
1605259887,26,17
1605263505,25,30
1605268875,17,19
1605270678,22,22
1605272575,29,41
1605279687,26,22
1605281468,18,18
1605285084,27,23
1605290481,16,21
1605292269,28,30
1605295870,17,27
1605299501,23,34
1605303090,32,19
1605306673,18,28
1605312094,19,31
1605313894,56,31
1605317467,58,20
1605322930,20,42
1605324674,56,65
1605328268,47,57
1605331883,48,41
1605335486,32,45
1605339069,37,30
1605340870,23,19
1605346273,24,17
1605349871,21,24
1605353471,23,28
1605358866,21,35
1605360691,38,40
1605366073,49,51
1605371502,32,47
1605375099,20,37
1605378672,39,32
1605380609,40,33
1605385890,26,16
1605389474,26,25
1605393089,22,30
1605396677,26,39
1605400271,72,22
1605403871,54,24
1605409265,26,29
1605411077,47,55
1605416564,49,59
1605418280,35,45
1605423707,39,46
1605425469,43,29
1605429092,22,26
1605432670,234,273
1605434475,273,234
1605436267,40,45
1605439883,23,15
1605443478,20,42
1605447073,27,40
1605450668,27,27
1605454294,26,22
1605457875,30,33
1605463300,45,44
1605468684,19,33
1605472280,19,31
1605475892,28,19
1605477690,11,24
1605483066,22,31
1605488477,53,13
1605492077,80,56
1605499274,43,61
1605501081,50,50
1605504670,40,53
1605508266,33,31
1605510080,25,34
1605515470,26,22
1605517282,22,20
1605519093,20,22
1605520884,22,20
1605522680,23,23
1605526276,23,26
1605531735,30,22
1605533466,22,25
1605537174,20,22
1605542473,17,20
1605544274,23,32
1605547890,20,30
1605551487,31,39
1605555065,19,22
1605558673,34,34
1605562272,29,26
1605564111,22,26
1605571264,17,27
1605573074,54,33
1605578475,59,29
1605580265,40,37
1605583869,46,59
1605585764,47,53
1605591065,46,44
1605594691,35,40
1605598286,27,27
1605601885,20,20
1605605468,26,22
1605607370,20,33
1605614476,31,39
1605619900,34,31
1605623473,20,28
1605627149,25,30
1605630678,21,29
1605634275,34,25
1605636073,31,28
1605643289,29,22
1605645072,16,42
1605648675,23,25
1605654074,27,26
1605655871,17,49
1605661268,46,23
1605663072,62,23
1605666681,26,32
1605670271,42,58
1605673874,50,57
1605677482,45,42
1605681069,51,38
1605688274,43,52
1605691871,23,21
1605693688,26,23
1605697281,22,32
1605704465,28,36
1605706297,20,20
1605709882,20,22
1605717087,42,54
1605718875,30,24
1605726069,35,32
1605729672,26,24
1605733271,25,31
1605735088,29,29
1605736879,24,47
1605742271,31,38
1605745867,56,31
1605751271,69,30
1605753072,34,35
1605756680,43,62
1605760272,66,54
1605763874,31,46
1605767480,45,42
1605771106,24,26
1605776469,23,29
1605778270,30,41
1605783751,27,28
1605785466,28,19
1605789087,22,23
1605794489,21,26
1605796277,27,24
1605799872,18,23
1605803489,28,36
1605807074,40,40
1605812473,35,27
1605814277,20,28
1605819676,21,19
1605821521,27,26
1605825066,18,41
1605828665,28,38
1605834067,56,22
1605837711,60,26
1605839465,29,36
1605844885,49,56
1605846673,47,64
1605852096,46,49
1605855674,45,35
1605857467,35,27
1605861090,29,27
1605866476,28,31
1605870066,28,23
1605871876,18,27
1605875470,21,20
1605879066,19,23
1605880888,17,21
1605888092,14,19
1605889901,16,29
1605893472,30,32
1605897070,26,20
1605900667,29,41
1605904291,27,30
1605907875,24,25
1605913273,36,27
1605915101,20,29
1605918686,52,27
1605922268,51,33
1605924154,33,51
1605925889,74,54
1605929487,42,49
1605934949,50,60
1605936679,37,46
1605942076,49,25
1605943899,20,33
1605947474,21,16
1605951073,19,22
1605954663,17,14
1605956491,18,23
1605963667,18,34
1605967276,23,18
1605969090,23,29
1605972685,25,26
1605976275,29,32
1605983499,39,36
1605988874,20,25
1605992479,19,32
1605996099,20,26
1605997869,31,29
1606001488,19,28
1606005074,50,28
1606008692,57,20
1606012270,26,23
1606015913,41,53
1606019474,41,65
1606023099,45,55
1606024868,56,28
1606030267,22,23
1606035670,21,28
1606037472,18,24
1606041068,20,19
1606046468,25,25
1606048285,16,35
1606050068,26,28
1606055466,26,19
1606059069,17,26
1606064476,31,31
1606066279,29,33
1606069868,34,21
1606073481,16,23
1606077083,16,29
1606080672,11,27
1606084270,40,33
1606087883,25,22
1606089734,46,24
1606095080,57,23
1606098677,34,37
1606102323,33,52
1606105893,55,65
1606109483,47,43
1606114868,60,50
1606120284,21,18
1606123877,18,28
1606127478,23,26
1606131074,21,24
1606134704,23,28
1606138294,20,23
1606141876,18,39
1606147301,26,25
1606149096,34,29
1606154465,36,28
1606156265,31,22
1606161688,20,29
1606163484,23,35
1606168874,37,38
1606170698,23,24
1606172527,24,23
1606174303,26,35
1606177870,49,26
1606181475,63,36
1606185074,32,39
1606188672,49,53
1606192272,47,62
1606195874,53,47
1606199489,41,35
1606201279,17,21
1606206666,22,28
1606210283,31,30
1606213877,29,26
1606217475,28,30
1606221071,27,39
1606226507,22,23
1606228272,29,30
1606230144,19,30
1606235478,27,27
1606239070,32,27
1606240871,44,25
1606242685,25,44
1606244469,57,42
1606249868,42,37
1606253468,30,23
1606255349,18,41
1606260665,28,26
1606264276,47,20
1606269705,52,28
1606273266,43,94
1606275073,136,100
1606280471,54,59
1606282282,40,52
1606285871,41,42
1606289484,29,17
1606293089,23,22
1606294877,17,28
1606300265,21,19
1606303867,21,27
1606307469,25,26
1606309265,18,26
1606316475,48,41
1606321868,22,25
1606325470,25,21
1606329103,28,29
1606334492,26,20
1606336283,15,30
1606339882,24,26
1606343472,23,32
1606347075,30,30
1606350673,54,84
1606352473,56,31
1606357873,31,56
1606359684,134,53
1606361466,38,54
1606365068,53,59
1606368692,42,45
1606370515,38,32
1606377701,25,27
1606379467,26,24
1606383065,19,28
1606386679,23,19
1606392208,20,26
1606393867,29,33
1606397488,19,26
1606401073,22,21
1606404665,22,30
1606410068,31,25
1606413705,24,34
1606415468,35,44
1606420887,35,37
1606424476,32,23
1606426266,23,29
1606431671,28,39
1606433470,25,24
1606437071,61,20
1606440673,57,38
1606444264,35,44
1606447886,49,57
1606453284,64,56
1606456881,35,48
1606458669,46,43
1606464067,22,33
1606465869,32,30
1606471270,43,28
1606473079,26,25
1606476669,16,28
1606480272,23,23
1606483878,26,27
1606489311,24,30
1606491074,32,20
1606494683,17,27
1606496483,27,32
1606501865,41,21
1606505482,29,29
1606509085,18,28
1606512679,24,31
1606518070,21,36
1606519866,24,39
1606525288,62,43
1606527085,72,35
1606530676,34,32
1606536151,40,64
1606537872,65,72
1606543269,45,44
1606546904,59,56
1606552268,27,30
1606557704,25,36
1606561331,44,42
1606563074,31,26
1606564865,26,31
1606568497,24,39
1606570278,43,20
