DateTime,AddedIPs,RemovedIPs
1590050119,0,23
1590050420,0,8
1590060919,0,6
1590061220,0,1
1590064221,1,0
1590070221,0,1
1590074421,1,0
1590076820,0,6
1590111020,1,0
1590134422,0,5
1590134722,0,3
1590155720,0,6
1590165021,0,6
1590169522,0,1
1590197120,1,0
1590201921,1,0
1590253519,1,0
1590282321,1,0
1590290419,1,0
1590325221,1,0
1590374119,1,0
1590375921,1,0
1590376521,1,0
1590385521,1,0
1590407423,0,1
1590454221,1,0
1590458719,1,0
1590459319,1,0
1590537317,1,0
1590543921,1,0
1590545419,1,0
1590581421,1,0
1590603622,0,6
1590625519,0,1
1590630919,1,0
1590665422,0,16
1590666022,0,120
1590670222,0,1
1590713719,1,0
1590718522,1,0
1590805821,1,0
1590823219,0,32
1590860421,1,0
1590878118,7,0
1590885922,1,0
1590892820,1,0
1590895221,1,0
1590910219,1,0
1590970520,1,0
1590977118,1,0
1590984920,1,0
1591003225,0,12
1591003823,0,23
1591012220,1,0
1591020922,0,1
1591053624,1,0
1591065016,1,0
1591078817,1,0
1591089319,1,0
1591150519,1,0
1591158916,0,1
1591184116,1,0
1591268118,1,0
1591324517,1,0
1591412117,0,1
1591486517,1,0
1591499116,1,0
1591580417,1,0
1591674916,1,0
1591678516,1,0
1591680916,0,1
1591690518,0,26
1591690817,0,55
1591691117,0,4
1591746016,1,0
1591752318,1,0
1591812317,0,64327
1591918216,1,0
1591923618,1,0
1591927217,1,0
1591930219,1,0
1591944917,0,17
1591945217,0,6
1591961716,1,0
1592011818,1,0
1592013917,1,0
1592025317,0,7
1592096116,1,0
1592179519,1,0
1592202321,0,11
1592202617,1,15
1592209217,1,0
1592304917,1,0
1592341219,0,17
1592351118,1,0
1592363417,1,0
1592375418,1,0
1592410818,0,1
1592461524,1,0
1592468717,1,0
1592554217,1,0
1592558720,0,15
1592564116,0,1
1592697317,1,0
1592712017,1,0
1592731217,0,16
1592739617,1,0
1592756716,1,0
1592784917,1,0
1592787317,3,0
1592821216,1,0
1592872220,1,0
1592873119,1,0
1592879716,1,0
1592957718,0,2
1592960717,1,0
1592974219,1,0
1593013817,1,0
1593051917,1,0
1593069919,1,0
1593087316,0,1
1593132917,1,0
1593140116,1,0
1593172819,0,26
1593204619,4,0
1593218117,1,0
1593222319,1,0
1593225017,1,0
1593246917,1,0
1593306616,1,0
1593309917,1,0
1593402018,1,0
1593426017,0,10
1593426317,0,5
1593484218,1,0
1593489618,1,0
1593506720,0,1
1593533717,0,9
1593552017,3,0
1593596721,1,0
1593604819,1,0
1593618320,1,0
1593648319,1,0
1593653417,1,0
1593673519,1,0
1593699617,0,1
1593704717,1,0
1593711921,0,1
1593722116,1,0
1593749417,1,0
1593829218,1,0
1593833717,1,0
1593903018,1,0
1593936018,1,0
1594003219,1,0
1594015816,1,0
1594058419,0,25
1594086916,1,0
1594102220,1,0
1594124117,0,1
1594173316,1,0
1594201817,1,0
1594202718,1,0
1594222219,1,0
1594247717,0,1
1594288517,1,0
1594290619,1,0
1594353316,1,0
1594364719,1,0
1594418718,1,0
1594435816,1,0
1594529418,1,0
1594552817,1,0
1594606519,1,0
1594610719,1,0
1594629619,0,18
1594695018,1,0
1594703416,1,0
1594710020,1,0
1594789517,1,0
1594807520,1,0
1594813521,1,0
1594889419,1,0
1594900220,1,0
1594902319,0,2
1594902622,0,7
1594952718,1,0
1595034617,1,0
1595034920,1,0
1595053818,1,0
1595056819,1,0
1595121016,1,0
1595123122,1,0
1595172917,0,5
1595173218,0,16
1595199018,1,0
1595205020,3,0
1595320819,0,1
1595382917,1,0
1595385019,1,0
1595488217,1,0
1595507119,1,0
1595588721,1,0
1595673618,1,0
1595729718,1,0
1595765120,1,0
1595767518,1,0
1595802317,1,0
1595844018,1,0
1595871618,0,1
1595901316,1,0
1595901618,1,0
1595936417,1,0
1595975117,1,0
1595987119,1,0
1596022217,1,0
1596022518,1,0
1596093016,1,0
1596100817,1,0
1596164420,1,0
1596174916,1,0
1596185417,1,0
1596255017,1,0
1596334817,1,0
1596439817,1,0
1596469517,0,1
1596537021,1,0
1596584417,0,1
1596620418,1,0
1596738017,0,2
1596789316,1,0
1596946217,1,0
1597049420,1,0
1597107317,1,0
1597137017,1,0
1597192819,1,0
1597224917,1,0
1597303819,1,0
1597317918,1,0
1597334721,0,17
1597335017,0,53
1597390217,1,0
1597421417,1,0
1597455018,1,0
1597496419,1,0
1597543219,1,0
1597556117,1,0
1597562717,1,0
1597649716,1,0
1597750818,1,0
1597833019,1,0
1597845620,1,0
1597917921,1,0
1598003716,2,0
1598011817,1,4
1598012119,0,5
1598062817,1,0
1598081418,1,0
1598104517,0,1
1598145318,1,0
1598157317,1,0
1598264717,1,0
1598351118,1,0
1598352320,1,0
1598439918,1,0
1598440819,1,0
1598529020,1,0
1598595922,1,0
1598615717,1,0
1598672418,1,0
1598730617,1,0
1598730916,1,0
1598738719,0,1
1598773820,1,0
1598774117,0,9
1598774420,0,2
1598777418,1,0
1598924722,7,0
1598927718,1,0
1598932221,1,0
1598933416,5,0
1598964319,1,0
1599060019,1,0
1599067518,0,6
1599101122,0,1
1599102022,1,0
1599134718,0,1
1599139219,1,0
1599142819,0,1
1599174619,0,1
1599188117,1,0
1599225019,1,0
1599225618,0,2
1599279020,1,0
1599366918,1,0
1599449420,1,0
1599488119,1,0
1599530421,1,0
1599547521,1,0
1599564620,1,0
1599575120,1,0
1599652219,1,0
1599709219,1,0
1599733520,1,0
1599798318,1,0
1599823819,1,0
1599842719,1,0
1599886220,1,0
1599905420,0,15
1599963020,3,0
1599963920,1,0
1600061419,0,1
1600080019,1,0
1600084220,1,0
1600137020,0,1
1600149622,1,0
1600165519,1,0
1600178719,1,0
1600209621,0,24
1600320321,1,0
1600403118,1,0
1600421118,1,0
1600524619,1,0
1600657521,1,0
1600680020,1,0
1600684519,1,0
1600738519,1,0
1600748123,1,0
1600763420,0,4
1600763718,0,8
1600773018,1,0
1600776319,1,0
1600806019,0,8
1600860018,1,0
1600860619,1,0
1600869918,1,0
1600872322,1,0
1600872620,1,0
1600947318,1,0
1600955120,1,0
1600962620,0,1
1601012118,1,0
1601042720,1,0
1601067020,26,0
1601173830,1,0
1601177724,7,0
1601209524,1,0
1601219725,1,0
1601275225,1,0
1601292326,1,0
1601296826,1,0
1601346924,1,0
1601372730,1,0
1601420425,1,0
1601432424,1,0
1601459128,1,0
1601534426,1,0
1601551227,1,0
1601556924,1,0
1601635526,1,0
1601638524,1,0
1601649625,0,1
1601718326,1,0
1601737226,1,0
1601774726,1,0
1601778924,0,1
1601816124,1,0
1601877027,1,0
1601889924,1,0
1601947525,1,0
1601969124,1,0
1601982326,2,0
1602051927,1,0
1602068728,1,0
1602140426,1,0
1602148225,1,0
1602177025,0,23
1602224128,1,0
1602238227,1,0
1602243324,1,0
1602303926,1,0
1602317425,1,0
1602391525,1,0
1602467724,1,0
1602476725,1,0
1602489024,1,0
1602522628,1,0
1602546327,0,1
1602547824,0,1
1602548727,1,0
1602552325,1,0
1602552924,2,0
1602558924,1,0
1602563126,1,0
1602590124,0,6
1602657625,1,0
1602735925,1,0
1602764128,1,0
1602822326,1,0
1602846029,1,0
1602912024,1,0
1602972625,1,0
1602978025,1,0
1603037131,1,0
1603140028,0,8
1603151428,4,0
1603159825,1,0
1603251931,1,0
1603284029,1,0
1603296331,1,0
1603428331,1,0
1603464027,1,0
1603515026,1,0
1603563327,0,6
1603620926,1,0
1603642531,1,0
1603690231,0,1
1603728930,1,0
1603772425,1,0
1603805430,1,0
1603826729,0,1
1603841431,0,1
1603870524,1,0
1603938025,1,0
1604028925,1,0
1604079029,1,0
1604079626,1,0
1604082631,1,0
1604083226,2,0
1604083526,2,0
