DateTime,AddedIPs,RemovedIPs
1606838435,27,0
1606838731,23,0
1606839030,23,0
1606839329,22,0
1606839629,20,0
1606839928,12,0
1606840234,26,1
1606840528,20,0
1606840829,18,0
1606841130,21,0
1606841432,16,0
1606841729,19,0
1606842037,31,0
1606842629,42,0
1606843228,51,0
1606843529,19,0
1606843834,27,0
1606844129,19,0
1606844429,13,0
1606845031,41,0
1606845328,21,0
1606845631,17,0
1606845933,28,0
1606846229,16,0
1606846531,27,0
1606846829,16,0
1606847129,23,0
1606847432,23,0
1606847729,20,0
1606848028,31,0
1606848332,19,0
1606848629,23,0
1606848927,24,0
1606849233,22,0
1606849529,19,0
1606849831,31,0
1606850129,20,0
1606850428,31,0
1606850729,17,0
1606851033,23,0
1606851328,24,0
1606851629,19,0
1606851930,24,0
1606852231,26,0
1606852528,26,0
1606852835,22,0
1606853130,25,0
1606853430,23,0
1606853733,30,0
1606854028,27,0
1606854328,29,0
1606854633,25,0
1606854928,25,0
1606855228,18,0
1606855535,25,0
1606855829,24,0
1606856128,28,0
1606856434,20,0
1606856732,22,0
1606857028,28,0
1606857332,17,0
1606857630,19,0
1606857929,30,0
1606858233,24,0
1606858529,25,0
1606858831,33,0
1606859137,20,0
1606859433,21,0
1606859728,22,0
1606860034,19,0
1606860331,27,0
1606860630,21,0
1606860933,26,0
1606861228,35,0
1606861529,24,0
1606861831,19,0
1606862128,23,0
1606862430,30,0
1606862731,22,0
1606863031,23,0
1606863327,24,0
1606863638,26,0
1606863930,14,0
1606864229,17,0
1606864534,20,0
1606864828,22,0
1606865129,28,0
1606865435,29,0
1606865730,28,0
1606866031,24,0
1606866632,47,0
1606866928,28,0
1606867236,13,0
1606867530,18,0
1606867830,30,0
1606868131,28,0
1606868429,25,0
1606868729,22,0
1606869031,28,0
1606869329,19,0
1606869630,23,0
1606869933,22,0
1606870231,26,0
1606870528,28,0
1606870834,14,0
1606871133,18,0
1606871430,25,0
1606871732,22,0
1606872029,27,0
1606872328,24,0
1606872633,24,0
1606872928,21,0
1606873230,23,0
1606873530,27,0
1606873829,27,0
1606874129,29,0
1606874435,30,0
1606875031,42,0
1606875332,28,0
1606875630,24,0
1606876231,50,0
1606876529,25,0
1606876830,20,0
1606877132,35,0
1606877432,20,0
1606877729,22,0
1606878033,25,0
1606878333,21,0
1606878629,19,0
1606879230,51,0
1606879530,28,0
1606879833,19,0
1606880129,24,0
1606880430,28,0
1606880731,23,0
1606881029,24,0
1606881328,25,0
1606881631,28,0
1606881932,13,0
1606882229,30,0
1606882531,21,0
1606882831,25,0
1606883128,18,0
1606883433,22,0
1606883728,20,0
1606884028,30,0
1606884331,15,0
1606884631,26,0
1606884928,17,0
1606885233,17,0
1606885534,21,0
1606885829,25,0
1606886131,27,0
1606886429,20,0
1606886730,23,0
1606887033,21,0
1606887328,19,0
1606887631,19,0
1606888231,46,0
1606888528,18,0
1606888836,22,0
1606889429,46,0
1606889734,19,0
1606890029,22,0
1606890331,19,0
1606890634,28,0
1606890929,15,0
1606891229,29,0
1606891534,25,0
1606891829,19,0
1606892128,28,0
1606892437,26,0
1606892732,25,0
1606893030,14,0
1606893329,25,0
1606893629,27,0
1606893930,23,0
1606894235,23,0
1606894528,19,0
1606894829,18,0
1606895135,14,0
1606895432,22,0
1606895728,38,0
1606896036,23,0
1606896334,24,0
1606896630,23,0
1606896932,20,0
1606897231,21,0
1606897529,22,0
1606897830,23,0
1606898128,22,0
1606898429,26,0
1606898734,33,0
1606899029,25,0
1606899330,23,0
1606899635,28,0
1606899930,19,0
1606900229,33,0
1606900531,24,0
1606900830,29,0
1606901129,19,0
1606901434,18,0
1606901729,25,0
1606902030,18,0
1606902332,21,0
1606902633,19,0
1606902929,22,0
1606903235,29,0
1606903532,23,0
1606903830,22,0
1606904134,19,0
1606904431,17,0
1606904729,19,0
1606905034,26,0
1606905328,25,0
1606905628,23,0
1606905936,22,0
1606906231,19,0
1606906528,9,0
1606906837,22,0
1606907429,42,0
1606907731,21,0
1606908029,18,0
1606908330,17,0
1606908634,25,0
1606908928,18,0
1606909231,19,0
1606909531,28,0
1606909832,30,0
1606910130,27,0
1606910433,31,0
1606910731,18,0
1606911029,8,0
1606911329,25,0
1606911629,22,0
1606911930,38,0
1606912231,19,0
1606912529,24,0
1606912829,34,0
1606913132,26,0
1606913433,19,0
1606913729,20,0
1606914034,27,0
1606914331,19,0
1606914628,27,0
1606914932,24,0
1606915229,29,0
1606915529,20,0
1606915835,21,0
1606916128,16,0
1606916429,15,0
1606916735,27,0
1606917033,23,0
1606917328,35,0
1606917633,31,0
1606917932,22,0
1606918229,28,0
1606918530,22,0
1606918830,25,0
1606919130,27,0
1606919431,20,0
1606919728,22,0
1606920028,16,0
1606920334,29,0
1606920632,19,0
1606920928,23,0
1606921235,24,0
1606921829,45,0
1606922131,21,0
1606922428,22,0
1606922728,29,0
1606923033,29,0
1606923327,22,0
1606923630,20,0
1606923934,23,0
1606924233,26,0
1606924527,21,0
1606924836,20,0
1606925133,19,0
1606925430,19,0
1606925730,28,0
1606926029,30,0
1606926329,22,0
1606926634,32,0
1606926929,15,0
1606927229,27,0
1606927535,27,0
1606927832,27,0
1606928129,22,0
1606928435,23,0
1606929030,49,0
1606929333,25,0
1606929631,15,0
1606929928,24,0
1606930232,22,0
1606930528,22,0
1606930829,25,0
1606931135,18,0
1606931430,30,0
1606931728,29,0
1606932034,19,0
1606932630,60,0
1606932932,29,0
1606933230,20,0
1606933529,12,0
1606933832,30,0
1606934129,30,0
1606934430,22,0
1606934733,27,0
1606935031,29,0
1606935328,30,0
1606935634,19,1
1606935929,21,0
1606936229,17,0
1606936532,16,0
1606936828,21,0
1606937130,20,0
1606937431,19,0
1606937728,15,0
1606938029,12,0
1606938333,20,0
1606938631,15,0
1606938929,17,0
1606939230,22,0
1606939533,19,0
1606939829,21,0
1606940134,12,0
1606940429,17,0
1606940729,18,0
1606941036,22,0
1606941329,18,0
1606941630,11,0
1606941934,14,0
1606942230,15,0
1606942529,8,0
1606942835,11,0
1606943131,14,0
1606943430,15,0
1606944029,41,0
1606944328,17,0
1606944634,19,0
1606944928,14,0
1606945230,22,0
1606945534,18,0
1606945832,22,0
1606946127,14,0
1606946435,6,0
1606946731,17,0
1606947029,7,0
1606947333,15,0
1606947629,17,0
1606947929,22,0
1606948234,16,0
1606948529,13,0
1606948831,18,0
1606949134,22,0
1606949432,16,0
1606949728,15,0
1606950038,13,0
1606950331,15,0
1606950630,21,0
1606950930,15,0
1606951230,13,0
1606951529,17,0
1606951833,15,0
1606952129,15,0
1606952430,14,0
1606952735,16,0
1606953030,15,0
1606953329,17,0
1606953636,13,0
1606953935,22,0
1606954232,19,0
1606954532,27,0
1606954829,21,0
1606955129,22,0
1606955431,19,0
1606955729,12,0
1606956029,15,0
1606956630,31,0
1606956928,16,0
1606957235,26,0
1606957830,33,0
1606958133,17,0
1606958431,18,0
1606958730,20,0
1606959032,15,0
1606959328,13,0
1606959629,16,0
1606959932,18,0
1606960232,12,0
1606960528,18,0
1606960834,17,0
1606961133,17,0
1606961430,15,0
1606961731,16,0
1606962031,10,0
1606962630,25,0
1606962929,13,0
1606963229,18,0
1606963535,17,0
1606964127,22,0
1606964433,17,0
1606964732,15,0
1606965028,22,0
1606965330,18,0
1606965629,17,0
1606965929,13,0
1606966232,12,0
1606966529,17,0
1606966829,20,0
1606967134,18,0
1606967432,15,0
1606967729,18,0
1606968033,12,0
1606968333,18,0
1606968630,13,0
1606968934,18,0
1606969230,18,0
1606969529,13,0
1606969833,13,0
1606970128,20,0
1606970428,22,0
1606970732,17,0
1606971034,20,0
1606971329,17,0
1606971633,10,0
1606971934,19,0
1606972230,13,0
1606972534,24,0
1606972830,18,0
1606973130,12,0
1606973436,15,0
1606973730,14,0
1606974029,19,0
1606974334,19,0
1606974629,18,0
1606974928,17,0
1606975233,15,0
1606975829,40,0
1606976131,11,0
1606976429,11,0
1606976731,21,0
1606977031,20,0
1606977329,15,0
1606977629,23,0
1606977933,18,0
1606978231,13,0
1606978528,8,0
1606978834,16,0
1606979130,15,0
1606979428,19,0
1606979731,23,0
1606980029,19,0
1606980329,18,0
1606980634,21,0
1606980928,15,0
1606981230,15,0
1606981533,14,0
1606981829,16,0
1606982128,18,0
1606982431,23,0
1606982732,16,0
1606983029,14,0
1606983331,16,0
1606983929,38,0
1606984233,19,0
1606984529,14,0
1606984829,10,0
1606985133,17,0
1606985434,21,0
1606985728,16,0
1606986033,17,0
1606986331,13,0
1606986629,24,0
1606986928,22,0
1606987231,8,0
1606987529,21,0
1606987837,19,0
1606988128,20,0
1606988429,16,0
1606988733,23,0
1606989031,20,0
1606989329,12,0
1606989635,14,0
1606989931,17,0
1606990229,14,0
1606990532,25,0
1606990831,20,0
1606991129,19,0
1606991435,15,0
1606992030,33,0
1606992333,20,0
1606992631,22,0
1606992928,19,0
1606993235,25,0
1606993830,33,0
1606994133,12,0
1606994429,13,0
1606994729,20,0
