DateTime,AddedIPs,RemovedIPs
1599942603,256,0
1599971484,256,0
1600002944,0,1536
1600006544,0,256
1600007186,1024,0
1600024533,256,0
1600026333,0,256
1600034436,256,0
1600090787,256,0
1600092929,0,768
1600104635,256,0
1600108240,256,0
1600113638,0,256
1600120843,0,256
1600124443,0,256
1600126244,256,0
1600173034,1024,0
1600176603,0,1024
1600199138,0,256
1600211745,0,256
1600259450,0,512
1600270867,0,256
1600273803,1024,256
1600279235,256,0
1600290038,256,0
1600302605,256,0
1600345803,1024,0
1600360203,0,512
1600365638,0,256
1600371003,256,0
1600377340,0,256
1600432204,0,512
1600434048,0,256
1600437649,0,256
1600439403,512,0
1600445734,0,256
1600453839,256,0
1600457439,0,256
1600468371,256,0
1600470046,0,256
1600473019,256,0
1600525984,768,256
1600529434,0,256
1600531235,256,0
1600542940,0,512
1600543841,0,256
1600559385,0,256
1600609135,256,0
1600612203,0,256
1600639247,256,0
1600640146,0,256
1600640843,256,0
1600692124,1024,0
1600693233,256,0
1600695034,256,512
1600704038,0,256
1600725649,0,256
1600778756,0,768
1600779656,0,256
1600781402,0,256
1600785514,1024,0
1600786835,512,0
1600794038,256,0
1600860888,768,0
1600871441,0,768
1600876846,0,256
1600887652,256,0
1600946109,0,1024
1600949763,0,256
1600956064,0,256
1600966864,0,256
1600967763,0,256
1600979403,1024,0
1600981240,256,0
1600984842,256,0
1600986642,0,256
1600993847,0,256
1601044231,768,0
1601066377,0,1024
1601069016,256,0
1601073044,0,256
1601080246,256,0
1601129748,0,768
1601134555,1280,0
1601136037,256,0
1601143235,0,256
1601156344,0,256
1601166424,256,0
1601213089,768,0
1601220434,256,512
1601247638,0,256
1601249177,256,0
1601296045,768,0
1601299611,0,1280
1601300726,0,256
1601318323,256,0
1601382111,0,512
1601386028,512,0
1601388928,0,256
1601392530,256,0
1601396548,0,256
1601403334,0,256
1601405134,0,256
1601436237,0,256
1601472662,1024,512
1601487121,256,0
1601492435,256,0
1601512585,256,0
1601559003,0,1024
1601566354,1024,0
1601568929,0,256
1601573648,256,256
1601587837,0,256
1601598644,768,256
1601609021,256,0
1601649004,768,0
1601650830,256,0
1601651728,256,0
1601652630,0,256
1601661635,0,256
1601668839,256,0
1601672436,0,256
1601685503,0,512
1601735444,0,1792
1601739088,1024,0
1601743528,0,256
1601744429,256,0
1601746513,0,256
1601750155,256,0
1601753718,256,0
1601763334,0,256
1601814692,768,0
1601824530,0,1024
1601827232,256,0
1601830832,0,256
1601836371,0,256
1601838035,256,0
1601839419,0,256
1601900577,0,512
1601907684,256,0
1601913629,256,0
1601922168,256,0
1601924433,256,256
1601925757,256,0
1601932866,0,256
1601994353,0,768
1601998203,768,0
1602000027,0,256
1602001383,256,0
1602010830,0,256
1602014432,256,0
1602022534,0,256
1602079225,256,0
1602082826,256,0
1602084626,0,256
1602090028,0,256
1602091163,0,256
1602095727,256,0
1602100834,0,256
1602102258,256,0
1602109632,256,0
1602118839,512,0
1602159811,512,0
1602162027,256,0
1602163868,0,512
1602182227,0,256
1602183634,256,0
1602192638,256,0
1602195984,0,256
1602199339,256,256
1602203444,256,0
1602245743,0,768
1602254014,1024,256
1602263731,0,256
1602272396,256,0
1602273638,0,256
1602288942,0,256
1602289843,512,0
1602303343,0,256
1602340226,512,1280
1602349228,256,0
1602356430,256,0
1602376228,0,256
1602426376,768,768
1602437772,256,0
1602442829,0,256
1602459003,0,256
1602512138,0,1280
1602513338,512,0
1602518427,256,0
1602522029,0,256
1602534631,256,0
1602538791,256,0
1602599750,1280,768
1602610645,256,0
1602621582,256,0
1602623731,0,256
1602634537,0,256
1602640837,256,0
1602682469,1024,0
1602693498,0,256
1602697503,0,256
1602702031,256,0
1602708331,0,256
1602716436,256,0
1602723636,0,256
1602729112,0,256
1602768914,0,1280
1602772477,1024,0
1602781226,256,0
1602786630,256,0
1602788429,0,256
1602793830,512,0
1602797832,0,256
1602848371,512,0
1602849629,256,0
1602859057,0,1024
1602864031,256,0
1602867633,256,0
1602870302,0,256
1602871239,256,0
1602880238,256,256
1602905447,0,256
1602933348,0,512
1602941448,0,256
1602942234,512,0
1602948776,256,256
1602950432,0,256
1602958533,0,256
1602959434,256,0
1602964836,0,256
1602965735,0,256
1603028702,0,768
1603037741,0,256
1603042871,1280,0
1603047628,0,256
1603049428,256,0
1603051230,256,0
1603078770,0,256
1603111377,512,0
1603116026,256,0
1603129399,0,1024
1603139435,0,256
1603197940,0,1024
1603201503,0,256
1603204814,1280,0
1603224932,0,256
1603226101,256,0
1603291353,0,1024
1603292438,0,256
1603294766,768,0
1603300526,256,0
1603308629,256,0
1603309611,256,0
1603374195,768,0
1603380629,0,768
1603386032,0,256
1603395036,0,512
1603457180,768,0
1603460703,0,256
1603477840,256,0
1603484141,0,256
1603495847,256,0
1603543503,0,1024
1603550319,512,0
1603563335,0,256
1603571438,256,0
1603578641,0,256
1603583299,256,0
1603629571,1280,0
1603636230,256,512
1603652436,256,0
1603662470,256,0
1603666155,256,0
1603672246,512,0
1603715805,0,1536
1603717247,0,256
1603736147,0,256
1603738848,0,256
1603748732,1536,256
1603755793,0,256
1603758634,0,768
1603798455,1024,0
1603805731,256,0
1603816286,256,0
1603828830,256,0
1603835132,0,768
1603837994,0,256
1603843243,0,256
1603846835,256,0
1603883736,0,768
1603888490,0,256
1603892467,1024,0
1603897227,0,256
1603917389,0,256
1603933239,0,256
1603978239,0,768
1603983640,0,256
1603986108,1536,0
1604010632,0,256
1604014233,0,256
1604065232,512,0
1604070026,256,0
1604072622,0,512
1604079028,0,256
1604080831,256,0
1604093434,256,0
1604097034,256,0
1604101970,0,256
1604148143,1280,0
1604151823,0,1024
1604152828,256,0
1604187037,0,256
1604233840,0,1024
1604239239,0,256
1604243739,0,512
1604250040,0,256
1604252719,1024,0
1604262629,256,0
1604272531,0,256
1604321016,1024,0
1604329226,256,0
1604332827,256,0
1604339221,0,768
1604357348,256,0
1604407416,0,1024
1604410240,0,256
1604414808,1280,0
1604415625,0,256
1604417426,256,0
1604421027,0,256
1604436483,0,256
1604445334,0,256
1604447625,256,0
1604449837,256,0
1604500226,0,512
1604502926,0,256
1604527237,0,256
1604583780,768,512
1604587594,256,0
1604598403,256,0
1604615438,256,0
1604637045,0,256
1604670623,256,256
1604672130,0,512
1604677803,256,0
1604680234,256,0
1604691041,256,0
1604755851,0,1024
1604757096,512,0
1604777447,0,256
1604842258,0,512
1604844957,0,512
1604861344,1024,0
1604863836,0,256
1604871039,256,0
1604947874,0,512
1604962803,0,256
1604966144,256,0
1604968246,512,0
1605019103,0,256
1605022894,768,0
1605034832,256,0
1605052492,0,256
1605053740,0,256
1605069041,0,256
1605102000,768,0
1605109281,0,768
1605112725,0,256
1605137440,256,0
1605186944,0,256
1605188703,0,256
1605191906,512,0
1605198631,256,0
1605214836,256,0
1605241866,0,256
1605276942,0,768
1605278300,1280,0
1605286830,256,0
1605319242,256,0
1605361304,256,0
1605364752,0,256
1605365128,0,256
1605371431,0,256
1605373232,0,256
1605393038,0,256
1605396639,0,256
1605447788,0,768
1605451063,1024,256
1605459631,256,0
1605461430,256,0
1605483039,512,0
1605537031,0,512
1605547833,0,256
1605569443,0,256
1605574333,256,0
1605616250,0,256
1605619846,0,256
1605624148,1024,0
1605657336,0,256
1605707192,512,0
1605710703,0,512
1605711631,256,0
1605723335,0,256
1605743143,0,256
1605793537,0,768
1605797022,256,0
1605811658,256,0
1605815495,0,256
1605819095,256,0
1605880049,512,0
1605883439,0,256
1605886229,0,256
1605894599,256,0
1605897033,0,256
1605898139,0,256
1605904236,0,256
1605966363,1536,256
1605980966,512,0
1605981634,0,256
1605988162,256,0
1605994238,256,0
1606005046,1536,0
1606051845,0,1024
1606058145,0,256
1606059798,512,0
1606067268,0,512
1606072533,0,256
1606082067,256,0
1606087841,0,256
1606089604,0,256
1606091444,512,512
1606142703,1280,0
1606145431,0,1024
1606149031,256,256
1606157421,256,0
1606170639,256,0
1606174240,0,256
1606176963,0,512
1606195844,0,256
1606221903,1280,0
1606224629,256,0
1606229104,0,1024
1606242637,0,256
1606307449,0,1024
1606309249,0,256
1606311047,0,256
1606312441,1024,0
1606322703,0,256
1606324536,256,0
1606326952,256,0
1606347045,0,256
1606398629,0,768
1606402000,1024,0
1606402829,256,0
1606404631,0,256
1606406433,0,256
1606416114,0,256
1606422640,0,256
1606429842,0,256
1606485316,1536,0
1606488239,0,256
1606490132,0,256
1606492804,256,0
1606494633,0,256
1606507273,256,0
1606521765,256,256
1606571699,0,1792
1606578839,1024,0
