DateTime,AddedIPs,RemovedIPs
1606182302,169,1849
1606187117,42,76
1606187869,31,32
1606189732,28,9
1606190886,269,67
1606191672,17,10
1606193801,20,13
1606195835,22,0
1606196977,137,16
1606197988,119,23
1606200104,10,0
1606202046,19,16
1606204116,14,38
1606206254,353,0
1606208197,27,22
1606210372,14,19
1606211102,530,0
1606212314,17,12
1606214188,12,12
1606216111,10,0
1606218072,16,12
1606218303,302,0
1606219976,7,11
1606220652,500,500
1606221933,15,19
1606222330,453,465
1606223794,15,11
1606225734,14,11
1606227666,308,10
1606231486,13,26
1606232702,332,0
1606234362,9,11
1606236361,14,9
1606238180,19,9
1606240106,23,11
1606242062,299,11
1606243976,21,14
1606245885,36,25
1606247808,195,14
1606249708,18,15
1606251640,382,23
1606253576,12,24
1606255480,15,21
1606257405,20,15
1606259321,178,21
1606262420,193,84
1606263169,15,29
1606265063,11,18
1606266002,271,2669
1606266994,20,18
1606268929,26,18
1606270829,18,0
1606271767,41,0
1606272747,21,0
1606273203,490,0
1606274698,21,27
1606275606,33,0
1606276603,19,22
1606278512,18,14
1606280463,14,20
1606281603,123,0
1606282358,12,16
1606284278,20,0
1606286194,439,24
1606288109,19,9
1606290071,11,23
1606291994,198,12
1606293870,17,23
1606295785,429,28
1606297724,19,8
1606299636,15,12
1606301555,15,9
1606303496,182,7
1606305397,9,12
1606306502,346,0
1606307301,6,7
1606309254,10,13
1606310102,166,0
1606311155,9,13
1606311849,499,499
1606313065,10,12
1606313702,132,0
1606314294,369,432
1606315026,8,16
1606316908,10,0
1606318839,6,7
1606320751,14,0
1606320902,306,0
1606322676,12,5
1606325574,8,29
1606327489,14,19
1606328102,243,0
1606329429,8,23
1606331339,14,21
1606333256,9,24
1606335130,6,27
1606337067,180,10
1606339004,10,26
1606340910,9,13
1606344301,310,0
1606344767,19,32
1606347130,42,0
1606347632,10,18
1606347903,121,0
1606349602,16,12
1606351510,16,7
1606353402,140,2958
1606355328,17,0
1606356246,40,42
1606358218,23,40
1606358702,256,0
1606360111,21,17
1606362039,19,17
1606363989,46,82
1606365862,21,19
1606365902,203,0
1606367792,19,15
1606369756,19,9
1606370167,13,21
1606372611,20,35
1606373102,265,0
1606376424,11,17
1606378363,23,14
1606380266,34,18
1606380302,306,0
1606382192,17,34
1606384141,17,21
1606386027,16,0
1606387931,349,18
1606389901,14,21
1606392761,12,10
1606394664,11,8
1606394702,293,0
1606396581,15,9
1606398551,17,8
1606400430,18,12
1606402358,237,6
1606404292,20,11
1606404738,500,499
1606405703,336,320
1606408145,19,18
1606409102,285,0
1606410051,14,8
1606411966,21,0
1606413884,17,6
1606415796,16,9
1606417746,173,20
1606419625,15,0
1606421545,11,16
1606421703,198,0
1606423532,16,15
1606425399,74,0
1606428271,16,18
1606430187,8,0
1606430702,164,0
1606432161,15,19
1606434042,12,8
1606435448,47,85
1606435942,14,0
1606437894,20,13
1606437903,217,3253
1606439781,12,12
1606441702,9,20
1606444586,61,102
1606445102,617,0
1606446570,29,35
1606448437,65,0
1606450345,13,18
1606452313,19,39
1606454182,1073,0
1606454647,12,0
1606456108,25,15
1606458041,28,17
1606459959,101,27
1606461864,28,0
1606463863,25,10
1606465722,226,26
1606468581,27,28
1606470500,23,19
1606472473,130,40
1606474360,16,14
1606476261,369,0
1606478205,16,10
1606480089,16,6
1606482983,184,23
1606484908,20,0
1606487791,235,29
1606489754,17,13
1606491648,8,15
1606491902,340,0
1606493617,13,0
1606495491,9,16
1606495933,500,499
1606496482,348,357
1606497391,12,13
1606499102,1208,0
1606500286,13,33
1606502203,11,11
1606504156,141,16
1606505402,85,0
1606507017,19,13
1606508913,19,12
1606510851,70,14
1606512755,93,13
1606514716,222,14
1606516601,9,5
1606518003,126,0
1606518538,17,0
1606519931,43,0
1606520454,4,23
1606521602,96,2990
1606522390,12,16
1606524267,9,0
1606526211,12,43
1606528099,13,0
1606529047,41,0
1606531018,256,23
1606532913,19,0
1606534852,14,41
1606536002,198,0
1606536741,62,74
1606538681,26,7
1606540607,13,40
1606542513,19,20
1606542965,6,19
1606543202,197,0
1606545376,19,25
1606547306,29,23
1606549247,15,25
1606550403,248,0
1606551139,22,31
1606553066,19,23
1606555005,14,28
1606556931,20,23
1606557603,257,0
1606558824,21,0
1606560790,27,42
1606562712,16,13
1606564582,15,0
1606564802,308,0
1606566513,17,29
1606568460,21,0
1606570346,11,21
1606572271,16,19
1606574206,244,13
1606576108,12,0
1606578031,5,13
1606579202,237,0
1606580898,10,16
1606583798,17,15
1606585759,12,0
1606586888,813,498
1606587373,439,353
1606587641,23,10
1606589545,13,11
1606591498,16,22
1606593603,251,0
1606594364,16,15
1606596303,10,21
1606598203,15,19
1606600101,10,5
1606600802,226,0
1606602036,11,19
1606603987,14,9
1606605867,137,10
1606607823,24,5
1606608248,45,89
1606609704,14,12
1606611664,108,9
1606613581,14,11
1606614302,184,5361
1606616419,22,15
1606617366,44,84
1606618345,25,9
1606620293,14,17
1606621208,44,0
1606622207,102,5
1606624127,18,21
1606626087,217,21
1606627448,5,0
1606628919,20,29
1606629603,65,0
1606630818,24,0
1606632737,15,20
1606634688,19,30
1606636630,21,12
1606636802,173,0
1606638514,18,16
1606640465,21,18
1606642364,164,13
1606644272,14,17
1606646201,15,22
1606647602,216,0
1606651979,12,50
1606653873,13,17
1606654803,204,0
1606655770,7,21
1606658687,99,24
1606661556,18,14
1606664466,9,19
1606666351,177,0
1606668252,15,12
1606670236,11,15
1606672181,262,9
1606674135,131,13
1606674602,143,0
1606676312,19,12
1606678401,850,949
1606683416,63,24
1606685315,9,16
1606685402,165,0
1606687233,14,11
1606690200,15,9
1606692034,8,9
1606692967,174,0
1606693943,14,22
1606696142,68,32
1606698061,56,2978
1606699941,108,11
1606701880,73,13
1606702185,37,0
1606703791,13,20
1606705727,11,24
1606705926,43,43
1606706102,183,0
1606707625,15,12
1606709781,107,18
1606711728,13,19
1606713638,53,15
1606715533,14,15
1606716006,3,8
1606717632,14,25
1606720576,215,15
1606722525,126,19
1606724453,19,25
1606726350,24,20
1606728284,185,21
1606731178,13,28
1606731303,214,0
1606734995,22,14
1606736925,13,0
1606738502,337,0
1606740737,14,23
1606742710,16,7
1606744594,15,0
1606746517,296,14
1606747502,172,0
1606750362,19,20
1606752272,8,6
1606754210,17,6
1606754702,288,0
1606756105,10,17
1606759964,15,28
1606761865,10,17
1606763780,260,19
1606766013,124,10
1606767868,17,0
1606769290,824,760
1606769790,19,0
1606770903,266,0
1606773644,11,25
1606775541,76,0
1606777495,17,15
1606777685,44,45
1606779387,5,9
1606781306,177,14
1606781702,104,2742
1606783254,10,13
1606785157,19,19
1606787074,19,18
1606789019,11,12
1606789802,289,0
1606790404,44,84
1606790904,21,4
1606792827,19,21
1606794252,167,86
1606794842,19,10
1606796686,22,9
1606798582,34,13
1606799702,233,0
1606800533,22,17
1606800724,2,0
1606802482,23,13
1606804340,19,15
1606806293,18,0
1606808176,230,10
1606810104,26,16
1606811402,284,0
1606812051,29,15
1606813957,17,18
1606815859,11,13
1606818740,16,16
1606820749,360,0
1606821303,143,0
1606822576,9,16
1606824747,12,14
1606826727,13,0
1606828596,12,10
1606830763,171,14
1606832689,13,16
1606834614,234,18
1606835702,195,0
1606837484,5,15
1606839415,169,11
1606842741,7,23
1606842902,144,0
1606845669,20,0
1606846502,224,0
1606847561,15,10
1606848488,861,0
1606849481,8,6
1606851382,17,11
1606853342,16,12
1606856233,153,32
1606858114,16,0
1606860991,140,11
1606861802,218,0
1606862912,22,6
1606864852,19,16
1606865402,86,0
1606866245,40,86
1606866757,12,3
1606868677,15,15
1606869002,88,3524
1606870632,14,14
1606872510,15,16
1606875396,212,12
1606877339,114,32
1606879206,46,0
1606880215,45,23
1606882355,894,808
1606884047,34,37
1606885446,95,5
1606885969,17,23
1606887906,50,18
1606889805,146,26
1606894580,26,59
1606895103,238,0
1606896526,27,26
1606898467,14,25
1606898701,139,0
1606902263,23,25
1606904207,140,0
1606906108,197,9
1606908983,12,19
1606910904,106,0
1606912202,194,0
1606913793,20,22
1606915773,13,11
1606915802,114,0
1606917624,24,22
1606919541,53,11
1606920303,178,0
1606923408,12,10
1606923901,125,0
1606926269,8,20
1606927502,123,0
1606929172,9,7
1606931065,15,0
1606933015,114,20
1606933802,147,0
1606934910,13,11
1606936847,24,11
1606937402,113,0
1606938788,15,14
1606941662,46,14
1606944504,22,15
1606945502,253,0
1606946467,19,15
1606948377,10,18
1606950270,14,15
1606950964,44,0
1606952192,13,19
1606952702,189,0
1606954132,7,10
1606956054,15,18
1606956302,88,3488
1606958910,10,12
1606960841,26,14
1606962767,15,14
1606963690,42,88
1606966645,220,32
1606967525,42,88
1606968502,20,0
1606970440,18,0
1606972367,205,9
1606973291,839,1702
1606974280,36,27
1606975452,957,0
1606976185,17,17
1606978128,13,26
1606980073,22,0
1606980602,203,0
1606981940,10,21
1606983939,13,27
1606984202,163,0
1606985782,17,12
1606987742,15,0
1606989642,15,21
1606991540,17,26
