DateTime,AddedIPs,RemovedIPs
1606504923,1,0
1606506123,1,0
1606506723,0,1
1606507323,1,0
1606508524,2,0
1606509723,3,1
1606510923,2,0
1606512123,1,0
1606512724,2,0
1606513323,2,0
1606514523,5,0
1606515723,1,0
1606516382,3,0
1606516923,2,0
1606518123,2,0
1606519323,5,0
1606519924,3,2
1606520524,5,0
1606521123,1,0
1606522323,5,0
1606522924,4,0
1606524123,1,0
1606524723,1,0
1606525323,3,0
1606526524,3,0
1606528923,7,0
1606530124,4,0
1606531323,10,0
1606533723,3,0
1606534923,8,0
1606536123,0,1
1606537323,3,0
1606538523,3,0
1606539723,3,0
1606540923,3,1
1606541523,1,0
1606542124,2,0
1606543323,4,3
1606544523,1,0
1606545723,2,1
1606546923,1,0
1606547524,3,0
1606548124,1,0
1606549323,2,0
1606550523,1,1
1606551723,2,0
1606552923,2,0
1606553524,1,0
1606554124,3,0
1606554724,1,0
1606555323,5,0
1606556523,1,0
1606557123,2,0
1606557723,0,1
1606557783,1,0
1606558923,1,0
1606559523,0,1
1606560124,1,0
1606561923,2,0
1606563723,6,0
1606564923,1,0
1606565523,2,0
1606566123,7,0
1606567323,1,0
1606567923,7,0
1606568523,1,1
1606569723,4,0
1606570324,4,0
1606570923,3,0
1606572123,6,0
1606573324,3,0
1606573981,3,0
1606574523,5,0
1606575723,1,1
1606576923,0,2
1606577524,2,0
1606578123,1,1
1606579323,6,0
1606579923,14,0
1606580524,5,0
1606581124,3,0
1606581723,5,0
1606582923,1,0
1606584123,4,0
1606585323,8,0
1606586523,1,0
1606587724,2,0
1606588924,2,0
1606590724,2,0
1606591323,3,1
1606592523,1,0
1606593724,2,0
1606594924,2,0
1606596123,5,0
1606597323,3,0
1606597923,2,0
1606598524,4,1
1606599723,3,0
1606600924,1,0
1606601523,8,0
1606602124,4,0
1606603323,2,0
1606604524,5,1
1606605123,2,0
1606605723,2,0
1606606323,5,1
1606606923,5,0
1606609323,2,0
1606609981,1,0
1606610523,21,0
1606611724,2,0
1606612923,1,0
1606614123,5,0
1606614723,6,0
1606615323,2,0
1606615923,2,0
1606616523,1,0
1606617182,2,0
1606617723,2,0
1606618923,1,0
1606619523,6,0
1606620123,3,0
1606621323,2,0
1606622524,4,0
1606623723,7,0
1606624923,3,0
1606625523,2,0
1606626123,3,0
1606626723,2,0
1606627981,2,0
1606628523,5,0
1606629724,2,0
1606630923,5,0
1606631581,0,1
1606632123,4,0
1606633323,1,0
1606634523,8,0
1606635723,1,0
1606636923,3,0
1606638124,5,0
1606638781,2,2
1606639923,5,0
1606640523,4,0
1606641723,2,0
1606642923,1,0
1606644123,1,0
1606645323,5,0
1606647724,7,0
1606648323,1,0
1606648923,4,0
1606649581,4,0
1606650123,3,0
1606651323,5,0
1606652523,5,0
1606653723,1,0
1606654324,3,0
1606656123,1,0
1606656723,4,0
1606658523,2,0
1606659723,3,0
1606660382,1,1
1606660923,3,0
1606662123,1,0
1606662724,3,0
1606663923,2,0
1606665723,2,0
1606666923,14,1
1606667524,6,0
1606667581,1,0
1606669923,3,0
1606670523,1,0
1606671123,2,0
1606671723,2,0
1606672323,2,0
1606674123,6,0
1606674781,1,0
1606675323,10,0
1606676523,7,0
1606677124,2,0
1606677723,3,0
1606678924,5,0
1606679523,3,2
1606680123,0,1
1606680723,7,1
1606681981,0,1
1606683123,1,0
1606684323,7,0
1606686123,8,0
1606687323,7,0
1606688523,4,0
1606689124,2,0
1606689181,1,0
1606689723,1,0
1606690324,2,3
1606690923,1,0
1606692123,1,0
1606693323,2,0
1606694523,2,0
1606695123,1,0
1606695723,2,0
1606696381,1,0
1606696923,5,0
1606698123,5,0
1606700523,4,1
1606701723,4,0
1606702323,1,0
1606702923,2,0
1606703581,1,1
1606704123,2,1
1606704723,1,0
1606705323,1,0
1606706523,2,0
1606707181,0,1
1606707723,2,1
1606708923,1,0
1606709524,1,0
1606710123,1,1
1606711323,0,1
1606712523,4,0
1606713723,1,0
1606714923,2,1
1606716723,2,1
1606717323,1,0
1606717981,3,0
1606718523,0,1
1606719123,1,0
1606719724,4,0
1606720923,3,0
1606723323,5,0
1606724523,3,0
1606725723,4,0
1606726323,3,0
1606726923,3,0
1606728123,4,0
1606729323,4,0
1606729923,4,0
1606730523,1,0
1606731723,1,0
1606732324,1,0
1606732923,3,0
1606734123,3,0
1606735323,1,0
1606737123,6,3
1606738323,1,0
1606738923,2,3
1606739524,1,0
1606739581,2,0
1606740723,1,0
1606741323,0,1
1606742523,2,1
1606743124,1,0
1606744323,1,0
1606744923,2,0
1606746123,1,0
1606747324,1,2
1606748523,1,2
1606749723,4,0
1606751523,2,5
1606752723,2,0
1606753323,22,0
1606754523,2,5
1606755723,1,2
1606756323,1,0
1606756923,4,0
1606758123,0,1
1606758723,0,2
1606759323,1,0
1606760523,3,0
1606761123,4,0
1606761723,8,0
1606762323,1,2
1606762923,2,0
1606763523,1,4
1606764123,2,0
1606765323,2,0
1606766523,0,1
1606768923,2,2
1606770124,8,0
1606771323,6,1
1606771923,2,4
1606772523,1,0
1606773123,0,1
1606774323,1,7
1606774924,4,2
1606776123,0,2
1606777323,1,0
1606778523,1,0
1606779182,0,1
1606780324,2,3
1606780924,5,0
1606782123,1,2
1606783323,1,0
1606783923,1,0
1606784523,0,1
1606785723,4,0
1606786923,3,3
1606788123,2,2
1606789323,10,0
1606791123,1,0
1606791723,1,0
1606792923,2,4
1606794123,3,1
1606795323,5,0
1606797723,3,3
1606798923,1,0
1606800123,1,1
1606801323,2,1
1606802523,2,2
1606803723,6,3
1606804923,1,6
1606806123,1,1
1606807323,2,0
1606808523,1,2
1606809724,2,7
1606810923,1,1
1606812123,0,2
1606813323,3,2
1606814523,2,0
1606815723,4,0
1606816923,1,0
1606818123,3,5
1606819323,0,1
1606819923,2,0
1606821723,3,0
1606822323,0,5
1606822382,1,0
1606824123,4,0
1606824723,1,0
1606825981,3,0
1606826523,0,5
1606827723,3,0
1606828923,0,2
1606830123,2,1
1606830723,3,2
1606831923,3,1
1606832523,2,6
1606833124,0,1
1606833181,1,0
1606833723,1,0
1606834923,2,1
1606836123,2,4
1606836781,1,0
1606837323,1,1
1606838523,6,4
1606839724,2,0
1606840923,2,0
1606841523,0,6
1606842123,1,1
1606842723,4,0
1606843323,1,15
1606844522,3,4
1606845723,3,0
1606846323,4,0
1606846923,0,4
1606847581,4,14
1606848123,12,0
1606848723,5,12
1606849323,0,36
1606849923,3,1
1606850523,1,7
1606851723,1,10
1606852923,3,6
1606854124,2,13
1606854723,1,0
1606855323,2,10
1606856685,28888,11317
1606857724,3,0
1606859523,4,0
1606860723,2,0
1606861323,1,0
1606862523,1,0
1606863723,2,2
1606864923,2,0
1606865523,1,0
1606866123,1,0
1606866723,0,1
1606867923,1,0
1606868523,1,0
1606870923,1,0
1606871524,1,3
1606872123,3,0
1606872781,0,1
1606873323,2,0
1606874523,3,2
1606875723,3,1
1606877523,8,2
1606878123,2,0
1606878723,1,0
1606879323,2,0
1606880523,1,0
1606882923,7,0
1606884123,4,2
1606885323,7,0
1606887723,1,0
1606888923,1,0
1606890123,3,0
1606891323,2,1
1606892523,0,2
1606893723,2,2
1606894923,6,0
1606896123,1,0
1606897323,4,0
1606898523,2,0
1606900323,1,0
1606900923,8,0
1606902123,4,1
1606902723,1,0
1606903323,3,0
1606905723,8,0
1606906923,10,0
1606907523,6,0
1606908123,2,0
1606908782,3,0
1606909323,3,0
1606909923,2,0
1606910523,10,0
1606911723,5,0
1606912923,14,0
1606914123,5,1
1606914723,6,0
1606915323,2,0
1606916523,2,1
1606917723,1,0
1606918324,3,0
1606918923,3,0
1606920123,2,0
1606921324,1,0
1606921923,3,0
1606922523,3,0
1606923182,1,0
1606923724,5,0
1606924923,3,0
1606926781,2,0
1606927323,2,0
1606927923,1,0
1606928523,1,0
1606929723,2,0
1606930923,2,0
1606932123,5,0
1606932723,2,0
1606933323,3,0
1606933924,4,0
1606934523,1,0
1606935723,12,0
1606936323,1,0
1606936923,3,0
1606937524,2,0
1606938723,0,1
1606939323,4,0
1606940524,5,0
1606941123,1,0
1606941723,1,0
1606942923,4,0
