DateTime,AddedIPs,RemovedIPs
1590259927,6,0
1590305235,1,2
1590391660,2,2
1590414020,0,1
1590457689,1,0
1590478100,1,1
1590545067,2,0
1590564496,1,1
1590588727,5,0
1590632409,2,0
1590650842,1,3
1590676096,6,0
1590719776,2,0
1590737306,3,2
1590763451,4,0
1590807129,6,0
1590823650,3,1
1590850810,3,0
1590894492,1,0
1590910009,1,2
1590938168,3,0
1590981858,2,0
1590998454,1,4
1591025540,2,0
1591082806,3,2
1591156566,7,0
1591200262,1,0
1591243939,3,0
1591255725,1,2
1591287616,5,0
1591331290,3,0
1591342094,3,1
1591374971,2,0
1591418960,1,0
1591428418,1,3
1591462827,2,0
1591506498,7,0
1591514830,3,1
1591550175,3,0
1591593861,2,0
1591601255,2,3
1591637546,4,0
1591681222,2,0
1591687648,1,1
1591724903,2,0
1591774072,1,1
1591855934,1,0
1591860429,1,1
1591899605,2,0
1591943289,9,0
1591946877,3,3
1591986966,4,0
1592033268,2,3
1592074326,4,0
1592119885,2,2
1592161700,1,0
1592205366,1,0
1592206058,4,3
1592249047,4,0
1592292732,1,0
1592295701,1,4
1592336412,4,0
1592378812,4,2
1592380088,5,0
1592423773,3,0
1592465384,2,3
1592467451,2,0
1592511143,4,0
1592551674,4,4
1592554824,2,0
1592598484,2,0
1592638049,4,1
1592642169,2,0
1592685867,2,0
1592724990,1,2
1592729528,3,0
1592773231,3,0
1592810835,2,4
1592817142,2,0
1592860827,5,0
1592897261,1,2
1592904486,3,0
1592948166,2,0
1592983906,3,2
1592991868,4,0
1593035531,2,0
1593070066,3,2
1593079220,4,0
1593156455,0,2
1593166572,1,0
1593210248,3,0
1593242820,3,1
1593253933,5,0
1593297605,4,0
1593329785,1,4
1593384965,2,0
1593415660,2,2
1593472572,4,0
1593502143,5,1
1593516270,1,0
1593559954,3,0
1593588480,2,4
1593603634,2,0
1593647291,2,0
1593674835,1,0
1593690989,1,0
1593734892,3,0
1593761264,2,2
1593778570,3,0
1593822271,4,0
1593847641,2,3
1593865954,4,0
1593934042,3,2
1593953528,6,0
1593997245,4,0
1594020973,2,4
1594040892,1,0
1594084589,3,0
1594106890,1,2
1594128251,3,0
1594171941,6,0
1594193271,2,0
1594215609,5,0
1594259560,5,0
1594279887,2,1
1594303232,3,0
1594366074,1,3
1594390567,3,0
1594434276,1,0
1594454157,1,0
1594521613,3,0
1594565539,3,0
1594609207,3,0
1594625213,0,1
1594652899,2,0
1594711660,0,3
1594740488,5,0
1594784198,4,0
1594798068,2,2
1594827877,2,0
1594871531,2,0
1594884459,1,1
1594915479,2,0
1594959372,3,0
1594970858,1,1
1595003113,2,0
1595046755,3,0
1595057266,2,2
1595090408,1,0
1595134330,1,0
1595143613,2,1
1595178011,4,0
1595221691,5,0
1595265394,6,0
1595316484,0,1
1595352732,8,0
1595396411,1,0
1595403378,3,1
1595440090,4,0
1595483767,6,0
1595489262,0,3
1595527699,1,0
1595571371,2,0
1595575680,3,1
1595615157,3,0
1595658995,3,0
1595662059,2,1
1595702650,2,0
1595746328,1,0
1595748461,0,2
1595790012,2,0
1595833694,4,0
1595834839,4,2
1595877371,3,0
