DateTime,AddedIPs,RemovedIPs
1563625815,66,58
1563712215,37,39
1563778359,135936,0
1563798615,45,57
1563885015,34,45
1563971414,66,43
1564057815,89,58
1564114087,156,150
1564138816,63,92
1564225218,58,74
1564311617,64,90
1564398015,65,94
1564484415,71,67
1564570821,65,51
1564657216,61,59
1564743616,51,33
1564830017,39,52
1564916417,54,98
1565002816,66,77
1565089216,64,57
1565175618,53,64
1565262016,125,64
1565348418,64,76
1565434816,61,60
1565493618,203,172
1565521216,69,89
1565607616,54,63
1565694020,51,43
1565780418,71,49
1565866816,52,69
1565953217,77,60
1566039615,49,54
1566126016,81,125
1566212416,77,65
1566298816,68,57
1566385217,420,42
1566471616,118,43
1566558015,51,53
1566644415,46,64
1566730815,34,48
1566739931,135,200
1566817216,41,51
1566903616,58,41
1566990016,58,72
1567076436,59,63
1567162831,55,58
1567249224,64,303
1567335616,49,105
1567422016,40,54
1567508417,60,39
1567594816,67,42
1567681216,77,68
1567767616,55,128
1567854016,38,93
1567940417,35,86
1568026816,41,82
1568113217,48,66
1568199618,139,53
1568286018,132,44
1568372417,122,99
1568458822,91,65
1568545220,76,79
1568631616,69,54
1568718021,61,39
1568804418,50,39
1568890821,71,45
1568977216,73,47
1569063616,54,134
1569150016,22,125
1569236421,42,116
1569322818,31,79
1569409217,31,74
1569495617,37,74
1569582016,86,65
1569668418,53,78
1569754817,21,69
1569841215,44,64
1569927617,46,54
1570014024,71,21
1570100416,62,31
1570186817,31,36
1570273216,21,31
1570359617,23,37
1570446019,19,91
1570532418,61,71
1570618819,75,34
1570705217,37,53
1570791617,167,45
1570878018,28,70
1570964417,87,58
1571050819,71,30
1571137217,42,24
1571223616,21,21
1571310016,17,18
1571396417,17,42
1571482816,56,77
1571569217,65,33
1571655617,65,164
1571742016,28,48
1571828417,22,85
1571914817,18,65
1572001216,20,39
1572087617,15,18
1572174017,21,21
1572260416,23,29
1572346820,26,56
1572433221,38,64
1572519627,11,76
1572606024,26,32
1572692416,23,26
1572778816,36,21
1572865217,16,25
1572951616,15,14
1573038017,33,26
1573124417,19,21
1573210816,26,23
1573297217,15,42
1573383617,15,12
1573470017,17,22
1573556418,24,25
1573642818,19,34
1573729219,21,18
1573815617,26,14
1573902017,23,24
1573988416,32,21
1574074817,18,11
1574161217,68,12
1574247616,22,19
1574334018,32,17
1574420418,23,21
1574506818,28,22
1574593219,15,22
1574679618,21,25
1574766018,21,25
1574852418,30,32
1574938818,18,22
1575025217,50,38
1575111618,50,22
1575198017,46,30
1575284418,49,22
1575370819,28,61
1575457217,32,12
1575543619,22,17
1575630017,27,16
1575716419,19,26
