DateTime,AddedIPs,RemovedIPs
1606029395,58,58
1606031283,65,50
1606033204,53,61
1606035149,52,86
1606037068,65,69
1606038964,84,81
1606040909,67,67
1606042818,88,4063
1606044730,78,62
1606046673,1738,0
1606048567,127,111
1606050488,108,86
1606052431,110,107
1606054458,53,56
1606056874,46,65
1606058921,42,97
1606060828,115,60
1606062772,219,80
1606064677,74,64
1606066605,40,88
1606068513,27,71
1606070454,64,40
1606072382,289,42
1606074265,194,67
1606076209,103,93
1606078102,36,72
1606080034,59,104
1606081981,62,59
1606083865,184,58
1606085765,172,67
1606087710,99,62
1606089621,1372,0
1606091532,56,74
1606093480,106,74
1606095369,167,81
1606097294,61,38
1606099233,47,45
1606101127,34,41
1606103052,60,63
1606104992,152,61
1606106890,105,59
1606108806,45,59
1606110748,62,68
1606112656,49,49
1606114570,75,30
1606116511,149,48
1606118417,79,68
1606120329,47,76
1606122274,38,67
1606124171,59,81
1606126092,95,52
1606128037,118,69
1606129926,52,4037
1606131849,79,105
1606133795,1817,0
1606135685,101,96
1606137604,118,64
1606139549,128,59
1606141453,78,72
1606143367,62,77
1606145307,58,62
1606147205,61,91
1606149128,188,73
1606151085,70,61
1606152969,64,107
1606154890,67,61
1606156830,87,97
1606158733,174,58
1606160648,83,93
1606162592,77,65
1606164484,67,62
1606166406,97,66
1606168326,105,97
1606170251,183,72
1606172188,116,109
1606174089,92,58
1606176012,1504,0
1606177952,89,63
1606179857,77,63
1606181768,147,54
1606183872,96,60
1606185955,59,64
1606187869,58,35
1606189731,90,88
1606191671,111,56
1606193800,63,51
1606195835,74,78
1606197987,69,63
1606200103,72,78
1606202045,73,49
1606204115,72,86
1606206253,82,57
1606208196,67,57
1606210371,72,86
1606212313,81,81
1606214187,95,80
1606216109,43,4268
1606218070,65,84
1606219974,1899,0
1606221931,73,91
1606223793,114,191
1606225732,95,93
1606227664,113,53
1606229565,103,42
1606231484,72,49
1606233425,79,78
1606235291,103,144
1606237212,91,92
1606239154,82,48
1606241056,77,58
1606242968,76,58
1606244915,107,120
1606246806,180,107
1606248727,117,69
1606250677,82,50
1606252566,86,56
1606254726,91,84
1606256676,117,108
1606258566,154,101
1606260735,129,60
1606262652,1602,0
1606264596,83,66
1606266487,60,111
1606268406,72,103
1606270352,72,49
1606272252,77,27
1606274168,59,43
1606276117,92,42
1606278005,63,107
1606279926,57,96
1606281880,56,44
1606283768,86,55
1606285685,47,37
1606287631,87,79
1606289534,58,100
1606291451,63,72
1606293404,64,56
1606295290,44,43
1606297205,72,56
1606299151,69,101
1606301046,57,97
1606302970,68,4122
1606304909,92,57
1606306809,1870,0
1606308723,106,81
1606310675,87,145
1606312565,109,111
1606314730,105,72
1606316650,65,59
1606318590,93,101
1606320486,90,78
1606322408,90,91
1606324349,63,57
1606326245,95,63
1606328193,88,74
1606330090,91,55
1606332007,62,85
1606333948,109,76
1606335850,98,66
1606337764,129,76
1606339714,82,69
1606341617,125,78
1606343525,100,124
1606345473,115,51
1606347633,131,62
1606349602,1547,0
1606351510,92,72
1606353402,73,98
1606355329,59,86
1606357295,82,68
1606359127,72,39
1606361075,77,68
1606362966,76,73
1606364891,60,86
1606366910,85,46
1606368729,49,50
1606370654,70,46
1606372611,52,63
1606374502,71,60
1606376424,72,74
1606378363,62,54
1606380265,75,65
1606382191,90,66
1606384141,49,69
1606386027,63,113
1606387930,48,70
1606389901,43,3818
1606391802,111,110
1606393685,1675,0
1606395639,110,85
1606397542,92,83
1606399451,81,65
1606401389,109,71
1606403290,79,58
1606405233,68,104
1606407130,89,58
1606409072,91,61
1606410965,94,58
1606412885,80,80
1606414831,88,50
1606416728,78,77
1606418651,96,71
1606420587,96,74
1606422486,73,43
1606424408,95,79
1606426356,95,66
1606428269,102,86
1606430185,117,68
1606432159,74,59
1606434042,108,95
1606435942,1377,0
1606437895,66,55
1606439782,88,55
1606441702,53,64
1606443662,67,44
1606445528,74,56
1606447454,48,51
1606449402,80,80
1606451289,62,42
1606453229,65,47
1606455153,42,54
1606457052,70,48
1606458965,81,72
1606460913,65,56
1606462811,67,58
1606464728,68,53
1606466674,56,49
1606468581,69,54
1606470499,72,93
1606472472,71,57
1606474359,76,69
1606476260,55,3959
1606478204,94,107
1606480088,1730,0
1606482144,101,92
1606483959,100,72
1606485852,85,69
1606487790,108,80
1606489753,92,82
1606491647,103,95
1606493616,85,54
1606495489,84,79
1606497389,95,80
1606499344,82,69
1606501206,85,58
1606503128,99,82
1606505073,113,68
1606507015,142,76
1606508911,69,72
1606510849,107,89
1606512754,85,71
1606514714,111,64
1606516599,113,39
1606518536,84,61
1606520454,93,75
1606522390,1389,0
1606524267,103,52
1606526211,55,63
1606528099,70,42
1606530089,70,72
1606531949,72,50
1606533852,51,61
1606535766,69,59
1606537715,51,53
1606539612,80,65
1606541535,66,42
1606543478,60,64
1606545376,89,56
1606547305,45,61
1606549247,78,61
1606551138,39,55
1606553065,58,74
1606555004,47,85
1606556930,70,51
1606558823,68,58
1606560789,52,45
1606562711,57,3722
1606564581,88,83
1606566512,1654,0
1606568459,99,94
1606570345,81,67
1606572270,87,57
1606574205,98,77
1606576106,73,70
1606578030,139,65
1606579982,74,80
1606581850,60,63
1606583797,92,68
1606585757,94,48
1606587639,88,82
1606589543,122,64
1606591496,106,61
1606593395,124,73
1606595285,71,65
1606597214,122,72
1606599129,78,74
1606601073,81,69
1606602970,80,88
1606604888,61,64
1606606815,124,88
1606608726,1374,0
1606610680,156,53
1606612566,77,68
1606614487,35,40
1606616419,148,57
1606618345,60,60
1606620293,47,36
1606622206,106,64
1606624126,43,54
1606626086,66,63
1606628027,58,36
1606629853,56,47
1606631793,51,70
1606633690,68,48
1606635607,60,52
1606637552,57,76
1606639454,66,57
1606641369,56,68
1606643309,75,69
1606645207,71,71
1606647125,75,68
1606649105,63,3876
1606650966,102,84
1606652886,1618,0
1606654837,92,123
1606656728,77,47
1606658685,99,89
1606660621,96,84
1606662492,54,54
1606664465,42,82
1606666349,46,45
1606668250,45,86
1606670234,34,62
1606672179,193,95
1606674133,120,61
1606676310,116,82
