DateTime,Entries,UniqueIPs
1606029395,8412,8412
1606031283,8427,8427
1606033204,8419,8419
1606035149,8385,8385
1606037068,8381,8381
1606038964,8384,8384
1606040909,8384,8384
1606042818,4409,4409
1606044730,4425,4425
1606046673,6163,6163
1606048567,6179,6179
1606050488,6201,6201
1606052431,6204,6204
1606054458,6201,6201
1606056874,6182,6182
1606058921,6127,6127
1606060828,6182,6182
1606062772,6321,6321
1606064677,6331,6331
1606066605,6283,6283
1606068513,6239,6239
1606070454,6263,6263
1606072382,6510,6510
1606074265,6637,6637
1606076209,6647,6647
1606078102,6611,6611
1606080034,6566,6566
1606081981,6569,6569
1606083865,6695,6695
1606085765,6800,6800
1606087710,6837,6837
1606089621,8209,8209
1606091532,8191,8191
1606093480,8223,8223
1606095369,8309,8309
1606097294,8332,8332
1606099233,8334,8334
1606101127,8327,8327
1606103052,8324,8324
1606104992,8415,8415
1606106890,8461,8461
1606108806,8447,8447
1606110748,8441,8441
1606112656,8441,8441
1606114570,8486,8486
1606116511,8587,8587
1606118417,8598,8598
1606120329,8569,8569
1606122274,8540,8540
1606124171,8518,8518
1606126092,8561,8561
1606128037,8610,8610
1606129926,4625,4625
1606131849,4599,4599
1606133795,6416,6416
1606135685,6421,6421
1606137604,6475,6475
1606139549,6544,6544
1606141453,6550,6550
1606143367,6535,6535
1606145307,6531,6531
1606147205,6501,6501
1606149128,6616,6616
1606151085,6625,6625
1606152969,6582,6582
1606154890,6588,6588
1606156830,6578,6578
1606158733,6694,6694
1606160648,6684,6684
1606162592,6696,6696
1606164484,6701,6701
1606166406,6732,6732
1606168326,6740,6740
1606170251,6851,6851
1606172188,6858,6858
1606174089,6892,6892
1606176012,8396,8396
1606177952,8422,8422
1606179857,8436,8436
1606181768,8529,8529
1606183872,8565,8565
1606185955,8560,8560
1606187869,8583,8583
1606189731,8585,8585
1606191671,8640,8640
1606193800,8652,8652
1606195835,8648,8648
1606197987,8654,8654
1606200103,8648,8648
1606202045,8672,8672
1606204115,8658,8658
1606206253,8683,8683
1606208196,8693,8693
1606210371,8679,8679
1606212313,8679,8679
1606214187,8694,8694
1606216109,4469,4469
1606218070,4450,4450
1606219974,6349,6349
1606221931,6331,6331
1606223793,6254,6254
1606225732,6256,6256
1606227664,6316,6316
1606229565,6377,6377
1606231484,6400,6400
1606233425,6401,6401
1606235291,6360,6360
1606237212,6359,6359
1606239154,6393,6393
1606241056,6412,6412
1606242968,6430,6430
1606244915,6417,6417
1606246806,6490,6490
1606248727,6538,6538
1606250677,6570,6570
1606252566,6600,6600
1606254726,6607,6607
1606256676,6616,6616
1606258566,6669,6669
1606260735,6738,6738
1606262652,8340,8340
1606264596,8357,8357
1606266487,8306,8306
1606268406,8275,8275
1606270352,8298,8298
1606272252,8348,8348
1606274168,8364,8364
1606276117,8414,8414
1606278005,8370,8370
1606279926,8331,8331
1606281880,8343,8343
1606283768,8374,8374
1606285685,8384,8384
1606287631,8392,8392
1606289534,8350,8350
1606291451,8341,8341
1606293404,8349,8349
1606295290,8350,8350
1606297205,8366,8366
1606299151,8334,8334
1606301046,8294,8294
1606302970,4240,4240
1606304909,4275,4275
1606306809,6145,6145
1606308723,6170,6170
1606310675,6112,6112
1606312565,6110,6110
1606314730,6143,6143
1606316650,6149,6149
1606318590,6141,6141
1606320486,6153,6153
1606322408,6152,6152
1606324349,6158,6158
1606326245,6190,6190
1606328193,6204,6204
1606330090,6240,6240
1606332007,6217,6217
1606333948,6250,6250
1606335850,6282,6282
1606337764,6335,6335
1606339714,6348,6348
1606341617,6395,6395
1606343525,6371,6371
1606345473,6435,6435
1606347633,6504,6504
1606349602,8051,8051
1606351510,8071,8071
1606353402,8046,8046
1606355329,8019,8019
1606357295,8033,8033
1606359127,8066,8066
1606361075,8075,8075
1606362966,8078,8078
1606364891,8052,8052
1606366910,8091,8091
1606368729,8090,8090
1606370654,8114,8114
1606372611,8103,8103
1606374502,8114,8114
1606376424,8112,8112
1606378363,8120,8120
1606380265,8130,8130
1606382191,8154,8154
1606384141,8134,8134
1606386027,8084,8084
1606387930,8062,8062
1606389901,4287,4287
1606391802,4288,4288
1606393685,5963,5963
1606395639,5988,5988
1606397542,5997,5997
1606399451,6013,6013
1606401389,6051,6051
1606403290,6072,6072
1606405233,6036,6036
1606407130,6067,6067
1606409072,6097,6097
1606410965,6133,6133
1606412885,6133,6133
1606414831,6171,6171
1606416728,6172,6172
1606418651,6197,6197
1606420587,6219,6219
1606422486,6249,6249
1606424408,6265,6265
1606426356,6294,6294
1606428269,6310,6310
1606430185,6359,6359
1606432159,6374,6374
1606434042,6387,6387
1606435942,7764,7764
1606437895,7775,7775
1606439782,7808,7808
1606441702,7797,7797
1606443662,7820,7820
1606445528,7838,7838
1606447454,7835,7835
1606449402,7835,7835
1606451289,7855,7855
1606453229,7873,7873
1606455153,7861,7861
1606457052,7883,7883
1606458965,7892,7892
1606460913,7901,7901
1606462811,7910,7910
1606464728,7925,7925
1606466674,7932,7932
1606468581,7947,7947
1606470499,7926,7926
1606472472,7940,7940
1606474359,7947,7947
1606476260,4043,4043
1606478204,4030,4030
1606480088,5760,5760
1606482144,5769,5769
1606483959,5797,5797
1606485852,5813,5813
1606487790,5841,5841
1606489753,5851,5851
1606491647,5859,5859
1606493616,5890,5890
1606495489,5895,5895
1606497389,5910,5910
1606499344,5923,5923
1606501206,5950,5950
1606503128,5967,5967
1606505073,6012,6012
1606507015,6078,6078
1606508911,6075,6075
1606510849,6093,6093
1606512754,6107,6107
1606514714,6154,6154
1606516599,6228,6228
1606518536,6251,6251
1606520454,6269,6269
1606522390,7658,7658
1606524267,7709,7709
1606526211,7701,7701
1606528099,7729,7729
1606530089,7727,7727
1606531949,7749,7749
1606533852,7739,7739
1606535766,7749,7749
1606537715,7747,7747
1606539612,7762,7762
1606541535,7786,7786
1606543478,7782,7782
1606545376,7815,7815
1606547305,7799,7799
1606549247,7816,7816
