DateTime,AddedIPs,RemovedIPs
1599678994,3,1
1599693631,8,0
1599708250,7,0
1599722910,9,0
1599737527,2,0
1599752200,6,0
1599766813,40,2
1599781474,7,1
1599796085,7,1
1599810726,5,4
1599825394,8,2
1599840014,7,0
1599854893,12,3
1599869532,9,1
1599884166,7,3
1599898806,12,0
1599913475,7,2
1599928086,8,0
1599942727,30,2
1599957397,9,1
1599972034,17,2
1599986651,12,0
1600001557,23,0
1600016194,23,0
1600030817,8,2
1600045449,5,3
1600060114,9,0
1600074759,16,0
1600089365,14,3
1600104007,11,3
1600118674,9,1
1600133285,27,0
1600147953,25,2
1600162595,17,1
1600177206,23,1
1600192090,18,1
1600206728,11,1
1600221391,10,0
1600236051,20,3
1600250919,16,0
1600265555,6,0
1600280194,8,4
1600294805,12,1
1600309450,5,2
1600324088,6,0
1600338726,9,1
1600353366,10,0
1600368007,13,0
1600382650,8,2
1600397286,16,0
1600411928,9,1
1600426592,18,1
1600441239,17,1
1600455848,28,0
1600470491,9,2
1600485135,8,0
1600499766,14,0
1600514412,10,0
1600529049,20,1
1600543684,19,0
1600558326,9,1
1600572968,21,2
1600587620,12,0
1600602247,13,1
1600616890,17,0
1600631551,5,7
1600646191,16,0
1600660819,12,4
1600675715,11,0
1600690568,20,2
1600705205,10,0
1600719847,36,0
1600734738,17,0
1600749397,44,1
1600764031,17,2
1600778648,28,0
1600793308,41,29930
1600807959,34,22
1600822591,15,246
1600837209,10,18
1600852089,8,7
1600866992,73,13
1600881604,113,14
1600896252,88,7
1600910885,51,10
1600925527,35,10
1600940191,39,5
1600954805,34,5
1600969470,22,7
1600984110,22,4
1600998752,18,7
1601013390,19,4
1601028041,17,7
1601042648,15,7
1601057308,21,4
1601071950,22,11
1601086564,19,6
1601101231,22,12
1601115846,18,7
1601131236,13,5
1601145871,26,10
1601160486,15,10
1601175150,7,5
1601189790,13,3
1601204436,34,4
1601219071,20,6
1601233688,15,10
1601248355,11,6
1601262968,3,15
1601277628,10,13
1601292269,22,9
1601306887,13,7
1601321551,9,6
1601336190,17,9
1601350809,14,11
1601365451,18,11
1601380108,20,9
1601394726,10,9
1601409390,14,7
1601424015,7,5
1601438893,10,1
1601453552,18,5
1601468165,12,5
1601482813,14,4
1601497447,17,2
1601512084,22,3
1601526726,10,6
1601541613,35,2
1601556268,19,5
1601570888,10,5
1601585525,24,2
1601600187,18,4
1601614836,29,1
1601629691,22,4
