DateTime,AddedIPs,RemovedIPs
1606509124,1,18
1606509723,12,0
1606510923,1,31
1606512123,2,5
1606512724,2,12
1606514523,1,15
1606515723,0,4
1606516923,4,0
1606518123,5,6
1606519323,2,10
1606519924,3,4
1606520524,2,0
1606521123,0,4
1606522323,6,7
1606522924,4,0
1606523524,2,28
1606524723,2,0
1606525923,1,45
1606527123,0,15
1606527723,2,0
1606528923,3,20
1606530124,2,23
1606531323,5,0
1606531923,3,11
1606533123,1,1
1606533723,1,0
1606534923,2,3
1606536123,4,19
1606537323,1,6
1606538523,2,3
1606539723,3,3
1606540923,9,27
1606541523,2,4
1606542124,1,0
1606543323,9,29
1606544523,2,25
1606545723,4,8
1606546923,7,10
1606548124,3,1
1606549323,7,1
1606549923,4,3
1606551123,1,6
1606551723,3,0
1606553524,11,1
1606554124,4,6
1606554724,3,0
1606555323,3,2
1606556523,7,0
1606557123,3,30
1606558923,6,9
1606559523,3,0
1606560124,5,0
1606560723,1,4
1606561323,3,4
1606561923,4,0
1606562523,2,21
1606563723,2,0
1606564923,0,7
1606566123,7,15
1606567323,2,1
1606568523,3,1
1606569723,2,0
1606570923,1,1
1606572123,3,1
1606572723,1,0
1606573923,4,2
1606574523,3,0
1606575723,4,0
1606576323,1,1
1606577524,4,56
1606578123,4,0
1606579923,55,5
1606580524,7,20
1606581124,6,0
1606582323,8,3
1606582923,5,0
1606584123,3,5
1606585323,7,0
1606586523,11,6
1606587724,6,33
1606588323,4,0
1606588924,2,13
1606590724,3,4
1606591323,3,4
1606591924,4,0
1606592523,6,0
1606593723,19,13
1606594924,17,2
1606596123,18,7
1606596724,5,0
1606597923,25,1
1606599723,4,1
1606600924,7,0
1606601523,7,0
1606602124,9,0
1606603323,12,10
1606604524,27,5
1606606323,9,9
1606606923,6,2
1606608123,11,2
1606608723,10,3
1606609924,1,1
1606610523,62,1
1606611724,36,0
1606612324,12,0
1606612923,5,1
1606613523,14,2
1606614723,13,2
1606615323,4,2
1606615923,4,0
1606617123,7,1
1606617723,12,6
1606618923,8,2
1606620123,3,2
1606621323,3,0
1606621924,1,2
1606623723,10,0
1606625523,7,4
1606626123,8,0
1606626723,0,13
1606627924,3,1
1606628523,6,0
1606629724,13,0
1606630923,9,1
1606632123,4,0
1606633323,2,10
1606634523,4,8
1606635723,2,0
1606636923,4,6
1606638123,8,2
1606638723,2,0
1606639923,6,16
1606640523,0,3
1606641723,2,0
1606642923,0,4
1606644123,3,2
1606645323,0,4
1606646523,4,6
1606647724,13,1
1606648323,1,2
1606649524,10,0
1606650123,5,0
1606651323,1,1
1606652523,5,2
1606653723,1,2
1606654324,0,1
1606654923,1,0
1606656123,1,1
1606656723,1,0
1606657924,0,2
1606659723,4,4
1606660323,2,0
1606660923,0,4
1606661523,1,0
1606662724,6,1
1606663923,2,0
1606664523,1,0
1606665723,0,20
1606666923,19,4
1606667524,2,7
1606668123,0,15
1606669323,0,2
1606669923,2,12
1606670523,1,8
1606671123,3,0
1606672323,0,9
1606672923,1,7
1606674123,1,1
1606674723,1,1
1606675323,1,0
1606675923,5,1
1606677124,8,5
1606677723,1,0
1606678924,8,18
1606680123,6,0
1606680723,9,10
1606681324,1,10
1606681923,5,0
1606682523,3,0
1606683123,1,5
1606683723,1,20
1606684323,0,2
1606685523,16,4
1606686123,2,0
1606687323,10,3
1606688523,6,12
1606689124,1,6
1606689723,5,0
1606690323,1,19
1606692123,3,9
1606693323,5,26
1606693923,4,0
1606695123,1,3
1606696323,4,22
1606696923,4,0
1606698123,3,74
1606699323,2,7
1606700523,1,21
1606701723,4,15
1606702323,3,23
1606703524,7,0
1606704123,0,12
1606704723,3,9
1606705323,3,0
1606706523,2,9
1606707723,3,8
1606708923,5,2
1606709524,13,17
1606710123,2,0
1606711323,9,9
1606711923,2,9
1606712523,3,5
1606713723,8,4
1606714923,2,5
1606716123,5,23
1606717323,2,26
1606717923,3,0
1606719123,6,4
1606719724,4,0
1606720923,5,12
1606722123,2,15
1606723323,7,0
1606724523,3,12
1606725723,3,8
1606726323,3,0
1606726923,0,2
1606728123,12,0
1606729323,7,13
1606729923,4,0
1606730523,2,0
1606731123,2,3
1606731723,2,8
1606732324,2,0
1606732923,3,0
1606734123,1,17
1606734723,3,11
1606735924,1,1
1606737123,1,1
1606738323,2,5
1606739524,3,0
1606740723,3,0
1606741323,2,0
1606741923,1,0
1606743124,4,0
1606744323,9,0
1606744923,2,0
1606745523,1,3
1606746123,3,0
1606746723,2,4
1606747923,1,4
1606748523,9,0
1606749723,14,1
1606750923,7,2
1606752124,18,0
1606753323,57,19
1606754523,17,5
1606755123,10,0
1606756323,11,1
1606757524,16,0
1606758723,3,0
1606759923,7,4
1606761123,6,1
1606761723,5,7
1606762323,1,0
1606762923,4,0
1606763523,2,6
1606764123,4,8
1606764724,1,0
1606765323,1,4
1606765923,2,0
1606767124,3,13
1606767723,1,2
1606768324,3,10
1606769523,4,3
1606770723,7,0
1606771923,4,26
1606773123,2,8
1606774323,6,7
1606775524,1,7
1606776723,3,0
1606777923,18,5
1606779123,19,4
1606780324,6,7
1606780924,5,2
1606782123,6,4
1606783323,20,1
1606783923,10,2
1606784523,2,1
1606785123,2,0
