DateTime,AddedIPs,RemovedIPs
1606536123,14,14
1606537323,14,14
1606538523,8,8
1606539723,18,18
1606540923,32,32
1606541523,6,6
1606542124,13,12
1606543323,16,16
1606544523,18,18
1606545723,6,6
1606546923,24,24
1606548124,15,15
1606549323,25,25
1606549923,18,18
1606551123,14,14
1606551723,16,16
1606552323,9,9
1606553524,46,46
1606554124,9,9
1606554724,5,5
1606555323,9,9
1606556523,17,17
1606557123,15,15
1606558923,20,20
1606559523,8,8
1606560124,14,14
1606560723,4,4
1606561323,12,12
1606561923,7,7
1606562523,16,17
1606563723,13,12
1606564923,12,12
1606566123,15,15
1606567323,10,10
1606568523,8,9
1606569723,11,11
1606570923,6,6
1606572123,9,9
1606572723,5,5
1606573923,15,15
1606574523,13,13
1606575723,15,15
1606576323,13,13
1606577524,12,12
1606578123,10,10
1606579923,89,88
1606580524,13,13
1606581124,20,20
1606582323,33,33
1606582923,19,19
1606584123,29,29
1606585323,18,18
1606586523,37,37
1606587724,25,25
1606588323,8,8
1606588924,11,11
1606589523,8,8
1606590724,10,10
1606591323,11,11
1606591924,20,20
1606592523,12,12
1606593723,47,47
1606594924,56,56
1606596123,53,53
1606596724,20,20
1606597923,76,76
1606598524,10,10
1606599723,22,22
1606600924,24,24
1606601523,27,27
1606602124,21,21
1606603323,29,29
1606604524,75,75
1606606323,35,35
1606606923,33,33
1606608123,46,46
1606608723,23,23
1606609924,13,13
1606610523,90,90
1606611724,92,92
1606612324,47,47
1606612923,24,24
1606613523,49,49
1606614723,46,46
1606615323,28,28
1606615923,27,27
1606617123,31,31
1606617723,31,32
1606618923,41,40
1606620123,29,29
1606621323,28,28
1606621924,9,9
1606623723,46,47
1606624324,5,5
1606625523,31,31
1606626123,29,29
1606626723,14,13
1606627924,25,25
1606628523,22,22
1606629724,60,61
1606630923,54,54
1606632123,31,31
1606633323,14,14
1606634523,34,33
1606635723,13,13
1606636923,31,31
1606638123,34,35
1606638723,12,11
1606639923,22,22
1606640523,6,6
1606641723,20,20
1606642923,16,16
1606644123,23,24
1606645323,12,12
1606646523,24,24
1606647724,25,25
1606648323,2,2
1606649524,23,23
1606650123,19,19
1606651323,12,12
1606652523,17,17
1606653723,7,7
1606654324,6,6
1606654923,5,5
1606656123,10,10
1606656723,2,1
1606657323,1,1
1606659723,12,13
1606660323,6,5
1606660923,5,5
1606661523,8,8
1606662724,13,13
1606663323,6,6
1606663923,9,9
1606664523,3,3
1606665723,6,6
1606666923,36,36
1606667524,11,11
1606668123,5,5
1606669323,8,8
1606669923,4,5
1606670523,2,2
1606671123,8,8
1606672323,6,6
1606672923,9,9
1606673523,1,1
1606674123,4,4
1606674723,7,7
1606675323,5,5
1606675923,12,12
1606677124,26,27
1606677723,8,8
1606678924,20,20
1606679523,9,9
1606680123,17,17
1606680723,21,20
1606681324,7,7
1606681923,17,16
1606682523,15,15
1606683123,7,7
1606683723,11,11
1606684323,4,4
1606685523,55,55
1606686123,9,9
1606687323,29,29
1606688523,19,19
1606689124,8,8
1606689723,18,18
1606690323,5,5
1606690923,6,6
1606692123,19,19
1606693323,26,26
1606693923,16,16
1606695123,13,13
1606696323,11,11
1606696923,7,7
1606698123,14,14
1606699323,10,10
1606700523,10,10
1606701723,18,18
1606702323,24,24
1606703524,27,27
1606704123,4,4
1606704723,9,9
1606705323,12,12
1606706523,29,29
1606707723,13,13
1606708923,17,17
1606709524,21,21
1606710123,10,10
1606711323,41,41
1606711923,8,8
1606712523,14,14
1606713723,24,24
1606714923,13,13
1606716123,18,18
1606717323,12,12
1606717923,6,6
1606718523,5,5
1606719123,20,20
1606719724,15,15
1606720923,26,26
1606722123,16,16
1606723323,15,15
1606724523,11,11
1606725723,17,17
1606726323,9,9
1606726923,9,9
1606728123,35,35
1606729323,16,16
1606729923,12,12
1606730523,9,9
1606731123,10,10
1606731723,11,11
1606732324,8,8
1606732923,13,13
1606734123,8,8
1606734723,5,5
1606735924,4,4
1606737123,7,7
1606738323,6,6
1606739524,19,19
1606740723,11,11
1606741323,11,11
1606741923,12,12
1606743124,17,17
1606744323,31,31
1606744923,12,12
1606745523,10,10
1606746123,8,8
1606746723,9,9
1606747923,10,10
1606748523,28,28
1606749723,31,31
1606750923,22,22
1606752124,48,48
1606753323,82,82
1606754523,69,69
1606755123,21,21
1606756323,39,39
1606756923,4,4
1606757524,43,43
1606758723,36,36
1606759923,28,28
1606760523,7,7
1606761123,11,11
1606761723,19,19
1606762323,7,7
1606762923,18,18
1606763523,8,8
1606764123,11,11
1606764724,6,6
1606765323,9,10
1606765923,5,5
1606767124,12,12
1606767723,4,4
1606768324,7,7
1606769523,13,13
1606770723,28,28
1606771923,16,16
1606773123,17,17
1606774323,13,13
1606775524,11,10
1606776723,8,8
1606777923,43,43
1606779123,56,56
1606780324,19,19
1606780924,14,14
1606782123,25,25
1606783323,47,47
1606783923,37,37
1606784523,11,11
1606785123,8,8
1606785723,41,41
1606786923,53,53
1606788123,24,24
1606789323,48,48
1606789923,7,7
1606791123,42,42
1606791723,29,29
1606792923,15,15
1606794123,26,26
1606795323,11,11
1606796523,16,16
1606797123,11,11
1606797723,11,11
1606798923,24,24
1606800123,37,37
1606801323,19,19
1606802523,33,33
1606803723,6,6
1606804923,12,12
1606806123,52,52
1606806723,7,7
1606807323,16,16
1606808523,36,36
1606809723,21,21
1606810923,39,39
1606812123,21,21
1606813323,22,23
1606814523,26,26
1606815723,19,19
1606816323,7,7
1606816923,7,7
1606818123,13,13
1606818723,6,6
1606819323,12,12
1606819923,9,9
1606820523,7,7
1606821723,53,52
1606822323,8,8
1606823523,8,8
1606824123,8,8
1606824723,12,12
1606825923,18,18
1606826523,12,12
1606827123,16,16
1606827723,14,14
1606828923,29,29
1606830123,22,22
1606830723,9,9
1606831323,19,19
1606832523,13,13
1606833124,8,8
1606833723,13,13
1606834923,14,14
1606835523,28,28
1606836123,15,15
1606836724,18,18
1606838523,19,19
1606839724,18,18
1606840324,22,22
1606840923,12,12
1606841523,3,3
1606842123,2,2
1606842723,6,6
1606843323,4,4
1606844522,28,28
1606845723,13,13
1606846323,9,9
1606846923,26,26
1606847523,22,22
1606848123,15,15
1606848723,9,9
1606849923,41,41
1606850523,8,8
1606851723,17,17
1606852923,19,19
1606854123,15,15
1606854723,19,19
1606855323,9,9
1606856523,93,93
1606857123,38,38
1606857724,22,22
1606858923,46,46
1606859523,3,3
1606860123,5,5
1606860723,22,22
1606861923,10,10
1606862523,62,62
1606863723,28,29
1606864923,57,57
1606865523,19,18
1606866123,25,25
1606866723,18,18
1606867923,22,22
1606868523,18,18
1606869723,45,46
1606871524,69,68
1606872723,25,25
1606873323,7,7
1606874523,59,60
1606875723,56,55
1606876324,30,30
1606877523,46,46
1606878723,26,26
1606879323,26,26
1606880523,29,29
1606881723,28,28
1606882923,18,18
1606884123,15,15
1606885323,42,42
1606886523,20,20
1606887123,20,20
1606888923,7,8
1606889523,4,4
1606890724,13,13
1606891323,12,12
1606892523,29,29
1606893723,21,21
1606894923,21,21
1606896123,9,9
1606897323,8,8
1606898523,6,6
1606899723,17,17
1606900323,15,15
1606901523,14,14
1606902723,23,23
1606903323,9,9
1606903923,13,12
1606905123,14,15
1606905723,11,11
1606906323,7,7
1606906923,4,3
1606907523,4,5
1606908123,8,7
1606908724,9,10
1606909923,6,6
1606910523,4,4
1606911723,6,6
1606912923,7,7
1606914123,7,7
1606914723,18,18
1606915323,9,9
1606916523,22,22
1606917123,10,10
1606917723,8,8
1606918323,11,11
1606918923,12,12
1606920123,13,13
1606920723,4,4
1606921923,14,14
1606923124,21,21
1606923724,4,4
1606924923,5,5
1606925523,4,4
1606926723,30,29
1606927923,26,26
1606928523,18,18
1606929723,21,21
1606930923,9,9
1606932123,15,15
1606932723,16,16
1606933323,8,8
1606933924,6,6
1606934523,12,12
1606935723,17,17
1606936923,22,22
1606938123,18,18
1606938723,6,6
1606939923,10,10
1606940524,7,7
1606941123,33,33
1606941723,16,16
1606942923,21,21
1606943524,12,12
1606944123,10,10
1606945324,19,19
1606946523,20,20
1606947723,36,36
1606948323,21,21
1606949523,30,30
1606950123,20,20
1606951323,44,44
1606951923,38,38
1606953123,51,51
1606953723,15,15
1606954323,6,6
1606955524,44,44
1606956123,29,29
1606957323,56,56
1606957923,17,17
1606958523,10,10
1606959723,30,30
1606960923,8,8
1606962123,18,18
1606962723,9,9
1606963323,13,13
1606963923,21,21
1606965123,11,11
1606965723,13,13
1606966923,12,12
1606968123,15,15
1606968723,9,9
1606969923,51,51
1606970523,6,6
1606971723,52,52
1606972924,18,18
1606973524,7,7
1606974123,6,6
1606975323,15,15
1606976523,13,13
1606977723,15,15
1606978923,10,10
1606979523,8,8
1606980122,11,11
1606981323,25,25
1606982523,14,14
1606983723,17,17
1606984923,8,8
1606986122,7,7
1606986723,4,4
1606989123,55,55
1606989723,9,9
1606990923,19,19
1606991523,9,9
1606992123,32,32
1606993323,12,12
1606993923,10,10
1606994523,11,11
