DateTime,AddedIPs,RemovedIPs
1604889903,205,0
1604897102,301,0
1604900703,190,0
1604904303,152,0
1604907903,177,0
1604911503,136,0
1604915102,138,0
1604918702,162,0
1604922302,198,0
1604925902,157,0
1604929503,190,0
1604936703,298,0
1604943902,325,0
1604947502,131,0
1604954701,259,0
1604961902,238,0
1604969102,260,2913
1604971802,103,0
1604973602,71,0
1604977202,119,0
1604980802,97,0
1604984402,174,0
1604988003,181,0
1604991603,132,0
1604995202,167,0
1604998803,168,0
1605002402,143,0
1605006002,198,0
1605013203,311,0
1605016802,172,0
1605024003,312,0
1605027603,169,0
1605034803,284,0
1605038402,125,0
1605042002,136,0
1605045602,115,0
1605053703,274,3381
1605057302,120,0
1605060902,176,0
1605064502,162,0
1605071702,328,0
1605078902,313,0
1605086102,428,0
1605089702,135,0
1605096902,333,0
1605104102,390,0
1605111302,282,0
1605118502,348,0
1605125702,263,0
1605132903,271,0
1605136502,79,0
1605140102,448,3201
1605143702,378,0
1605147302,126,0
1605150902,499,0
1605154502,142,0
1605158102,160,0
1605161701,134,0
1605165302,125,0
1605168902,125,0
1605172502,219,0
1605176102,173,0
1605179701,211,0
1605183302,151,0
1605186901,149,0
1605190502,156,0
1605194102,125,0
1605197702,145,0
1605201302,143,0
1605204903,121,0
1605208502,99,0
1605212101,166,0
1605215701,107,0
1605219302,93,0
1605222902,115,0
1605226502,113,3824
1605230102,169,1
1605237302,263,0
1605240902,114,0
1605248102,188,0
1605251703,114,0
1605255302,102,0
1605258903,172,0
1605266102,243,0
1605269702,161,0
1605276902,268,0
1605280502,169,0
1605287702,231,0
1605291302,128,0
1605298502,213,0
1605305702,267,1
1605309303,91,0
1605312902,120,4364
1605317402,168,0
1605321002,121,0
1605323702,87,0
1605327303,92,0
1605328202,30,0
1605331802,82,0
1605338102,195,0
1605339003,22,0
1605341702,73,0
1605345302,194,0
1605348902,137,0
1605349803,32,0
1605352503,54,0
1605357002,135,0
1605359702,74,0
1605364203,129,0
1605366901,88,0
1605371403,117,0
1605378602,221,0
1605381302,79,0
1605382202,21,0
1605388502,134,0
1605393003,115,0
1605399302,192,3045
1605402902,94,0
1605410101,197,0
1605411002,22,0
1605413702,81,0
1605414603,23,0
1605417302,63,0
1605420902,87,0
1605421802,22,0
1605429002,252,0
1605432601,92,0
1605436202,93,0
1605439802,84,0
1605443403,122,0
1605450601,239,0
1605454202,144,0
1605457802,83,0
1605461402,105,0
1605465002,96,0
1605472202,239,0
1605479402,179,0
1605486602,155,2597
1605490202,100,0
1605491103,25,0
1605494703,99,0
1605497403,98,0
1605498303,26,0
1605501002,77,0
1605505502,257,0
1605508202,107,0
1605512702,156,0
1605516302,179,0
1605519002,124,0
1605519902,28,0
1605522602,116,0
1605523502,40,0
1605529802,279,0
1605533402,179,0
1605534302,39,0
1605540602,287,0
1605541502,34,0
1605544202,117,0
1605545103,64,0
1605547802,90,0
1605548702,44,0
1605555002,217,0
1605555902,67,0
1605557702,67,0
1605563101,174,0
1605565801,104,0
1605569403,113,0
1605573001,109,2498
1605576603,129,0
1605577503,30,0
1605581102,171,0
1605584702,114,0
1605591002,244,1
1605598202,426,0
1605605402,303,0
1605606302,34,0
1605609002,99,0
1605609902,34,0
1605616202,248,0
1605617101,53,0
1605618002,28,0
1605621602,155,0
1605625203,560,0
1605628802,1101,0
1605632402,921,0
1605636002,280,0
1605643203,973,0
1605650402,230,0
1605657603,207,2934
1605661202,125,0
1605664802,125,0
1605668403,118,0
1605672002,78,0
1605679202,234,0
1605682802,111,0
1605686403,114,0
1605690002,156,0
1605693602,128,0
1605697202,172,0
1605700802,197,0
1605704403,175,0
1605711602,408,0
1605715202,151,0
1605722402,264,0
1605726902,122,0
1605734102,401,1
1605741303,174,1
1605748501,203,6447
1605755702,324,0
1605759302,415,0
1605762903,141,0
1605770103,306,0
1605773702,169,0
1605777302,210,0
1605780902,141,0
1605784503,128,0
1605788103,152,0
1605791702,164,0
1605795302,174,0
1605798902,195,0
1605802503,158,0
1605806102,117,0
1605809702,156,0
1605813303,153,0
1605816902,111,0
1605820502,136,0
1605824102,175,0
1605827702,153,0
1605831302,122,3618
1605834902,136,0
1605838502,124,0
1605842102,127,0
1605845702,129,0
1605849302,133,0
1605852902,135,0
1605860102,310,0
1605863702,183,0
1605870902,285,0
1605874502,127,0
1605878101,139,0
1605881702,174,0
1605888902,264,0
1605892503,119,0
1605896102,100,0
1605899702,152,0
1605903302,96,0
1605906901,109,0
1605914102,217,0
1605917702,105,3940
1605925801,292,0
1605929403,131,0
1605933002,116,0
1605936602,129,0
1605940202,110,0
1605943801,130,0
1605947402,133,0
1605951003,202,0
1605954602,143,0
1605958202,115,0
1605961802,125,0
1605965402,99,0
1605969002,113,0
1605972601,104,0
1605976202,83,0
1605979803,117,0
1605983402,80,0
1605987002,129,0
1605990602,119,0
1605994201,88,0
1606001403,117,0
1606008602,94,3263
1606015803,159,0
1606023003,132,1
1606030203,156,0
1606037403,123,0
1606044602,267,0
1606051801,120,0
1606055402,43,0
1606059002,107,0
1606062602,73,0
1606066203,73,0
1606069801,62,0
1606073403,82,0
1606077002,86,0
1606080602,81,0
1606084202,71,0
1606087801,50,0
1606091402,52,3563
1606098602,233,0
1606102203,116,0
1606109402,387,0
1606113002,120,0
1606120202,315,0
1606123802,188,0
1606131002,244,0
1606134602,189,0
1606141802,240,0
1606145402,157,0
1606149903,178,0
1606157102,193,0
1606160702,92,0
1606167902,207,0
1606175102,144,0
1606182302,183,1901
1606189502,250,0
1606193102,131,0
1606196702,101,0
1606203902,346,0
1606207502,253,0
1606211102,303,0
1606214702,166,0
1606218303,155,0
1606225503,309,0
1606229102,124,0
1606232702,224,0
1606236302,144,0
1606239903,146,0
1606243503,178,0
1606251602,371,0
1606255202,165,0
1606258802,161,0
1606262402,127,2781
1606266002,176,0
1606269602,253,0
1606273203,266,0
1606276803,132,0
1606284002,459,0
1606287602,190,0
1606294803,428,0
1606298402,178,0
1606306502,355,0
1606310102,167,0
1606313702,140,0
1606320902,315,0
1606328102,251,0
1606333502,172,0
1606340702,215,0
1606344301,108,0
1606347903,124,0
1606351502,125,3048
1606358702,270,0
1606365902,212,0
1606373102,285,0
1606380302,327,0
1606387502,349,0
1606394702,297,0
1606401902,245,0
1606405501,167,0
1606409102,140,0
1606415402,172,0
1606421703,215,0
1606423503,63,0
1606427102,90,0
1606430702,83,0
1606434303,147,0
1606437903,77,3343
1606441502,100,0
1606445102,528,0
1606448702,960,0
1606452302,116,0
1606455902,81,0
1606463101,214,0
1606466703,111,0
1606473903,368,0
1606477502,169,0
1606484703,231,0
1606488303,133,0
1606491902,218,0
1606495502,599,0
1606499102,624,0
1606501803,120,0
1606505402,90,0
1606507203,56,0
1606510802,92,0
1606514403,204,0
1606518003,130,0
1606521602,102,3081
1606528802,258,0
1606536002,217,0
1606543202,205,0
1606550403,262,0
1606557603,271,0
1606564802,319,0
1606572002,243,0
1606579202,248,0
1606586403,325,0
1606593603,269,0
1606600802,236,0
1606603503,112,0
1606607102,102,0
