DateTime,AddedIPs,RemovedIPs
1602718556,1,0
1602728082,2,0
1602732763,1,0
1602737417,2,0
1602746757,1,0
1602756489,1,0
1602768218,1,0
1602779906,2,0
1602789338,3,0
1602798654,5,0
1602808069,2,0
1602826805,2,0
1602854748,1,0
1602859669,1,0
1602868788,1,0
1602878013,1,0
1602896072,2,0
1602904860,5,0
1602913772,3,0
1602922759,4,0
1602941358,1,0
1602952386,2,0
1602957027,1,0
1602966386,1,0
1602970947,1,0
1602980143,2,0
1602989492,1,0
1602998786,1,0
1603003453,1,0
1603017497,2,0
1603026876,1,0
1603045570,3,0
1603050535,2,0
1603057308,1,0
1603070782,2,0
1603075440,2,0
1603082628,3,0
1603091969,1,0
1603101293,1,0
1603119947,1,0
1603129296,6,0
1603138707,2,0
1603143373,1,0
1603156998,1,0
1603165466,1,0
1603172402,3,0
1603186191,1,0
1603197279,1,0
1603201793,1,0
1603219709,3,0
1603228621,1,0
1603237505,2,0
1603246436,1,0
1603250884,1,0
1603255338,1,0
1603264240,1,0
1603268696,3,0
1603273022,1,0
1603277569,1,0
1603286004,2,0
1603303881,3,0
1603312591,1,0
1603316903,1,0
1603321249,5,0
1603325867,2,0
1603332599,4,0
1603341310,2,0
1603345621,1,0
1603358804,4,0
1603371765,1,0
1603388480,2,0
1603397091,1,0
1603401384,1,0
1603405668,2,0
1603414271,2,0
1603423096,2,0
1603427611,1,0
1603436165,2,0
1603444283,1,0
1603448587,1,0
1603453184,1,0
1603473224,2,0
1603477516,1,0
1603481826,3,0
1603490442,1,0
1603494743,2,0
1603499071,2,0
1603510110,1,0
1603514407,3,0
1603527673,1,0
1603534085,3,0
1603542713,5,0
1603564519,1,0
1603573374,5,0
1603582031,1,0
1603586506,1,0
1603595402,1,0
1603602116,2,0
1603610788,2,0
1603621862,1,0
1603630720,2,0
1603639420,1,0
1603647953,3,0
1603656584,1,0
1603660899,1,0
1603669589,2,0
1603682607,3,0
1603686815,1,0
1603691193,2,0
1603721439,4,0
1603738593,1,0
1603747425,1,0
1603751888,2,0
1603760857,4,0
1603774462,1,0
1603778934,1,0
1603783404,1,0
1603792703,17,0
1603815374,1,0
1603824746,2,0
1603833833,2,0
1603842989,6,0
1603847581,1,0
1603852204,1,0
1603856805,2,0
1603861444,1,0
1603870711,2,0
1603889456,1,0
1603908172,3,0
1603917484,1,0
1603926439,2,0
1603930769,1,0
1603935102,2,0
1603943986,1,0
1603952626,2,0
1603961256,1,0
1603969456,1,0
1603984826,1,0
1603993531,2,0
1603997831,1,0
1604002199,2,0
1604006558,2,0
1604010327,1,0
1604014598,1,0
1604018862,1,0
1604023140,1,0
1604034146,2,0
1604042870,3,0
1604053871,1,0
1604062506,2,0
1604066787,1,0
1604073466,1,0
1604082063,2,0
1604090754,7,0
1604099606,2,0
1604108356,2,0
1604120716,2,0
1604135806,1,0
1604149141,2,0
1604156084,1,0
1604163132,1,0
1604170074,2,0
1604177119,1,0
1604184100,1,0
1604191001,1,0
1604197818,2,0
1604207141,2,0
