DateTime,AddedIPs,RemovedIPs
1605195181,1,12
1605198782,10,0
1605202381,8,14
1605205981,9,4
1605209582,4,0
1605213181,7,10
1605216781,5,6
1605220382,4,6
1605223981,8,5
1605227581,8,7
1605231182,10,4
1605234781,8,11
1605238382,7,0
1605241981,4,18
1605245581,9,0
1605249181,4,5
1605252782,5,10
1605256381,5,10
1605259982,7,0
1605263581,3,13
1605267181,3,8
1605270781,11,6
1605274381,10,9
1605277981,7,0
1605281581,5,4
1605285181,8,6
1605288782,5,14
1605292381,11,0
1605295981,7,11
1605299581,7,0
1605303181,9,6
1605306781,6,7
1605310382,5,5
1605313981,6,9
1605317581,7,15
1605321181,8,5
1605324781,5,6
1605328381,3,11
1605331982,10,0
1605335582,5,11
1605339181,5,10
1605342782,7,0
1605346381,6,14
1605349982,5,0
1605353581,9,6
1605357182,8,0
1605360781,8,10
1605364381,5,12
1605367981,8,7
1605371581,10,14
1605375182,7,0
1605378782,9,7
1605382381,13,6
1605385981,5,12
1605389582,5,0
1605393181,7,13
1605396781,10,0
1605400382,9,5
1605403982,4,10
1605407582,3,5
1605411181,10,6
1605414781,7,6
1605418382,7,10
1605421982,7,5
1605425581,6,0
1605429187,4,18
1605432782,11,7
1605436381,8,0
1605439981,8,9
1605443582,10,6
1605447182,13,7
1605450781,5,17
1605454382,7,6
1605457982,3,8
1605461581,5,0
1605465181,9,20
1605468781,6,0
1605472381,8,8
1605475981,6,7
1605479581,6,11
1605483182,5,8
1605486782,3,3
1605490381,7,0
1605493981,7,12
1605497582,6,0
1605501181,7,4
1605504781,5,9
1605508381,7,20
1605511981,9,8
1605515581,9,0
1605519181,3,15
1605522781,3,0
1605526381,9,11
1605529981,7,9
1605533581,2,15
1605537181,8,8
1605540781,6,0
1605544381,5,7
1605547981,12,0
1605551581,7,7
1605555181,7,12
1605558781,5,0
1605562381,4,15
1605565982,8,2
1605569581,3,5
1605573182,6,5
1605576781,7,5
1605580381,3,0
1605583981,10,4
1605587582,9,8
1605591181,6,14
1605594781,3,0
1605598381,11,7
1605601981,3,9
1605605581,8,8
1605609181,5,3
1605612782,8,7
1605616381,8,7
1605619981,5,10
1605623581,5,0
1605627181,7,15
1605630781,7,0
1605634381,5,7
1605637981,4,8
1605641581,8,6
1605645181,10,11
1605648781,4,0
1605652381,6,3
1605655981,3,5
1605659581,6,6
1605663181,6,6
1605666781,9,9
1605670381,9,6
1605673982,5,8
1605677581,6,8
1605681181,5,0
1605684782,8,6
1605688381,2,4
1605691982,11,9
1605695581,8,11
1605699181,7,9
1605702781,5,0
1605706381,4,4
1605709982,6,9
1605713581,8,8
1605717182,12,6
1605720781,5,0
1605724381,8,9
1605727982,4,0
1605731581,6,15
1605735181,8,12
1605738781,7,4
1605742381,6,0
1605745981,7,15
1605749582,7,6
1605753181,6,0
1605756782,7,8
1605760381,3,6
1605763982,8,6
1605767581,6,4
1605771181,5,7
1605774782,9,14
1605778381,3,0
1605781981,7,6
1605785581,5,11
1605789182,4,9
1605792781,8,6
1605796382,3,0
1605799982,9,6
1605803582,10,5
1605807181,4,16
1605810781,5,9
1605814382,11,0
1605817981,6,1
1605821581,13,8
1605825182,4,6
1605828781,5,18
1605832382,7,4
1605835981,7,0
1605839581,7,14
1605843181,0,7
1605846782,6,8
1605850381,9,0
1605853981,4,13
1605857581,10,6
1605861181,4,0
1605864781,4,16
1605868381,9,0
1605871981,8,7
1605875581,10,4
1605879181,7,6
1605882781,9,13
1605886382,7,10
1605889982,13,0
1605893581,1,8
1605897181,6,7
1605900782,2,10
