DateTime,AddedIPs,RemovedIPs
1605191581,24,26
1605195181,12,13
1605198782,22,19
1605202381,19,20
1605205981,21,19
1605209582,26,24
1605213181,17,22
1605216781,21,18
1605220382,21,21
1605223981,21,22
1605227581,24,24
1605231182,27,25
1605234781,18,18
1605238382,19,15
1605241981,17,19
1605245581,25,25
1605249181,17,19
1605252782,19,19
1605256381,17,26
1605259982,20,16
1605263581,16,16
1605267181,13,11
1605270781,22,23
1605274381,26,19
1605277981,23,29
1605281581,20,19
1605285181,17,20
1605288782,17,18
1605292381,23,19
1605295981,17,18
1605299581,19,20
1605303181,21,18
1605306781,17,17
1605310382,18,15
1605313981,20,21
1605317581,23,24
1605321181,17,17
1605324781,16,17
1605328381,13,13
1605331982,19,18
1605335582,16,15
1605339181,15,19
1605342782,21,18
1605346381,18,16
1605349982,19,20
1605353581,22,21
1605357182,21,22
1605360781,21,22
1605364381,20,21
1605367981,18,21
1605371581,25,23
1605375182,19,19
1605378782,27,24
1605382381,22,22
1605385981,20,22
1605389582,18,18
1605393181,18,20
1605396781,21,22
1605400382,17,15
1605403982,15,19
1605407582,19,18
1605411181,28,24
1605414781,17,15
1605418382,23,23
1605421982,21,26
1605425581,24,22
1605429187,18,18
1605432782,21,25
1605436381,16,17
1605439981,20,14
1605443582,20,20
1605447182,27,24
1605450781,22,28
1605454382,15,15
1605457982,16,15
1605461581,19,17
1605465181,16,18
1605468781,20,19
1605472381,15,14
1605475981,18,17
1605479581,24,25
1605483182,16,15
1605486782,18,20
1605490381,17,18
1605493981,18,16
1605497582,16,17
1605501181,21,21
1605504781,19,19
1605508381,20,20
1605511981,22,18
1605515581,22,26
1605519181,20,22
1605522781,18,16
1605526381,24,24
1605529981,19,19
1605533581,15,18
1605537181,23,19
1605540781,16,19
1605544381,16,16
1605547981,33,27
1605551581,18,19
1605555181,17,21
1605558781,17,15
1605562381,17,18
1605565982,19,18
1605569581,17,21
1605573182,19,17
1605576781,21,20
1605580381,14,14
1605583981,21,20
1605587582,25,23
1605591181,21,23
1605594781,18,18
1605598381,20,21
1605601981,19,18
1605605581,19,19
1605609181,21,22
1605612782,21,17
1605616381,19,25
1605619981,17,18
1605623581,13,11
1605627181,18,16
1605630781,17,21
1605634381,19,19
1605637981,19,15
1605641581,22,21
1605645181,26,28
1605648781,20,20
1605652381,18,17
1605655981,22,21
1605659581,20,20
1605663181,23,24
1605666781,22,21
1605670381,18,18
1605673982,16,16
1605677581,15,20
1605681181,21,16
1605684782,21,24
1605688381,15,18
1605691982,24,19
1605695581,19,19
1605699181,20,22
1605702781,17,16
1605706381,19,21
1605709982,20,23
1605713581,20,17
1605717182,26,23
1605720781,22,24
1605724381,21,20
1605727982,14,16
1605731581,21,18
1605735181,21,20
1605738781,21,21
1605742381,18,17
1605745981,22,23
1605749582,17,16
1605753181,19,22
1605756782,20,23
1605760381,24,20
1605763982,22,22
1605767581,15,16
1605771181,16,16
1605774782,22,21
1605778381,19,19
1605781981,18,22
1605785581,17,17
